Date,PEP,MS,VIX,AvgVIX,zscore
2022-04-11,151.90072631835938,73.05072021484375,24.3700008392334,22.26949996948242,-0.3764176963062871
2022-04-12,152.5167694091797,72.97247314453125,24.260000228881836,21.99099998474121,-0.2919451134744833
2022-04-13,152.25277709960938,73.14635467529297,21.81999969482422,21.748499965667726,-0.3354529412980146
2022-04-14,151.28466796875,73.69412231445312,22.700000762939453,21.6,-0.49032325154759065
2022-04-18,149.98216247558594,75.1895751953125,22.170000076293945,21.51499996185303,-0.7381861528776812
2022-04-19,152.1647491455078,77.30232238769531,21.3700008392334,21.40699996948242,-0.5633671223782089
2022-04-20,154.4265594482422,78.78034973144531,20.31999969482422,21.27599992752075,-0.3451552370001438
2022-04-21,153.8720703125,77.30232238769531,22.68000030517578,21.23149995803833,-0.3405501545631048
2022-04-22,151.5046844482422,73.67674255371094,28.209999084472656,21.558499908447267,-0.4607045444262715
2022-04-25,152.90402221679688,73.94627380371094,27.020000457763672,21.86899995803833,-0.29211758859044135
2022-04-26,152.5167694091797,71.61614227294922,33.52000045776367,22.563500022888185,-0.22131290445501345
2022-04-27,153.8809051513672,71.47703552246094,31.600000381469727,23.198500061035155,-0.036039842135673274
2022-04-28,156.2130889892578,73.13439178466797,29.989999771118164,23.73150005340576,0.18201754336619194
2022-04-29,151.11746215820312,70.6702651977539,33.400001525878906,24.37350015640259,-0.3546745309680918
2022-05-02,147.64117431640625,71.87165069580078,32.34000015258789,25.00900020599365,-0.8709169051930181
2022-05-03,147.8436279296875,73.4413070678711,29.25,25.54300022125244,-0.9262366740111476
