Date,INTC,XLF,VIX,AvgVIX,zscore
2021-05-04,51.75127410888672,33.66505813598633,19.479999542236328,17.508500003814696,1.137127712314642
2021-05-05,51.70579528808594,33.94002914428711,19.149999618530273,17.607999992370605,1.1437230425052947
2021-05-06,52.33539581298828,34.44413757324219,18.389999389648438,17.679999923706056,1.2309526422712183
2021-05-07,52.77464294433594,34.6274299621582,16.690000534057617,17.679999923706056,1.2848346384596963
2021-05-10,51.21895980834961,34.59994125366211,19.65999984741211,17.817499923706055,1.119747997281531
2021-05-11,50.36790084838867,33.98585510253906,21.84000015258789,18.076999950408936,1.004624810901168
2021-05-12,49.06843948364258,33.63755416870117,27.59000015258789,18.606999969482423,0.8532537662688793
2021-05-13,49.42533493041992,34.1783332824707,23.1299991607666,18.93499994277954,0.9132626543796262
2021-05-14,50.651580810546875,34.71908950805664,18.809999465942383,19.06299991607666,1.0648884884706977
2021-05-17,50.63328170776367,34.783260345458984,19.719999313354492,19.18449983596802,1.065617705061767
2021-05-18,50.184871673583984,34.29747772216797,21.34000015258789,19.317499828338622,0.9982421375107031
2021-05-19,50.66073226928711,34.086673736572266,22.18000030517578,19.551499843597412,1.0396608219961005
2021-05-20,51.20065689086914,34.10499954223633,20.670000076293945,19.649499893188477,1.0973206276763912
2021-05-21,51.319618225097656,34.44413757324219,20.149999618530273,19.790499877929687,1.1239032871204802
2021-05-24,52.124916076660156,34.609107971191406,18.399999618530273,19.82849988937378,1.2156033044285999
2021-05-25,52.04256057739258,34.26081848144531,18.84000015258789,19.892499923706055,1.1924993933194727
2021-05-26,52.088314056396484,34.36164093017578,17.360000610351562,19.896499919891358,1.2014968560303458
2021-05-27,52.82955551147461,34.755760192871094,16.739999771118164,19.852999877929687,1.2959366076659198
2021-05-28,52.271331787109375,34.81991958618164,16.760000228881836,19.7604998588562,1.239764525482978
2021-06-01,52.060855865478516,35.030731201171875,17.899999618530273,19.739999866485597,1.226314147769754
2021-06-02,52.60078048706055,35.08570861816406,17.479999542236328,19.639999866485596,1.2854919151987485
2021-06-03,51.46603775024414,35.1682014465332,18.040000915527344,19.58449993133545,1.1693217463128966
2021-06-04,52.500118255615234,35.25986099243164,16.420000076293945,19.485999965667723,1.2820961521522916
2021-06-07,52.24388885498047,35.030731201171875,16.420000076293945,19.472499942779542,1.2456033738080878
2021-06-08,52.16152572631836,34.93906784057617,17.06999969482422,19.342999935150146,1.23312707672296
2021-06-09,52.16152572631836,34.609107971191406,17.889999389648438,19.145499897003173,1.219461471250673
2021-06-10,52.5092658996582,34.20581817626953,16.100000381469727,18.570999908447266,1.2394059939220603
2021-06-11,52.939369201660156,34.42579650878906,15.649999618530273,18.196999931335448,1.2938437365984625
2021-06-14,53.25050735473633,34.068336486816406,16.389999389648438,18.07599992752075,1.3118289806271053
