Date,KBE,AMD,VIX,AvgVIX,zscore
2020-03-20,21.32692527770996,39.61000061035156,66.04000091552734,50.27750015258789,-1.1046548762983124
2020-03-23,19.553340911865234,41.63999938964844,61.59000015258789,52.10550012588501,-1.5524343530837923
2020-03-24,21.852739334106445,46.220001220703125,61.66999816894531,53.796500015258786,-1.1210330275763698
2020-03-25,22.275421142578125,44.630001068115234,63.95000076293945,55.61600008010864,-0.9914429715443409
2020-03-26,24.23667335510254,47.5,61.0,56.708000087738036,-0.6020499777308101
2020-03-27,23.340585708618164,46.58000183105469,65.54000091552734,57.97950010299682,-0.7880533516818898
2020-03-30,23.40821647644043,47.86000061035156,57.08000183105469,59.16250028610229,-0.7990479012834796
2020-03-31,22.791091918945312,45.47999954223633,53.540000915527344,59.99850034713745,-0.8910326939710161
2020-04-01,21.269432067871094,43.65999984741211,57.060001373291016,61.252000427246095,-1.2015581469665333
2020-04-02,21.624488830566406,44.4900016784668,50.90999984741211,61.81650047302246,-1.1374833656979408
2020-04-03,20.66922950744629,42.59000015258789,46.79999923706055,62.059500503540036,-1.3167602323914258
2020-04-06,22.283876419067383,47.52000045776367,45.2400016784668,61.598500633239745,-1.0492697512091098
2020-04-07,23.112335205078125,47.560001373291016,46.70000076293945,61.568500709533694,-0.8605428949978987
2020-04-08,24.219768524169922,48.790000915527344,43.349998474121094,61.041000556945804,-0.6325933739284384
2020-04-09,26.028852462768555,48.380001068115234,41.66999816894531,59.35100040435791,-0.21019092155866265
2020-04-13,24.710079193115234,50.939998626708984,41.16999816894531,58.51800022125244,-0.5648678389775549
2020-04-14,24.355024337768555,54.93000030517578,37.7599983215332,56.27150001525879,-0.7286134963699655
2020-04-15,22.78264617919922,54.9900016784668,40.84000015258789,54.51799983978272,-1.0896194018908845
2020-04-16,21.99644660949707,56.95000076293945,40.11000061035156,52.70100002288818,-1.3100345751062117
2020-04-17,23.8055362701416,56.599998474121094,38.150001525878906,51.00850009918213,-0.8888714838583225
2020-04-20,23.644914627075195,56.970001220703125,43.83000183105469,49.898000144958495,-0.9332733985625561
2020-04-21,22.84181785583496,52.91999816894531,45.40999984741211,49.089000129699706,-1.0332757916665087
2020-04-22,22.89253807067871,55.91999816894531,41.97999954223633,48.104500198364256,-1.083706885609231
2020-04-23,23.18842124938965,55.900001525878906,41.380001068115234,46.976000213623045,-1.0155943629242619
2020-04-24,23.780176162719727,56.18000030517578,35.93000030517578,45.722500228881835,-0.8859889496793325
2020-04-27,25.242664337158203,56.4900016784668,33.290000915527344,44.11000022888184,-0.5577773928922628
2020-04-28,25.91895294189453,55.5099983215332,33.56999969482422,42.93450012207031,-0.3827752188469896
2020-04-29,27.449068069458008,53.65999984741211,31.229999542236328,41.81900005340576,0.00557554800931174
2020-04-30,26.46844482421875,52.38999938964844,34.150001525878906,40.673500061035156,-0.19253225605744312
2020-05-01,25.23421287536621,49.880001068115234,37.189998626708984,39.9875,-0.4230250237493649
2020-05-04,24.96368980407715,52.560001373291016,35.970001220703125,39.44600009918213,-0.5403404385010152
