Date,CVX,GILD,VIX,AvgVIX,zscore
2020-03-10,65.14916229248047,57.05002212524414,47.29999923706055,28.192999744415282,-1.3045251313506137
2020-03-11,63.65421676635742,58.122554779052734,53.900001525878906,30.12899980545044,-1.4621675672507206
2020-03-12,58.464054107666016,54.588417053222656,75.47000122070312,33.21549987792969,-1.328017461363417
2020-03-13,63.95319747924805,56.315696716308594,57.83000183105469,35.39949998855591,-1.2811285210699381
2020-03-16,53.434879302978516,54.84313201904297,82.69000244140625,38.850000095367434,-1.5434829646356383
2020-03-17,54.19386291503906,59.3165397644043,75.91000366210938,41.9040002822876,-1.934597333361973
2020-03-18,42.20358657836914,63.216854095458984,76.44999694824219,45.007500123977664,-2.757491683942917
2020-03-19,43.99752426147461,62.52435302734375,72.0,47.829500102996825,-2.6241436927393096
2020-03-20,45.53081512451172,58.3136100769043,66.04000091552734,50.27750015258789,-2.1703843669865863
2020-03-23,41.567283630371094,57.79621124267578,61.59000015258789,52.10550012588501,-2.2727658208138237
2020-03-24,51.01996612548828,58.87080001831055,61.66999816894531,53.796500015258786,-2.013631742963075
2020-03-25,53.105228424072266,55.44806671142578,63.95000076293945,55.61600008010864,-1.6128378115283688
2020-03-26,58.556026458740234,58.79119873046875,61.0,56.708000087738036,-1.7191268002167213
2020-03-27,52.72957992553711,57.987247467041016,65.54000091552734,57.97950010299682,-1.86555702856743
2020-03-30,55.159828186035156,60.438880920410156,57.08000183105469,59.16250028610229,-2.003186103990353
2020-03-31,55.55081558227539,59.50759506225586,53.540000915527344,59.99850034713745,-1.900852958151776
2020-04-01,52.5609245300293,57.71662902832031,57.060001373291016,61.252000427246095,-1.8465715046583748
2020-04-02,58.35671615600586,61.274662017822266,50.90999984741211,61.81650047302246,-1.9598982196214003
2020-04-03,57.58240509033203,62.25370407104492,46.79999923706055,62.059500503540036,-2.0813152472069167
2020-04-06,61.63027572631836,61.87165069580078,45.2400016784668,61.598500633239745,-1.8912691240900732
2020-04-07,62.03660583496094,59.435943603515625,46.70000076293945,61.568500709533694,-1.6470967829407381
2020-04-08,65.9157943725586,59.690670013427734,43.349998474121094,61.041000556945804,-1.523264617630819
2020-04-09,64.6355209350586,58.512611389160156,41.66999816894531,59.35100040435791,-1.4614156227911383
2020-04-13,65.09549713134766,59.92149353027344,41.16999816894531,58.51800022125244,-1.5761805665349513
2020-04-14,64.86549377441406,61.88755798339844,37.7599983215332,56.27150001525879,-1.7695408136434534
2020-04-15,63.240230560302734,59.404109954833984,40.84000015258789,54.51799983978272,-1.598264568621724
2020-04-16,61.32361602783203,60.9244270324707,40.11000061035156,52.70100002288818,-1.8140112753580564
2020-04-17,66.8281021118164,66.8544921875,38.150001525878906,51.00850009918213,-2.1611506759645964
2020-04-20,64.06819152832031,64.68146514892578,43.83000183105469,49.898000144958495,-2.062236898027845
2020-04-21,62.58858108520508,62.5084228515625,45.40999984741211,49.089000129699706,-1.9145580467877452
2020-04-22,64.73518371582031,64.72126007080078,41.97999954223633,48.104500198364256,-2.040569194202945
2020-04-23,66.54444122314453,61.91143798828125,41.380001068115234,46.976000213623045,-1.7078357971406204
2020-04-24,66.70545196533203,63.391990661621094,35.93000030517578,45.722500228881835,-1.8407170074398336
2020-04-27,68.77538299560547,63.598915100097656,33.290000915527344,44.11000022888184,-1.7813069558084513
2020-04-28,68.92870330810547,62.619873046875,33.56999969482422,42.93450012207031,-1.6835420149121747
2020-04-29,72.53958892822266,66.17791748046875,31.229999542236328,41.81900005340576,-1.880087768584424
2020-04-30,70.53099060058594,66.86245727539062,34.150001525878906,40.673500061035156,-2.020864173225167
2020-05-01,68.56836700439453,63.63872528076172,37.189998626708984,39.9875,-1.792929613868986
