Date,WFC,KO,VIX,AvgVIX,zscore
2015-09-15,39.62051773071289,27.71200942993164,22.540000915527344,26.013000154495238,-0.17041638747149748
2015-09-16,39.80576705932617,28.179866790771484,21.350000381469727,26.391000175476073,-0.13490838889007892
2015-09-17,38.686866760253906,28.345422744750977,21.139999389648438,26.685500144958496,-0.47600619864633503
2015-09-18,37.819923400878906,28.05750846862793,22.280000686645508,26.84250020980835,-0.7226767379301485
2015-09-21,38.19782638549805,28.208656311035156,20.139999389648438,26.448000144958495,-0.6162379760489065
2015-09-22,37.560577392578125,27.92074966430664,22.440000534057617,25.53300008773804,-0.7943249864472904
2015-09-23,37.627262115478516,27.899152755737305,22.1299991607666,24.838500022888184,-0.7734995356070377
2015-09-24,37.456825256347656,28.179866790771484,23.469999313354492,24.496000003814697,-0.836272898193339
2015-09-25,38.145957946777344,28.518177032470703,23.6200008392334,24.37200002670288,-0.6448277294903998
2015-09-28,37.323463439941406,28.453397750854492,27.6299991607666,24.451000022888184,-0.8876720482110351
2015-09-29,37.708763122558594,28.546968460083008,26.829999923706055,24.371000003814697,-0.776587396426863
2015-09-30,38.04962158203125,28.87806510925293,24.5,24.026000022888184,-0.6888271747345449
2015-10-01,38.11631393432617,28.647743225097656,22.549999237060547,23.848999977111816,-0.6591637958388133
2015-10-02,37.98293685913086,29.072416305541992,20.940000534057617,23.61549997329712,-0.7169655809144578
2015-10-05,38.83505630493164,29.5186824798584,19.540000915527344,23.20250005722046,-0.481424555956604
2015-10-06,38.55349349975586,29.482698440551758,19.399999618530273,22.92750005722046,-0.5639724120502513
2015-10-07,38.67204284667969,29.885787963867188,18.399999618530273,22.536000061035157,-0.5456384675385021
2015-10-08,38.931400299072266,30.21688461303711,17.420000076293945,22.188500022888185,-0.4822134225482878
2015-10-09,38.63499450683594,30.245681762695312,17.079999923706055,21.882499980926514,-0.5719354956888405
2015-10-12,38.664649963378906,30.231281280517578,16.170000076293945,21.478499984741212,-0.5624711543561639
2015-10-13,38.42753601074219,29.979345321655273,17.670000076293945,21.23499994277954,-0.6226055638608523
2015-10-14,38.1607780456543,30.000938415527344,18.030000686645508,21.06899995803833,-0.7031702095341792
2015-10-15,39.042545318603516,30.173694610595703,16.049999237060547,20.814499950408937,-0.4471986167970972
2015-10-16,39.18334197998047,30.245681762695312,15.050000190734863,20.452999925613405,-0.408205829869949
2015-10-19,38.94622039794922,30.224082946777344,14.979999542236328,20.194999933242798,-0.47809304379452855
2015-10-20,39.33152389526367,30.44002342224121,15.75,19.860499906539918,-0.3721873538555777
2015-10-21,39.36117172241211,30.368045806884766,16.700000762939453,19.58899998664856,-0.3602879617483932
2015-10-22,40.05768966674805,31.123830795288086,14.449999809265137,19.138000011444092,-0.18430999868177078
2015-10-23,40.568973541259766,30.799915313720703,14.460000038146973,18.67999997138977,-0.017935216007418594
2015-10-26,40.22813034057617,30.655956268310547,15.289999961853027,18.063000011444093,-0.11361270489986769
2015-10-27,40.10215377807617,30.67036247253418,15.430000305175781,17.493000030517578,-0.15183756047654545
2015-10-28,41.087677001953125,30.756729125976562,14.329999923706055,16.984500026702882,0.13877125806171284
2015-10-29,40.8209228515625,30.799915313720703,14.609999656677246,16.587500047683715,0.057293682454732174
2015-10-30,40.116981506347656,30.483200073242188,15.069999694824219,16.294000005722047,-0.1394873142003921
2015-11-02,40.6430778503418,30.40403938293457,14.149999618530273,16.024499940872193,0.020949438091627352
2015-11-03,40.70235824584961,30.34644317626953,14.539999961853027,15.78149995803833,0.041087955593046815
2015-11-04,40.72101593017578,30.20969581604004,15.510000228881836,15.636999988555909,0.05244763229609599
2015-11-05,40.92990493774414,30.46881675720215,15.050000190734863,15.518499994277954,0.10385027645508173
2015-11-06,41.66851806640625,30.202489852905273,14.329999923706055,15.380999994277953,0.3356649048990531
2015-11-09,41.3850212097168,29.900169372558594,16.520000457763672,15.398500013351441,0.2638139974917721
2015-11-10,41.71328353881836,30.065725326538086,15.289999961853027,15.279500007629395,0.35482076576470256
2015-11-11,41.63121795654297,30.260066986083984,16.059999465942383,15.180999946594238,0.32209023193186664
2015-11-12,41.161197662353516,29.92896842956543,18.3700008392334,15.29700002670288,0.1957639899762732
2015-11-13,40.71354675292969,29.78501319885254,20.079999923706055,15.54850001335144,0.06819489974773636
2015-11-16,41.23579406738281,30.202489852905273,18.15999984741211,15.70750002861023,0.20645895571207207
2015-11-17,41.00450897216797,29.993749618530273,18.84000015258789,15.862000036239625,0.14623642818370766
2015-11-18,41.534236907958984,30.43282127380371,16.850000381469727,15.869500017166137,0.2858199539946108
2015-11-19,41.75806427001953,31.030254364013672,16.989999771118164,15.996500015258789,0.32736172825814225
2015-11-20,41.64613723754883,30.540788650512695,15.470000267028809,16.047000026702882,0.314661560935956
2015-11-23,41.48200607299805,30.92228889465332,15.619999885559082,16.063500022888185,0.24950456390733097
2015-11-24,41.24327850341797,31.210195541381836,15.930000305175781,16.088500022888184,0.16603597887124022
2015-11-25,41.1984977722168,31.210195541381836,15.1899995803833,16.131500005722046,0.15266501517800377
2015-11-27,41.3253288269043,31.297245025634766,15.119999885559082,16.157000017166137,0.18685023567517842
2015-11-30,41.10895919799805,30.912817001342773,16.1299991607666,16.209999990463256,0.13851841399287862
2015-12-01,41.56406784057617,31.10865020751953,14.670000076293945,16.23600001335144,0.2661182149560546
2015-12-02,41.094051361083984,31.02161979675293,15.90999984741211,16.304500007629393,0.12946133112424477
2015-12-03,40.4375,30.79677391052246,18.110000610351562,16.43450002670288,-0.05705858309962882
2015-12-04,41.534236907958984,31.398794174194336,14.8100004196167,16.42250003814697,0.2449288318515747
2015-12-07,41.34770965576172,31.333505630493164,15.84000015258789,16.498000049591063,0.19199790266238817
2015-12-08,40.58670425415039,31.195690155029297,17.600000381469727,16.552000045776367,-0.029394807124790204
