Date,WFC,META,VIX,AvgVIX,zscore
2020-04-06,24.53009033203125,164.26095581054688,45.2400016784668,61.598500633239745,-0.7380753303126427
2020-04-07,24.650043487548828,167.5154266357422,46.70000076293945,61.568500709533694,-0.681545226125757
2020-04-08,25.943809509277344,172.9230194091797,43.349998474121094,61.041000556945804,-0.373668053021202
2020-04-09,28.445653915405273,173.82589721679688,41.66999816894531,59.35100040435791,0.12457850832454034
2020-04-13,26.929122924804688,173.4290008544922,41.16999816894531,58.51800022125244,-0.17591245071965453
2020-04-14,25.85812759399414,176.78269958496094,37.7599983215332,56.27150001525879,-0.35118430981659243
2020-04-15,24.36729621887207,175.59202575683594,40.84000015258789,54.51799983978272,-0.6547200633402456
2020-04-16,23.039268493652344,174.87765502929688,40.11000061035156,52.70100002288818,-0.9215888566202127
2020-04-17,24.315889358520508,177.84439086914062,38.150001525878906,51.00850009918213,-0.6418742595055823
2020-04-20,23.716136932373047,176.8521728515625,43.83000183105469,49.898000144958495,-0.7692016369004399
2020-04-21,22.996423721313477,169.47007751464844,45.40999984741211,49.089000129699706,-0.9849315962678697
2020-04-22,22.96215057373047,180.86068725585938,41.97999954223633,48.104500198364256,-0.8758474061729437
2020-04-23,22.730817794799805,183.6885223388672,41.380001068115234,46.976000213623045,-0.8923245488854725
2020-04-24,23.064970016479492,188.59005737304688,35.93000030517578,45.722500228881835,-0.7771799066329477
2020-04-27,24.341594696044922,186.04005432128906,33.290000915527344,44.11000022888184,-0.5535414745146661
2020-04-28,24.73572540283203,181.4857940673828,33.56999969482422,42.93450012207031,-0.5227889274842626
2020-04-29,25.70390510559082,192.677978515625,31.229999542236328,41.81900005340576,-0.2197588609178779
2020-04-30,24.88994789123535,203.1160888671875,34.150001525878906,40.673500061035156,-0.2727719538524768
2020-05-01,23.63902473449707,200.69505310058594,37.189998626708984,39.9875,-0.5419161088215161
2020-05-04,23.433393478393555,203.66175842285156,35.970001220703125,39.44600009918213,-0.5519574343607131
2020-05-05,22.550886154174805,205.45767211914062,33.61000061035156,38.86450004577637,-0.7062177020821117
2020-05-06,21.942564010620117,206.8467559814453,34.119998931884766,38.235499954223634,-0.8110147024245582
2020-05-07,22.056209564208984,209.6150360107422,31.440000534057617,37.64000005722046,-0.7606596936157647
2020-05-08,22.23105239868164,210.6965789794922,27.979999542236328,36.95550012588501,-0.7154870911616035
2020-05-11,21.66282081604004,211.5200958251953,27.56999969482422,36.275500202178954,-0.8181959671384721
2020-05-12,21.01590919494629,208.46409606933594,33.040000915527344,36.03950033187866,-0.9757202465099273
2020-05-13,19.695859909057617,203.5030059814453,35.279998779296875,35.76150026321411,-1.2841967202864522
2020-05-14,21.03339385986328,205.19970703125,32.61000061035156,35.38650026321411,-1.005484362232209
2020-05-15,20.421445846557617,209.2379913330078,31.889999389648438,35.07350015640259,-1.0840613926961604
2020-05-18,22.21356964111328,211.52999877929688,29.299999237060547,34.34700002670288,-0.7104330787521471
2020-05-19,20.937225341796875,215.19129943847656,30.530000686645508,33.60300006866455,-0.9227205101121451
2020-05-20,21.435529708862305,228.17938232421875,27.989999771118164,32.90350008010864,-0.6932881822978245
2020-05-21,21.383075714111328,229.5883331298828,29.530000686645508,32.31100006103516,-0.689220269079422
2020-05-22,21.129552841186523,233.08090209960938,28.15999984741211,31.92250003814697,-0.7032782749594476
2020-05-26,22.956647872924805,230.39199829101562,28.010000228881836,31.658500003814698,-0.3734439610288644
2020-05-27,24.43404769897461,227.35580444335938,27.6200008392334,31.361000061035156,-0.11549939458110471
2020-05-28,23.795883178710938,223.70449829101562,28.59000015258789,31.229000091552734,-0.2773649710197873
2020-05-29,23.14022445678711,223.3373565673828,27.510000228881836,30.89700002670288,-0.4092672818180707
2020-06-01,23.68223762512207,230.10427856445312,28.229999542236328,30.449000072479247,-0.23452787684039172
2020-06-02,23.953243255615234,230.907958984375,26.84000015258789,29.992500019073486,-0.17338148425664374
2020-06-03,25.20335578918457,228.36788940429688,25.65999984741211,29.594999980926513,0.045175237112537826
2020-06-04,26.41849708557129,224.5279998779297,25.809999465942383,29.179500007629393,0.24368316845959784
2020-06-05,27.686100006103516,228.97314453125,24.520000457763672,28.8335000038147,0.536662734836684
2020-06-08,29.128538131713867,229.5982208251953,25.809999465942383,28.725,0.8249891906992458
2020-06-09,28.525341033935547,236.8116455078125,27.56999969482422,28.725,0.7803976945255551
2020-06-10,25.972652435302734,234.88671875,27.56999969482422,28.451499938964844,0.2618229495617951
2020-06-11,23.419981002807617,222.68247985839844,40.790000915527344,28.727000045776368,-0.3612362684728929
2020-06-12,24.451536178588867,226.8001708984375,36.09000015258789,28.901000022888184,-0.11772862841283566
2020-06-15,24.661346435546875,230.68966674804688,34.400001525878906,29.026500129699706,-0.03717801269791766
2020-06-16,24.932355880737305,233.81512451171875,33.66999816894531,29.245000076293945,0.04756968080466665
2020-06-17,23.996952056884766,233.696044921875,33.470001220703125,29.392000102996825,-0.1364966217878994
