Date,PEP,KLAC,VIX,AvgVIX,zscore
2022-03-11,135.29373168945312,310.29248046875,30.75,30.048000144958497,-2.2541828885196082
2022-03-14,137.19468688964844,307.15374755859375,31.770000457763672,30.268500137329102,-1.9997575196431019
2022-03-15,139.9317169189453,319.84307861328125,29.829999923706055,30.3435001373291,-1.7256058932093499
2022-03-16,140.54776000976562,336.83258056640625,26.670000076293945,30.392000102996825,-1.7396039429168262
2022-03-17,141.6390838623047,338.45465087890625,25.670000076293945,30.461000061035158,-1.6118803328991418
2022-03-18,143.26719665527344,350.39520263671875,23.8700008392334,30.249000072479248,-1.4723290711299137
2022-03-21,143.06478881835938,341.977294921875,23.530000686645508,30.038000106811523,-1.4525402716478146
2022-03-22,144.6313018798828,346.53662109375,22.940000534057617,29.744500160217285,-1.2811524673415486
2022-03-23,143.8744354248047,334.7304382324219,23.56999969482422,29.37200012207031,-1.3125204725589312
2022-03-24,144.74571228027344,351.2015075683594,21.670000076293945,28.9395001411438,-1.2918382268698256
2022-03-25,145.4233856201172,351.7294006347656,20.809999465942383,28.600500106811523,-1.2099588174572218
2022-03-28,145.85462951660156,360.28179931640625,19.6299991607666,28.07450008392334,-1.2018642263583583
2022-03-29,148.01959228515625,368.9012451171875,18.899999618530273,27.353500080108642,-0.9774194966803201
2022-03-30,147.8171844482422,358.813232421875,19.329999923706055,26.78300008773804,-0.9486850569595419
2022-03-31,147.3067626953125,351.3647155761719,20.559999465942383,26.28700008392334,-0.9725893845629104
2022-04-01,149.40133666992188,345.8070983886719,19.6299991607666,25.669500064849853,-0.6810059412635779
2022-04-04,149.01405334472656,352.3149719238281,18.56999969482422,24.77550001144409,-0.7642734522461078
2022-04-05,149.17250061035156,331.64923095703125,21.030000686645508,24.070499992370607,-0.6337754424465227
2022-04-06,151.71591186523438,330.4302673339844,22.100000381469727,23.55299997329712,-0.3093280652253863
2022-04-07,151.8567352294922,338.9057922363281,21.549999237060547,23.11899995803833,-0.3371233419992622
2022-04-08,152.36715698242188,327.5123291015625,21.15999984741211,22.639499950408936,-0.21229507472696366
2022-04-11,151.90072631835938,318.1632995605469,24.3700008392334,22.26949996948242,-0.22052087721850203
2022-04-12,152.5167999267578,316.9922790527344,24.260000228881836,21.99099998474121,-0.1372412868001409
2022-04-13,152.2527618408203,323.010498046875,21.81999969482422,21.748499965667726,-0.20248078720336685
2022-04-14,151.28468322753906,308.5743713378906,22.700000762939453,21.6,-0.24616277285984178
2022-04-18,149.98216247558594,314.7077941894531,22.170000076293945,21.51499996185303,-0.44182632630965707
2022-04-19,152.16473388671875,324.2583923339844,21.3700008392334,21.40699996948242,-0.22016813616241845
2022-04-20,154.42654418945312,331.71649169921875,20.31999969482422,21.27599992752075,0.022602782321366775
2022-04-21,153.87208557128906,322.5018310546875,22.68000030517578,21.23149995803833,0.0026540448792686036
2022-04-22,151.50466918945312,311.2619323730469,28.209999084472656,21.558499908447267,-0.2330607121701303
2022-04-25,152.90399169921875,317.9136962890625,27.020000457763672,21.86899995803833,-0.09377898302856078
2022-04-26,152.5167999267578,302.1241455078125,33.52000045776367,22.563500022888185,-0.057602596257386174
2022-04-27,153.880859375,302.1432800292969,31.600000381469727,23.198500061035155,0.11279794289025204
2022-04-28,156.21310424804688,319.4015197753906,29.989999771118164,23.73150005340576,0.3118801294169009
2022-04-29,151.11746215820312,306.4435119628906,33.400001525878906,24.37350015640259,-0.2556512722971681
2022-05-02,147.64114379882812,313.5271911621094,32.34000015258789,25.00900020599365,-0.728122403615613
2022-05-03,147.84356689453125,320.5916748046875,29.25,25.54300022125244,-0.7406599043035019
