Date,MNST,UPS,VIX,AvgVIX,zscore
2018-03-09,29.030000686645508,80.86588287353516,14.640000343322754,19.782499980926513,0.7803884899122595
2018-03-12,29.21500015258789,79.7889633178711,15.779999732971191,19.118499994277954,0.9780070090558892
2018-03-13,29.344999313354492,80.09666442871094,16.350000381469727,18.655499982833863,0.9943186736865657
2018-03-14,29.364999771118164,79.67904663085938,17.229999542236328,18.268499994277953,1.0503607799292256
2018-03-15,29.094999313354492,80.38236236572266,16.59000015258789,18.134999990463257,0.8619271490014715
2018-03-16,29.31999969482422,81.25418090820312,15.800000190734863,17.96850004196167,0.8510993015480287
2018-03-19,29.135000228881836,79.45927429199219,19.020000457763672,17.94650011062622,0.9841261861053403
2018-03-20,29.34000015258789,79.1442642211914,18.200000762939453,17.826500129699706,1.1019828835279493
2018-03-21,29.040000915527344,78.86585235595703,17.860000610351562,17.7185001373291,1.014640407915804
2018-03-22,28.389999389648438,76.5215072631836,23.34000015258789,17.949500179290773,1.0258594965963945
2018-03-23,27.93000030517578,74.47750091552734,24.8700008392334,18.368500232696533,1.07811871687578
2018-03-26,28.434999465942383,75.9720230102539,21.030000686645508,18.630000257492064,1.107033581771319
2018-03-27,28.125,74.85115814208984,22.5,18.82550024986267,1.1127062492180182
2018-03-28,28.1200008392334,75.22477722167969,22.8700008392334,18.976500272750854,1.067700291625396
2018-03-29,28.604999542236328,76.67537689208984,19.969999313354492,18.851500272750854,1.0937121136998307
2018-04-02,27.809999465942383,76.07459259033203,23.6200008392334,19.05300030708313,0.8464795109665607
2018-04-03,27.864999771118164,77.32005310058594,21.100000381469727,19.1715003490448,0.7249740779629743
2018-04-04,28.385000228881836,77.95742797851562,20.059999465942383,19.25650029182434,0.8585462919140849
2018-04-05,28.704999923706055,78.52153015136719,18.940000534057617,19.31550030708313,0.9209560589502638
2018-04-06,27.96500015258789,77.16621398925781,21.489999771118164,19.56300024986267,0.782485541231706
2018-04-09,28.114999771118164,76.63140106201172,21.770000457763672,19.919500255584715,0.9037594000474061
2018-04-10,28.15999984741211,77.67168426513672,20.469999313354492,20.15400023460388,0.8018968838271188
2018-04-11,28.110000610351562,77.72296905517578,20.239999771118164,20.348500204086303,0.77609296993377
2018-04-12,28.264999389648438,78.38233947753906,18.489999771118164,20.411500215530396,0.7618651107025739
2018-04-13,28.34000015258789,78.57282257080078,17.40999984741211,20.452500200271608,0.7697836726636361
2018-04-16,28.489999771118164,80.03804779052734,16.559999465942383,20.49050016403198,0.6607847430357038
2018-04-17,28.84000015258789,80.23585510253906,15.25,20.3020001411438,0.7773075990759857
2018-04-18,28.735000610351562,81.24687194824219,15.600000381469727,20.172000122070312,0.6191160402078256
2018-04-19,28.655000686645508,80.35308074951172,15.960000038146973,20.077000093460082,0.6901826686377717
2018-04-20,28.25,79.52520751953125,16.8799991607666,19.75400004386902,0.6243122826347798
2018-04-23,28.434999465942383,79.93550109863281,16.34000015258789,19.32750000953674,0.6507017099379138
2018-04-24,27.864999771118164,79.28343200683594,18.020000457763672,19.17699999809265,0.4989220218069786
2018-04-25,27.204999923706055,79.6058120727539,17.84000015258789,18.944000005722046,0.19913059863660554
2018-04-26,27.549999237060547,82.990478515625,16.239999771118164,18.612499952316284,-0.05325339970335933
2018-04-27,28.094999313354492,83.51063537597656,15.40999984741211,18.384499979019164,0.10376425707340521
2018-04-30,27.5,83.15164184570312,15.930000305175781,17.999999952316283,-0.09170809120472907
2018-05-01,27.600000381469727,82.38240051269531,15.489999771118164,17.719499921798707,0.036657213434521954
2018-05-02,26.360000610351562,81.42999267578125,15.970000267028809,17.51499996185303,-0.3471976748113175
2018-05-03,26.155000686645508,80.44831848144531,15.899999618530273,17.36299991607666,-0.3157616690342515
2018-05-04,26.3799991607666,81.54723358154297,14.770000457763672,17.026999950408936,-0.35273685567438834
2018-05-07,26.655000686645508,82.1406478881836,14.75,16.675999927520753,-0.3116108148351247
