Date,SHEL,GILD,VIX,AvgVIX,zscore
2020-03-16,20.184404373168945,54.843143463134766,82.69000244140625,38.850000095367434,-1.8745229369907064
2020-03-17,20.455442428588867,59.3165397644043,75.91000366210938,41.9040002822876,-2.327662446210768
2020-03-18,17.23486328125,63.21685791015625,76.44999694824219,45.007500123977664,-3.139531812644608
2020-03-19,19.164016723632812,62.524356842041016,72.0,47.829500102996825,-2.8317367490595915
2020-03-20,19.993078231811523,58.313602447509766,66.04000091552734,50.27750015258789,-2.2744869794147338
2020-03-23,21.388132095336914,57.796226501464844,61.59000015258789,52.10550012588501,-2.0501044903671066
2020-03-24,25.597204208374023,58.87078857421875,61.66999816894531,53.796500015258786,-1.6593365233442676
2020-03-25,27.37489128112793,55.44807052612305,63.95000076293945,55.61600008010864,-1.073297547816943
2020-03-26,27.84522247314453,58.791194915771484,61.0,56.708000087738036,-1.3796601295842152
2020-03-27,25.222522735595703,57.98725891113281,65.54000091552734,57.97950010299682,-1.6085574271695906
2020-03-30,26.657440185546875,60.43889236450195,57.08000183105469,59.16250028610229,-1.7018074414879933
2020-03-31,27.81334114074707,59.50758361816406,53.540000915527344,59.99850034713745,-1.4613047391783491
2020-04-01,28.148160934448242,57.71662139892578,57.060001373291016,61.252000427246095,-1.2264361247242896
2020-04-02,31.057828903198242,61.274654388427734,50.90999984741211,61.81650047302246,-1.2620393545232822
2020-04-03,28.8895206451416,62.25370407104492,46.79999923706055,62.059500503540036,-1.6297877161927226
2020-04-06,29.758438110351562,61.87165451049805,45.2400016784668,61.598500633239745,-1.4835355209198484
2020-04-07,29.702634811401367,59.435943603515625,46.70000076293945,61.568500709533694,-1.2257417670211632
2020-04-08,30.348342895507812,59.69065475463867,43.349998474121094,61.041000556945804,-1.1755539414800071
2020-04-09,30.22079849243164,58.512611389160156,41.66999816894531,59.35100040435791,-1.06299414654306
2020-04-13,29.790325164794922,59.92148971557617,41.16999816894531,58.51800022125244,-1.267900376930079
2020-04-14,29.503345489501953,61.8875617980957,37.7599983215332,56.27150001525879,-1.5160183267342562
2020-04-15,27.39083480834961,59.404090881347656,40.84000015258789,54.51799983978272,-1.5010047725256044
2020-04-16,25.98781967163086,60.92443084716797,40.11000061035156,52.70100002288818,-1.835270436779636
2020-04-17,28.283672332763672,66.85449981689453,38.150001525878906,51.00850009918213,-2.202484825698338
2020-04-20,26.689321517944336,64.68145751953125,43.83000183105469,49.898000144958495,-2.158712298321388
2020-04-21,26.250883102416992,62.50843048095703,45.40999984741211,49.089000129699706,-1.9755788050372163
2020-04-22,27.7894287109375,64.72126770019531,41.97999954223633,48.104500198364256,-2.0304012745770863
2020-04-23,28.028575897216797,61.91143798828125,41.380001068115234,46.976000213623045,-1.6964169678780698
2020-04-24,27.924945831298828,63.39197540283203,35.93000030517578,45.722500228881835,-1.8696996070459588
2020-04-27,28.554710388183594,63.59894943237305,33.290000915527344,44.11000022888184,-1.8162496939445119
2020-04-28,28.698204040527344,62.619873046875,33.56999969482422,42.93450012207031,-1.6926202833903174
2020-04-29,30.300518035888672,66.17790222167969,31.229999542236328,41.81900005340576,-1.8858442811671416
2020-04-30,26.410314559936523,66.86244201660156,34.150001525878906,40.673500061035156,-2.4292088121055952
2020-05-01,24.943513870239258,63.63871765136719,37.189998626708984,39.9875,-2.2559526268465993
