Date,SHEL,TXN,VIX,AvgVIX,zscore
2020-03-05,34.86034393310547,96.25886535644531,39.619998931884766,23.281499910354615,2.0385977022430395
2020-03-06,33.377601623535156,94.94992065429688,41.939998626708984,24.630499839782715,1.735861973474055
2020-03-09,27.645931243896484,88.1366195678711,54.459999084472656,26.57999978065491,0.6148209023568303
2020-03-10,29.463489532470703,94.0772705078125,47.29999923706055,28.192999744415282,0.8642244279202036
2020-03-11,27.494470596313477,89.36166381835938,53.900001525878906,30.12899980545044,0.5457637290764433
2020-03-12,23.381061553955078,81.83514404296875,75.47000122070312,33.21549987792969,-0.18476329576149533
2020-03-13,23.97893714904785,88.9756851196289,57.83000183105469,35.39949998855591,-0.24827833220582018
2020-03-16,20.18440055847168,78.45365905761719,82.69000244140625,38.850000095367434,-0.8217320126634802
2020-03-17,20.45543670654297,89.0679931640625,75.91000366210938,41.9040002822876,-1.0575674175966283
2020-03-18,17.234859466552734,83.90764617919922,76.44999694824219,45.007500123977664,-1.6500884003085936
2020-03-19,19.16402244567871,85.22502899169922,72.0,47.829500102996825,-1.2453823523124397
2020-03-20,19.99307632446289,81.89388275146484,66.04000091552734,50.27750015258789,-0.9620843252492635
2020-03-23,21.38813018798828,82.59870910644531,61.59000015258789,52.10550012588501,-0.6624702650917155
2020-03-24,25.597198486328125,88.40512084960938,61.66999816894531,53.796500015258786,0.13823215395503613
2020-03-25,27.374893188476562,83.20284271240234,63.95000076293945,55.61600008010864,0.6912324708363419
2020-03-26,27.845224380493164,90.41890716552734,61.0,56.708000087738036,0.5963968502019966
2020-03-27,25.222530364990234,84.32720947265625,65.54000091552734,57.97950010299682,0.16689817526360967
2020-03-30,26.657438278198242,85.60259246826172,57.08000183105469,59.16250028610229,0.45962421402901754
2020-03-31,27.813331604003906,83.84891510009766,53.540000915527344,59.99850034713745,0.7734802243179061
2020-04-01,28.148151397705078,81.29814147949219,57.060001373291016,61.252000427246095,0.9217233716330009
2020-04-02,31.057825088500977,85.60259246826172,50.90999984741211,61.81650047302246,1.4670841036118
2020-04-03,28.889524459838867,83.89088439941406,46.79999923706055,62.059500503540036,1.018694600352966
2020-04-06,29.758440017700195,91.42578125,45.2400016784668,61.598500633239745,1.0061661344566437
2020-04-07,29.70263671875,89.16030883789062,46.70000076293945,61.568500709533694,1.0569699882832218
2020-04-08,30.348350524902344,92.44108581542969,43.349998474121094,61.041000556945804,1.1127307173596042
2020-04-09,30.220802307128906,90.36018371582031,41.66999816894531,59.35100040435791,1.1419287943402783
2020-04-13,29.790325164794922,90.3433837890625,41.16999816894531,58.51800022125244,1.0438433865134935
2020-04-14,29.503341674804688,93.09555053710938,37.7599983215332,56.27150001525879,0.9009002195874087
2020-04-15,27.390836715698242,90.6034927368164,40.84000015258789,54.51799983978272,0.4871853424009967
2020-04-16,25.987810134887695,93.46476745605469,40.11000061035156,52.70100002288818,0.08566422134874793
2020-04-17,28.283672332763672,95.27716827392578,38.150001525878906,51.00850009918213,0.560432778043133
2020-04-20,26.6893253326416,93.58222198486328,43.83000183105469,49.898000144958495,0.24297841200329978
2020-04-21,26.25088119506836,89.64693450927734,45.40999984741211,49.089000129699706,0.25304033641036955
2020-04-22,27.789426803588867,93.95978546142578,41.97999954223633,48.104500198364256,0.48424825281482864
2020-04-23,28.028579711914062,92.68441772460938,41.380001068115234,46.976000213623045,0.57479471229264
2020-04-24,27.924936294555664,95.59600067138672,35.93000030517578,45.722500228881835,0.4693529185170019
2020-04-27,28.554712295532227,97.14830780029297,33.290000915527344,44.11000022888184,0.569973786802506
2020-04-28,28.698200225830078,95.85612487792969,33.56999969482422,42.93450012207031,0.6390898519830353
2020-04-29,30.300518035888672,100.18572235107422,31.229999542236328,41.81900005340576,0.8844283014031317
2020-04-30,26.410314559936523,97.39163970947266,34.150001525878906,40.673500061035156,0.07218910224492445
2020-05-01,24.94352149963379,92.77447509765625,37.189998626708984,39.9875,-0.13405072388402012
2020-05-04,26.10738754272461,93.44251251220703,35.970001220703125,39.44600009918213,0.11366581261417259
