Date,MS,TXN,VIX,AvgVIX,zscore
2023-04-04,76.42453002929688,163.98294067382812,19.0,21.925500011444093,-1.560683238218957
2023-04-05,75.52349090576172,161.07415771484375,19.079999923706055,21.923999977111816,-1.464864859608889
2023-04-06,75.85686492919922,161.910400390625,18.399999618530273,21.71349992752075,-1.4740430501824198
2023-04-10,75.6856689453125,163.09213256835938,18.969999313354492,21.42199993133545,-1.6457282591356472
2023-04-11,76.66777801513672,163.5011444091797,19.100000381469727,21.050999927520753,-1.4478262730242744
2023-04-12,77.01016998291016,161.3922882080078,19.09000015258789,20.81899995803833,-1.1323316541664552
2023-04-13,77.20840454101562,162.81031799316406,17.799999237060547,20.401999950408936,-1.2386003127378964
2023-04-14,78.12744903564453,162.69216918945312,17.06999969482422,20.10599994659424,-0.9985655747783794
2023-04-17,80.45207977294922,163.66477966308594,16.950000762939453,19.67799997329712,-0.5306273019574417
2023-04-18,80.9566421508789,163.9102325439453,16.829999923706055,19.311999988555907,-0.43282155427482566
2023-04-19,81.49725341796875,160.96505737304688,16.459999084472656,19.06599998474121,0.0232182327317023
2023-04-20,81.47923278808594,160.5469512939453,17.170000076293945,18.811499977111815,0.06454165576505198
2023-04-21,82.10093688964844,160.91053771972656,16.770000457763672,18.51949996948242,0.1783596823367309
2023-04-24,81.27200317382812,159.89244079589844,16.889999389648438,18.276999950408936,0.08499361862138627
2023-04-25,79.34381866455078,153.9748992919922,18.760000228881836,18.18499994277954,0.2564149012440291
2023-04-26,79.68620300292969,149.49356079101562,18.84000015258789,18.12849998474121,0.8316590949659795
2023-04-27,81.32608032226562,150.22979736328125,17.030000686645508,18.023999977111817,1.1562717522022516
2023-04-28,81.76683044433594,151.9841766357422,15.779999732971191,17.86199994087219,1.073104305870958
2023-05-01,79.912841796875,151.51148986816406,16.079999923706055,17.73099989891052,0.6667291918282475
2023-05-02,78.42237091064453,149.0208740234375,17.780000686645508,17.692499971389772,0.5711137910884958
2023-05-03,77.02277374267578,148.48455810546875,18.34000015258789,17.659499979019166,0.2839868919143224
2023-05-04,75.0779037475586,147.53009033203125,20.09000015258789,17.709999990463256,-0.09209748917917798
