Date,INTC,AMD,VIX,AvgVIX,zscore
2022-03-03,44.79209518432617,111.9800033569336,30.479999542236328,26.985500049591064,1.7380511730548074
2022-03-04,44.92293167114258,108.41000366210938,31.979999542236328,27.367000007629393,1.863893282275373
2022-03-07,44.5584602355957,102.94999694824219,36.45000076293945,28.028500080108643,1.9440836659409402
2022-03-08,44.39025115966797,105.52999877929688,35.130001068115234,28.642000102996825,1.8384914743469174
2022-03-09,44.5117301940918,111.05000305175781,32.45000076293945,29.192500114440918,1.7083007075286758
2022-03-10,43.60523986816406,106.45999908447266,30.229999542236328,29.706000137329102,1.6563755992758127
2022-03-11,42.8295783996582,104.29000091552734,30.75,30.048000144958497,1.5628003201824805
2022-03-14,41.493202209472656,102.25,31.770000457763672,30.268500137329102,1.354083412494853
2022-03-15,41.87635803222656,109.33000183105469,29.829999923706055,30.3435001373291,1.232310879947613
2022-03-16,43.577205657958984,115.37000274658203,26.670000076293945,30.392000102996825,1.4016616800968633
2022-03-17,44.05381774902344,111.69000244140625,25.670000076293945,30.461000061035158,1.5993423523348487
2022-03-18,44.3435173034668,113.45999908447266,23.8700008392334,30.249000072479248,1.6074614092000634
2022-03-21,44.287445068359375,115.91999816894531,23.530000686645508,30.038000106811523,1.5275248219183615
2022-03-22,45.22197723388672,114.77999877929688,22.940000534057617,29.744500160217285,1.7452471381074735
2022-03-23,45.10983657836914,113.91999816894531,23.56999969482422,29.37200012207031,1.7469933393431605
2022-03-24,48.24051284790039,120.52999877929688,21.670000076293945,28.9395001411438,2.1847492340567913
2022-03-25,48.436767578125,119.66999816894531,20.809999465942383,28.600500106811523,2.2478245665621017
2022-03-28,48.13771438598633,120.23999786376953,19.6299991607666,28.07450008392334,2.1724151101703972
2022-03-29,48.82926940917969,123.2300033569336,18.899999618530273,27.353500080108642,2.2263357360223783
2022-03-30,48.06295394897461,119.22000122070312,19.329999923706055,26.78300008773804,2.1860687003743977
2022-03-31,46.31538391113281,109.33999633789062,20.559999465942383,26.28700008392334,2.1147994909384193
2022-04-01,44.96031188964844,108.19000244140625,19.6299991607666,25.669500064849853,1.8774785185715315
2022-04-04,45.97895431518555,110.52999877929688,18.56999969482422,24.77550001144409,2.0146208324428443
2022-04-05,44.97900390625,106.81999969482422,21.030000686645508,24.070499992370607,1.9195033232775074
2022-04-06,44.42762756347656,103.66999816894531,22.100000381469727,23.55299997329712,1.8979331301503801
2022-04-07,44.446327209472656,103.72000122070312,21.549999237060547,23.11899995803833,1.9002536697256986
2022-04-08,43.94166946411133,101.0,21.15999984741211,22.639499950408936,1.8759506416119744
2022-04-11,43.52113723754883,97.37000274658203,24.3700008392334,22.26949996948242,1.8938222974581678
2022-04-12,43.455711364746094,95.0999984741211,24.260000228881836,21.99099998474121,1.9442845520892547
2022-04-13,43.93232345581055,97.73999786376953,21.81999969482422,21.748499965667726,1.9652472611735885
2022-04-14,42.6800537109375,93.05999755859375,22.700000762939453,21.6,1.8470750868363255
2022-04-18,43.586544036865234,93.88999938964844,22.170000076293945,21.51499996185303,2.0041362632937796
2022-04-19,44.79209518432617,96.93000030517578,21.3700008392334,21.40699996948242,2.158874909318746
2022-04-20,44.96031188964844,94.0199966430664,20.31999969482422,21.27599992752075,2.2736960317794486
2022-04-21,44.39025115966797,89.8499984741211,22.68000030517578,21.23149995803833,2.2769310075716684
2022-04-22,43.493099212646484,88.13999938964844,28.209999084472656,21.558499908447267,2.1463331334011997
2022-04-25,43.979061126708984,90.69000244140625,27.020000457763672,21.86899995803833,2.1716716485443435
2022-04-26,42.539878845214844,85.16000366210938,33.52000045776367,22.563500022888185,2.0400964684350558
2022-04-27,42.259517669677734,84.91000366210938,31.600000381469727,23.198500061035155,1.9913327940075178
2022-04-28,43.773460388183594,89.63999938964844,29.989999771118164,23.73150005340576,2.1601446773526924
2022-04-29,40.736228942871094,85.5199966430664,33.400001525878906,24.37350015640259,1.6713471285458135
2022-05-02,42.016536712646484,89.83999633789062,32.34000015258789,25.00900020599365,1.80516132288432
2022-05-03,42.1099853515625,91.12999725341797,29.25,25.54300022125244,1.7876743873265226
2022-05-04,43.493099212646484,99.41999816894531,25.420000076293945,25.762500190734862,1.8309251421183037
2022-05-05,42.00957107543945,93.87000274658203,31.200000762939453,26.21750020980835,1.6910902517163613
