Date,KDP,UPS,VIX,AvgVIX,zscore
2022-03-24,33.265438079833984,177.20567321777344,21.670000076293945,28.9395001411438,-0.7029278737954002
2022-03-25,33.55112838745117,177.77529907226562,20.809999465942383,28.600500106811523,-0.5722874083173201
2022-03-28,33.92610549926758,181.24244689941406,19.6299991607666,28.07450008392334,-0.5668505855507916
2022-03-29,34.18501281738281,183.6364288330078,18.899999618530273,27.353500080108642,-0.563099677693153
2022-03-30,34.06003952026367,181.77903747558594,19.329999923706055,26.78300008773804,-0.5220617058518164
2022-03-31,34.00439453125,177.04055786132812,20.559999465942383,26.28700008392334,-0.2649836028158577
2022-04-01,34.309452056884766,170.5850067138672,19.6299991607666,25.669500064849853,0.305776946394602
2022-04-04,34.4171257019043,169.40452575683594,18.56999969482422,24.77550001144409,0.4401927045667348
2022-04-05,33.15204620361328,162.80035400390625,21.030000686645508,24.070499992370607,0.11090116159904997
2022-04-06,33.94159698486328,160.472412109375,22.100000381469727,23.55299997329712,0.710186552552782
2022-04-07,33.74420928955078,159.07728576660156,21.549999237060547,23.11899995803833,0.6810732862907403
2022-04-08,33.78009033203125,157.6491241455078,21.15999984741211,22.639499950408936,0.7890419571126851
2022-04-11,33.72626495361328,157.5418243408203,24.3700008392334,22.26949996948242,0.7644274455207748
2022-04-12,33.76215362548828,155.10655212402344,24.260000228881836,21.99099998474121,0.9338873889774889
2022-04-13,33.789066314697266,155.9155731201172,21.81999969482422,21.748499965667726,0.9000771744449213
2022-04-14,33.4122314453125,155.21389770507812,22.700000762939453,21.6,0.7247250394966605
2022-04-18,32.999515533447266,154.50393676757812,22.170000076293945,21.51499996185303,0.5291032588407212
2022-04-19,33.6993408203125,157.41799926757812,21.3700008392334,21.40699996948242,0.7563979495060128
2022-04-20,34.103092193603516,157.20339965820312,20.31999969482422,21.27599992752075,1.0032761173869593
2022-04-21,33.65447998046875,155.85777282714844,22.68000030517578,21.23149995803833,0.8256791428302832
2022-04-22,33.196903228759766,154.49566650390625,28.209999084472656,21.558499908447267,0.6438977245720026
2022-04-25,33.46607971191406,156.5511932373047,27.020000457763672,21.86899995803833,0.6742582018229253
2022-04-26,33.241764068603516,151.1110382080078,33.52000045776367,22.563500022888185,0.8765134312857671
2022-04-27,33.968509674072266,153.87649536132812,31.600000381469727,23.198500061035155,1.128468031130436
2022-04-28,34.085140228271484,156.98048400878906,29.989999771118164,23.73150005340576,1.0064913511952591
2022-04-29,33.5557975769043,148.5767059326172,33.400001525878906,24.37350015640259,1.2130700364169156
2022-05-02,32.77521514892578,147.42095947265625,32.34000015258789,25.00900020599365,0.831666113813158
2022-05-03,33.36737823486328,147.04122924804688,29.25,25.54300022125244,1.1977183127167859
2022-05-04,33.394290924072266,151.7301483154297,25.420000076293945,25.762500190734862,0.9270297139557874
