Date,KBE,INTC,VIX,AvgVIX,zscore
2018-03-14,40.58523178100586,43.83161544799805,17.229999542236328,18.268499994277953,0.9058382305757454
2018-03-15,40.7059326171875,43.00333023071289,16.59000015258789,18.134999990463257,1.0824540645088345
2018-03-16,40.85848617553711,43.24843215942383,15.800000190734863,17.96850004196167,1.0893456518065439
2018-03-19,40.584049224853516,42.9610710144043,19.020000457763672,17.94650011062622,1.0512342460971331
2018-03-20,40.487186431884766,43.569610595703125,18.200000762939453,17.826500129699706,0.9189034698878609
2018-03-21,40.584049224853516,43.57807159423828,17.860000610351562,17.7185001373291,0.9479211062869473
2018-03-22,39.074649810791016,42.9610710144043,23.34000015258789,17.949500179290773,0.5769795230277802
2018-03-23,37.73477554321289,41.71864700317383,24.8700008392334,18.368500232696533,0.3640263981440967
2018-03-26,38.99394226074219,44.35563278198242,21.030000686645508,18.630000257492064,0.31810991979148046
2018-03-27,38.12221145629883,43.26533889770508,22.5,18.82550024986267,0.22677461333266255
2018-03-28,38.28364181518555,41.921485900878906,22.8700008392334,18.976500272750854,0.5025165122365698
2018-03-29,38.65492630004883,44.017555236816406,19.969999313354492,18.851500272750854,0.2681998927680918
2018-04-02,37.85584259033203,41.34675216674805,23.6200008392334,19.05300030708313,0.4643373949034235
2018-04-03,38.41278076171875,42.04827117919922,21.100000381469727,19.1715003490448,0.5218626377342245
2018-04-04,38.80828857421875,42.25111389160156,20.059999465942383,19.25650029182434,0.61216674010778
2018-04-05,39.066585540771484,42.58073806762695,18.940000534057617,19.31550030708313,0.6381302500906926
2018-04-06,38.0495491027832,41.236881256103516,21.489999771118164,19.56300024986267,0.543597405898507
2018-04-09,37.7912712097168,41.87923049926758,21.770000457763672,19.919500255584715,0.3548886224052218
2018-04-10,38.453147888183594,43.33296203613281,20.469999313354492,20.15400023460388,0.3194320539664188
2018-04-11,38.2513542175293,43.189273834228516,20.239999771118164,20.348500204086303,0.2800880411847433
2018-04-12,38.92937088012695,44.558494567871094,18.489999771118164,20.411500215530396,0.2638535109292853
