Date,KO,KLAC,VIX,AvgVIX,zscore
2020-03-31,36.879947662353516,134.26820373535156,53.540000915527344,59.99850034713745,-0.981525572449701
2020-04-01,35.104713439941406,122.9375228881836,57.060001373291016,61.252000427246095,-1.2837886243266616
2020-04-02,36.62993240356445,123.71282958984375,50.90999984741211,61.81650047302246,-0.9217416256834146
2020-04-03,36.5299072265625,119.50934600830078,46.79999923706055,62.059500503540036,-0.8980459234730995
2020-04-06,38.89689254760742,138.7145538330078,45.2400016784668,61.598500633239745,-0.5418376646075576
2020-04-07,38.76354217529297,137.56556701660156,46.70000076293945,61.568500709533694,-0.5611400789947741
2020-04-08,39.8553581237793,142.32949829101562,43.349998474121094,61.041000556945804,-0.35005376558910134
2020-04-09,40.83882522583008,140.227783203125,41.66999816894531,59.35100040435791,-0.08688379674418224
2020-04-13,39.11359405517578,142.06793212890625,41.16999816894531,58.51800022125244,-0.5274484598635483
2020-04-14,40.77214050292969,151.07275390625,37.7599983215332,56.27150001525879,-0.22699140336103193
2020-04-15,39.680335998535156,143.12351989746094,40.84000015258789,54.51799983978272,-0.40168655911483453
2020-04-16,39.255271911621094,146.3275146484375,40.11000061035156,52.70100002288818,-0.5416558950119899
2020-04-17,40.05537796020508,150.58700561523438,38.150001525878906,51.00850009918213,-0.395745186675858
2020-04-20,38.78022384643555,146.0005340576172,43.83000183105469,49.898000144958495,-0.6534430932716929
2020-04-21,37.82175064086914,138.798583984375,45.40999984741211,49.089000129699706,-0.8042514852863295
2020-04-22,38.0717887878418,148.22369384765625,41.97999954223633,48.104500198364256,-0.8511179127783719
2020-04-23,37.56336975097656,148.9429473876953,41.380001068115234,46.976000213623045,-0.9829722974602048
2020-04-24,37.86342239379883,154.05255126953125,35.93000030517578,45.722500228881835,-0.9683765288847247
2020-04-27,38.98856735229492,155.1173858642578,33.290000915527344,44.11000022888184,-0.7069273677900785
2020-04-28,38.955230712890625,155.31358337402344,33.56999969482422,42.93450012207031,-0.7172755266766009
2020-04-29,39.27194595336914,164.29966735839844,31.229999542236328,41.81900005340576,-0.7429120054646016
2020-04-30,38.24681091308594,153.27720642089844,34.150001525878906,40.673500061035156,-0.866286388193439
2020-05-01,38.00510787963867,140.36793518066406,37.189998626708984,39.9875,-0.7775905344280408
