Date,META,KDP,VIX,AvgVIX,zscore
2020-03-02,194.9104461669922,24.192705154418945,33.41999816894531,20.318499898910524,-1.375089497474744
2020-03-03,184.44259643554688,23.58488655090332,36.81999969482422,21.26099991798401,-1.4386791624146587
2020-03-04,190.26687622070312,23.773225784301758,31.989999771118164,22.05799994468689,-1.3116079184966882
2020-03-05,183.72821044921875,23.114051818847656,39.619998931884766,23.281499910354615,-1.180304719495938
2020-03-06,179.67996215820312,22.797292709350586,41.939998626708984,24.630499839782715,-1.1549081986078635
2020-03-09,168.1802215576172,20.931053161621094,54.459999084472656,26.57999978065491,-0.4914223803023275
2020-03-10,176.80252075195312,21.61591339111328,47.29999923706055,28.192999744415282,-0.551755274592055
2020-03-11,168.91444396972656,20.982419967651367,53.900001525878906,30.12899980545044,-0.4923063270483493
2020-03-12,153.26724243164062,19.68118667602539,75.47000122070312,33.21549987792969,-0.3470887123554389
2020-03-13,168.9541473388672,20.092098236083984,57.83000183105469,35.39949998855591,0.05411807253780622
2020-03-16,144.8731231689453,16.779088973999023,82.69000244140625,38.850000095367434,1.0794269068496456
2020-03-17,148.25656127929688,17.395462036132812,75.91000366210938,41.9040002822876,0.8430430513286513
2020-03-18,145.8157196044922,17.04446792602539,76.44999694824219,45.007500123977664,0.9562617749363823
2020-03-19,151.9376678466797,20.81976318359375,72.0,47.829500102996825,-1.0990796284749602
2020-03-20,148.56414794921875,20.143465042114258,66.04000091552734,50.27750015258789,-0.8256160091761532
2020-03-23,146.9468536376953,19.843839645385742,61.59000015258789,52.10550012588501,-0.7095661325298355
2020-03-24,159.72653198242188,20.45165252685547,61.66999816894531,53.796500015258786,-0.5497918664029178
2020-03-25,154.99368286132812,21.401899337768555,63.95000076293945,55.61600008010864,-1.3281365873702025
2020-03-26,162.0681610107422,21.22212028503418,61.0,56.708000087738036,-0.9238069482177674
2020-03-27,155.56918334960938,20.871126174926758,65.54000091552734,57.97950010299682,-0.9794225321065583
2020-03-30,164.6578369140625,21.213560104370117,57.08000183105469,59.16250028610229,-0.8108284881523508
2020-03-31,165.50123596191406,20.776960372924805,53.540000915527344,59.99850034713745,-0.5085919125372617
2020-04-01,158.35728454589844,20.2547550201416,57.060001373291016,61.252000427246095,-0.4862797034042618
2020-04-02,156.95828247070312,20.556289672851562,50.90999984741211,61.81650047302246,-0.7289875318963905
2020-04-03,152.97950744628906,20.504602432250977,46.79999923706055,62.059500503540036,-0.8628935781409096
2020-04-06,164.26097106933594,21.185216903686523,45.2400016784668,61.598500633239745,-0.8099969394297509
2020-04-07,167.51541137695312,22.322446823120117,46.70000076293945,61.568500709533694,-1.3704509773850577
2020-04-08,172.9229736328125,22.925519943237305,43.349998474121094,61.041000556945804,-1.5144853563159935
2020-04-09,173.82589721679688,23.140905380249023,41.66999816894531,59.35100040435791,-1.6087108601576237
2020-04-13,173.4290008544922,22.684284210205078,41.16999816894531,58.51800022125244,-1.3458246434191892
2020-04-14,176.78269958496094,23.683673858642578,37.7599983215332,56.27150001525879,-1.8178070476280268
2020-04-15,175.592041015625,23.123676300048828,40.84000015258789,54.51799983978272,-1.524690201414378
2020-04-16,174.8776397705078,23.097824096679688,40.11000061035156,52.70100002288818,-1.5385935640897206
2020-04-17,177.84439086914062,22.52921485900879,38.150001525878906,51.00850009918213,-1.0672428988754044
2020-04-20,176.8521728515625,22.417211532592773,43.83000183105469,49.898000144958495,-1.0399901310663024
2020-04-21,169.47007751464844,22.098445892333984,45.40999984741211,49.089000129699706,-1.1520669070606901
2020-04-22,180.8607177734375,22.865217208862305,41.97999954223633,48.104500198364256,-1.1473459884260007
2020-04-23,183.6885223388672,22.546443939208984,41.380001068115234,46.976000213623045,-0.8346463818628136
2020-04-24,188.5900421142578,22.649826049804688,35.93000030517578,45.722500228881835,-0.693981753436275
2020-04-27,186.0400390625,22.279369354248047,33.290000915527344,44.11000022888184,-0.5733957475344231
2020-04-28,181.48577880859375,23.356290817260742,33.56999969482422,42.93450012207031,-1.4218205192184281
2020-04-29,192.677978515625,22.994447708129883,31.229999542236328,41.81900005340576,-0.7347757092596177
2020-04-30,203.11607360839844,22.796289443969727,34.150001525878906,40.673500061035156,-0.17926054350911463
2020-05-01,200.695068359375,22.313825607299805,37.189998626708984,39.9875,0.015227521773993533
