Date,XOM,XLU,VIX,AvgVIX,zscore
2022-04-06,72.89071655273438,34.02729034423828,22.100000381469727,23.55299997329712,-1.0833483943741573
2022-04-07,74.11064910888672,33.94321823120117,21.549999237060547,23.11899995803833,-0.9874571927628384
2022-04-08,75.6703872680664,34.058284759521484,21.15999984741211,22.639499950408936,-0.817212594324293
2022-04-11,73.0649642944336,33.5936164855957,24.3700008392334,22.26949996948242,-1.15991925068584
2022-04-12,74.58988189697266,33.721946716308594,24.260000228881836,21.99099998474121,-0.9900859764892063
2022-04-13,75.64424896240234,33.65555953979492,21.81999969482422,21.748499965667726,-0.905865538292861
2022-04-14,76.53305053710938,33.67326736450195,22.700000762939453,21.6,-0.8190992347539799
2022-04-18,77.16045379638672,33.491825103759766,22.170000076293945,21.51499996185303,-0.7993689369482807
2022-04-19,76.4720687866211,33.70867156982422,21.3700008392334,21.40699996948242,-0.8172131872902161
2022-04-20,76.64633178710938,33.98305892944336,20.31999969482422,21.27599992752075,-0.7422055422820018
2022-04-21,75.83597564697266,33.42101287841797,22.68000030517578,21.23149995803833,-0.9381767818255039
2022-04-22,74.18033599853516,32.858985900878906,28.209999084472656,21.558499908447267,-1.2130567669440895
2022-04-25,71.67949676513672,32.63328552246094,27.020000457763672,21.86899995803833,-1.4948431652842353
2022-04-26,71.70562744140625,32.3057975769043,33.52000045776367,22.563500022888185,-1.5625101531343755
2022-04-27,73.75334167480469,32.150909423828125,31.600000381469727,23.198500061035155,-1.4044998658803212
2022-04-28,75.98407745361328,32.509368896484375,29.989999771118164,23.73150005340576,-1.1195092271676688
2022-04-29,74.28489685058594,31.5357723236084,33.400001525878906,24.37350015640259,-1.4865601547091765
2022-05-02,75.29570007324219,31.212705612182617,32.34000015258789,25.00900020599365,-1.4613549528738214
2022-05-03,76.84675598144531,31.332197189331055,29.25,25.54300022125244,-1.2909736149440534
