Date,KO,FDX,VIX,AvgVIX,zscore
2020-03-12,38.96356964111328,86.89280700683594,75.47000122070312,33.21549987792969,-1.0761094130346438
2020-03-13,40.397090911865234,95.5193862915039,57.83000183105469,35.39949998855591,-0.8908557888571055
2020-03-16,37.721736907958984,81.0611343383789,82.69000244140625,38.850000095367434,-1.2461143320462567
2020-03-17,39.32195281982422,85.06537628173828,75.91000366210938,41.9040002822876,-1.00668012533613
2020-03-18,37.3800163269043,89.29357147216797,76.44999694824219,45.007500123977664,-1.3499700810047826
2020-03-19,34.86301803588867,100.04319763183594,72.0,47.829500102996825,-1.8254902861452837
2020-03-20,31.920949935913086,99.48778533935547,66.04000091552734,50.27750015258789,-2.3051920760802385
2020-03-23,31.30420684814453,100.11485290527344,61.59000015258789,52.10550012588501,-2.410065270524685
2020-03-24,32.8794059753418,107.53209686279297,61.66999816894531,53.796500015258786,-2.194539502399672
2020-03-25,34.679664611816406,105.98234558105469,63.95000076293945,55.61600008010864,-1.8900453870264184
2020-03-26,36.91328048706055,112.51276397705078,61.0,56.708000087738036,-1.561298819561229
2020-03-27,35.67979431152344,108.01583862304688,65.54000091552734,57.97950010299682,-1.7376778359660818
2020-03-30,37.505043029785156,111.35717010498047,57.08000183105469,59.16250028610229,-1.4574595600644744
2020-03-31,36.87995910644531,108.6249771118164,53.540000915527344,59.99850034713745,-1.544211590754959
2020-04-01,35.104732513427734,101.65563201904297,57.060001373291016,61.252000427246095,-1.7951694524207482
2020-04-02,36.629920959472656,104.48637390136719,50.90999984741211,61.81650047302246,-1.5612420006236283
2020-04-03,36.529903411865234,97.8395004272461,46.79999923706055,62.059500503540036,-1.5390944941129308
2020-04-06,38.89689636230469,106.61837768554688,45.2400016784668,61.598500633239745,-1.2015002634623884
2020-04-07,38.7635498046875,103.86827087402344,46.70000076293945,61.568500709533694,-1.2074323804173464
2020-04-08,39.85535430908203,112.45901489257812,43.349998474121094,61.041000556945804,-1.0780617657811054
2020-04-09,40.83881759643555,109.54763793945312,41.66999816894531,59.35100040435791,-0.8997400198891942
2020-04-13,39.11358642578125,110.65846252441406,41.16999816894531,58.51800022125244,-1.1893721589318196
2020-04-14,40.77214050292969,112.04694366455078,37.7599983215332,56.27150001525879,-0.9251855472694086
2020-04-15,39.680328369140625,107.40669250488281,40.84000015258789,54.51799983978272,-1.0774779811472146
2020-04-16,39.25527572631836,106.67213439941406,40.11000061035156,52.70100002288818,-1.1429861597087576
2020-04-17,40.05537796020508,111.84089660644531,38.150001525878906,51.00850009918213,-1.0416426936198573
2020-04-20,38.78021240234375,109.86119079589844,43.83000183105469,49.898000144958495,-1.2394679359765581
2020-04-21,37.82175064086914,107.92625427246094,45.40999984741211,49.089000129699706,-1.385567744721147
2020-04-22,38.07176971435547,106.18839263916016,41.97999954223633,48.104500198364256,-1.3344455032069473
2020-04-23,37.56338119506836,108.2845687866211,41.380001068115234,46.976000213623045,-1.430056588721539
2020-04-24,37.8634147644043,110.23741912841797,35.93000030517578,45.722500228881835,-1.3921380742410259
2020-04-27,38.98857498168945,114.02664947509766,33.290000915527344,44.11000022888184,-1.2294341549812378
2020-04-28,38.955238342285156,114.42977905273438,33.56999969482422,42.93450012207031,-1.2372451187728635
2020-04-29,39.271949768066406,115.98846435546875,31.229999542236328,41.81900005340576,-1.194302099733083
2020-04-30,38.246803283691406,113.56082153320312,34.150001525878906,40.673500061035156,-1.3484891803258574
2020-05-01,38.00511169433594,105.88381958007812,37.189998626708984,39.9875,-1.3436199318069468
