Date,AMD,UPS,VIX,AvgVIX,zscore
2020-03-10,45.380001068115234,72.78614044189453,47.29999923706055,28.192999744415282,-0.2841999126617451
2020-03-11,45.70000076293945,68.99862670898438,53.900001525878906,30.12899980545044,-0.14608198866068997
2020-03-12,39.0099983215332,67.57144165039062,75.47000122070312,33.21549987792969,-0.46465311844359225
2020-03-13,43.900001525878906,73.89183044433594,57.83000183105469,35.39949998855591,-0.39997522625092014
2020-03-16,38.709999084472656,68.26934051513672,82.69000244140625,38.850000095367434,-0.5032197100154515
2020-03-17,41.880001068115234,75.8992691040039,75.91000366210938,41.9040002822876,-0.5738739449852202
2020-03-18,39.119998931884766,77.83616638183594,76.44999694824219,45.007500123977664,-0.785793719908726
2020-03-19,39.81999969482422,75.47581481933594,72.0,47.829500102996825,-0.6724792769746432
2020-03-20,39.61000061035156,73.28800964355469,66.04000091552734,50.27750015258789,-0.6141837537946175
2020-03-23,41.63999938964844,72.06470489501953,61.59000015258789,52.10550012588501,-0.4647305184062928
2020-03-24,46.220001220703125,74.69950866699219,61.66999816894531,53.796500015258786,-0.2994662359610808
2020-03-25,44.630001068115234,74.10353088378906,63.95000076293945,55.61600008010864,-0.3669970615003676
2020-03-26,47.5,78.2439193725586,61.0,56.708000087738036,-0.3427685780205039
2020-03-27,46.58000183105469,76.47169494628906,65.54000091552734,57.97950010299682,-0.3363536700081984
2020-03-30,47.86000061035156,76.7226333618164,57.08000183105469,59.16250028610229,-0.2746963238066181
2020-03-31,45.47999954223633,73.25664520263672,53.540000915527344,59.99850034713745,-0.2937527514314904
2020-04-01,43.65999984741211,70.88060760498047,57.060001373291016,61.252000427246095,-0.3170708707429725
2020-04-02,44.4900016784668,72.95865631103516,50.90999984741211,61.81650047302246,-0.3381294822763458
2020-04-03,42.59000015258789,70.57478332519531,46.79999923706055,62.059500503540036,-0.3655514058528811
2020-04-06,47.52000045776367,75.02885437011719,45.2400016784668,61.598500633239745,-0.23921927450593597
2020-04-07,47.560001373291016,72.85671997070312,46.70000076293945,61.568500709533694,-0.16781875509041114
2020-04-08,48.790000915527344,77.46760559082031,43.349998474121094,61.041000556945804,-0.24782943277233344
2020-04-09,48.380001068115234,77.38919067382812,41.66999816894531,59.35100040435791,-0.2676416486218987
2020-04-13,50.939998626708984,77.17745208740234,41.16999816894531,58.51800022125244,-0.1215847421780951
2020-04-14,54.93000030517578,79.5142593383789,37.7599983215332,56.27150001525879,0.021069981294591363
2020-04-15,54.9900016784668,78.35371398925781,40.84000015258789,54.51799983978272,0.06132054074406002
2020-04-16,56.95000076293945,80.15728759765625,40.11000061035156,52.70100002288818,0.11050095381466644
2020-04-17,56.599998474121094,80.57289123535156,38.150001525878906,51.00850009918213,0.07820978280524508
2020-04-20,56.970001220703125,79.35741424560547,43.83000183105469,49.898000144958495,0.13708050006658218
2020-04-21,52.91999816894531,78.90261840820312,45.40999984741211,49.089000129699706,-0.06881718921190366
2020-04-22,55.91999816894531,76.54227447509766,41.97999954223633,48.104500198364256,0.16965752544192972
2020-04-23,55.900001525878906,77.98516082763672,41.380001068115234,46.976000213623045,0.12258600158881215
2020-04-24,56.18000030517578,78.55757141113281,35.93000030517578,45.722500228881835,0.11958071612391462
2020-04-27,56.4900016784668,80.41605377197266,33.290000915527344,44.11000022888184,0.07722227159095876
2020-04-28,55.5099983215332,75.61697387695312,33.56999969482422,42.93450012207031,0.1768347144691861
2020-04-29,53.65999984741211,75.36605072021484,31.229999542236328,41.81900005340576,0.08415884766356656
2020-04-30,52.38999938964844,74.22899627685547,34.150001525878906,40.673500061035156,0.05128522348747351
2020-05-01,49.880001068115234,72.06470489501953,37.189998626708984,39.9875,-0.01632912943443248
