Date,AVGO,AMAT,VIX,AvgVIX,zscore
2022-03-30,58.731292724609375,131.04537963867188,19.329999923706055,26.78300008773804,-2.144974197092615
2022-03-31,58.60007858276367,127.1854476928711,20.559999465942383,26.28700008392334,-1.7667512849402973
2022-04-01,58.34881591796875,122.94915771484375,19.6299991607666,25.669500064849853,-1.3654313344445501
2022-04-04,59.081207275390625,124.90807342529297,18.56999969482422,24.77550001144409,-1.4718309255180007
2022-04-05,57.15201950073242,117.44871520996094,21.030000686645508,24.070499992370607,-0.9562107791862055
2022-04-06,56.02408981323242,115.15204620361328,22.100000381469727,23.55299997329712,-0.8660631728971225
2022-04-07,56.12179946899414,118.11455535888672,21.549999237060547,23.11899995803833,-1.1567355329960678
2022-04-08,54.62813186645508,115.75997161865234,21.15999984741211,22.639499950408936,-1.1076536833283335
2022-04-11,54.033470153808594,112.17023468017578,24.3700008392334,22.26949996948242,-0.8166348362387459
2022-04-12,54.44852066040039,110.54905700683594,24.260000228881836,21.99099998474121,-0.597369729771172
2022-04-13,55.143707275390625,112.76852416992188,21.81999969482422,21.748499965667726,-0.7352184466075382
2022-04-14,53.404354095458984,109.39105987548828,22.700000762939453,21.6,-0.6130079550621603
2022-04-18,54.58159637451172,110.84821319580078,22.170000076293945,21.51499996185303,-0.6108909264176089
2022-04-19,55.61647033691406,112.96151733398438,21.3700008392334,21.40699996948242,-0.6942269723815341
2022-04-20,55.62577819824219,113.762451171875,20.31999969482422,21.27599992752075,-0.7750104366931897
2022-04-21,55.16138458251953,111.63948059082031,22.68000030517578,21.23149995803833,-0.6173840522912821
2022-04-22,54.62348175048828,108.85066986083984,28.209999084472656,21.558499908447267,-0.4010509144778648
2022-04-25,54.71003723144531,110.46219635009766,27.020000457763672,21.86899995803833,-0.5548769000717327
2022-04-26,52.12194061279297,105.10652160644531,33.52000045776367,22.563500022888185,-0.3392419690851732
2022-04-27,52.07261657714844,105.0003662109375,31.600000381469727,23.198500061035155,-0.3347140915692982
2022-04-28,53.8780517578125,110.61659240722656,29.989999771118164,23.73150005340576,-0.6775817638517326
2022-04-29,51.59334182739258,106.4864501953125,33.400001525878906,24.37350015640259,-0.54840387238229
2022-05-02,53.63701248168945,109.01471710205078,32.34000015258789,25.00900020599365,-0.5445932223120669
2022-05-03,54.0855827331543,109.81566619873047,29.25,25.54300022125244,-0.5689374918540272
