Date,PEP,META,VIX,AvgVIX,zscore
2022-05-24,147.69398498535156,179.86846923828125,29.450000762939453,30.278500366210938,-0.9796941474816248
2022-05-25,148.70606994628906,182.39862060546875,28.3700008392334,30.117000389099122,-0.866501902315479
2022-05-26,149.7093505859375,190.13790893554688,27.5,29.992500400543214,-0.768704364704728
2022-05-27,151.1702423095703,193.61065673828125,25.719999313354492,29.608500289916993,-0.6048231094855597
2022-05-31,147.63233947753906,192.1322784423828,26.190000534057617,29.301000308990478,-1.0207957537516172
2022-06-01,146.52345275878906,187.17117309570312,25.690000534057617,29.12300033569336,-1.138784545314884
2022-06-02,147.7109375,197.31158447265625,24.719999313354492,29.088000297546387,-1.0257312572701243
2022-06-03,146.08921813964844,189.29452514648438,24.790000915527344,28.76750030517578,-1.1961890888968905
2022-06-06,146.7007293701172,192.73748779296875,25.06999969482422,28.51150026321411,-1.1330702994332165
2022-06-07,147.6046142578125,194.12660217285156,24.020000457763672,27.975000286102294,-1.0295811713887857
2022-06-08,146.8690948486328,195.10887145996094,23.959999084472656,27.523500156402587,-1.1196131015100923
2022-06-09,144.25482177734375,182.56729125976562,26.09000015258789,27.200000095367432,-1.3954504811292792
2022-06-10,144.02439880371094,174.20294189453125,27.75,26.999000072479248,-1.3997670112092884
2022-06-13,141.56080627441406,162.98101806640625,34.02000045776367,27.256500053405762,-1.6613497247823494
2022-06-14,138.35276794433594,162.45513916015625,32.689998626708984,27.517500019073488,-2.0407823122761943
2022-06-15,139.8326873779297,168.03140258789062,29.6200008392334,27.69350004196167,-1.8804364196605203
2022-06-16,139.1591796875,159.6173858642578,32.95000076293945,27.79300012588501,-1.9372223127338997
2022-06-17,139.18580627441406,162.4650421142578,31.1299991607666,27.882000064849855,-1.9419053360612715
2022-06-21,142.42041015625,155.8271484375,30.190000534057617,27.920000076293945,-1.5395849464949318
2022-06-22,143.5901641845703,154.6365203857422,28.950000762939453,27.943500137329103,-1.3974236261658048
2022-06-23,145.4246063232422,157.513916015625,29.049999237060547,27.923500061035156,-1.1875518076676865
2022-06-24,147.22357177734375,168.83506774902344,27.229999542236328,27.866499996185304,-1.0051517025701593
2022-06-27,147.41854858398438,168.17030334472656,26.950000762939453,27.839000034332276,-0.9801714654364884
2022-06-28,145.34483337402344,159.4288787841797,28.360000610351562,27.971000099182127,-1.2022980908025707
2022-06-29,147.75526428222656,162.66351318359375,28.15999984741211,28.069500064849855,-0.9250248460456202
2022-06-30,147.69325256347656,159.9944305419922,28.709999084472656,28.220499992370605,-0.9250349074804051
2022-07-01,150.112548828125,158.78392028808594,26.700000762939453,28.319500064849855,-0.6344642468837881
2022-07-05,149.7758331298828,166.8804168701172,27.540000915527344,28.457000064849854,-0.6967446242169368
