Date,CVX,HD,VIX,AvgVIX,zscore
2020-03-23,41.56727600097656,140.45584106445312,61.59000015258789,52.10550012588501,-1.723022262651978
2020-03-24,51.019962310791016,159.76966857910156,61.66999816894531,53.796500015258786,-0.9690284495736429
2020-03-25,53.10521697998047,157.20953369140625,63.95000076293945,55.61600008010864,-0.6310893068835801
2020-03-26,58.55604553222656,168.84280395507812,61.0,56.708000087738036,-0.2087850875005382
2020-03-27,52.72957992553711,164.81222534179688,65.54000091552734,57.97950010299682,-0.8716445676606803
2020-03-30,55.159812927246094,169.61257934570312,57.08000183105469,59.16250028610229,-0.6736424827293115
2020-03-31,55.550819396972656,161.49090576171875,53.540000915527344,59.99850034713745,-0.4180137017482083
2020-04-01,52.560909271240234,154.5022430419922,57.060001373291016,61.252000427246095,-0.634372222223864
2020-04-02,58.35671615600586,156.82029724121094,50.90999984741211,61.81650047302246,0.06755248421183618
2020-04-03,57.5824089050293,154.56283569335938,46.79999923706055,62.059500503540036,0.022782497455615083
2020-04-06,61.63028335571289,165.48690795898438,45.2400016784668,61.598500633239745,0.27890196736066175
2020-04-07,62.036598205566406,166.3171844482422,46.70000076293945,61.568500709533694,0.3113094259848858
2020-04-08,65.91580963134766,168.50550842285156,43.349998474121094,61.041000556945804,0.7650948157499793
2020-04-09,64.63550567626953,174.3091278076172,41.66999816894531,59.35100040435791,0.4511370698139493
2020-04-13,65.09550476074219,171.9392547607422,41.16999816894531,58.51800022125244,0.5711015367019586
2020-04-14,64.86551666259766,179.18731689453125,37.7599983215332,56.27150001525879,0.3585737245816879
2020-04-15,63.24021911621094,171.67112731933594,40.84000015258789,54.51799983978272,0.3344863871326649
2020-04-16,61.32362365722656,172.85606384277344,40.11000061035156,52.70100002288818,0.053270306720480776
2020-04-17,66.8281021118164,181.13345336914062,38.150001525878906,51.00850009918213,0.5670451981535475
2020-04-20,64.06818389892578,178.21864318847656,43.83000183105469,49.898000144958495,0.27835778412836426
