Date,BAC,CVX,VIX,AvgVIX,zscore
2022-03-09,37.04314041137695,141.5852508544922,32.45000076293945,29.192500114440918,0.0920329272871329
2022-03-10,36.709171295166016,145.4597930908203,30.229999542236328,29.706000137329102,-0.09824276112119158
2022-03-11,36.40228271484375,145.5279083251953,30.75,30.048000144958497,-0.14146583641260452
2022-03-14,37.18754959106445,141.9684600830078,31.770000457763672,30.268500137329102,0.09672063971225932
2022-03-15,37.458335876464844,134.78147888183594,29.829999923706055,30.3435001373291,0.4034725705817127
2022-03-16,38.631736755371094,134.2960968017578,26.670000076293945,30.392000102996825,0.5772158089432738
2022-03-17,38.83933639526367,136.62081909179688,25.670000076293945,30.461000061035158,0.5170987825322202
2022-03-18,38.72199249267578,137.71929931640625,23.8700008392334,30.249000072479248,0.4601514123349766
2022-03-21,38.6678352355957,140.19725036621094,23.530000686645508,30.038000106811523,0.3595822910182565
2022-03-22,39.87733459472656,139.72891235351562,22.940000534057617,29.744500160217285,0.5374653671632835
2022-03-23,38.893489837646484,141.2361297607422,23.56999969482422,29.37200012207031,0.3503208348201991
2022-03-24,38.87544631958008,141.61080932617188,21.670000076293945,28.9395001411438,0.3338087230712571
2022-03-25,39.471160888671875,144.17396545410156,20.809999465942383,28.600500106811523,0.31612152582563013
2022-03-28,39.308692932128906,141.65341186523438,19.6299991607666,28.07450008392334,0.38959840362609627
2022-03-29,39.20941162109375,139.9247589111328,18.899999618530273,27.353500080108642,0.4415991774794817
2022-03-30,38.812255859375,140.91261291503906,19.329999923706055,26.78300008773804,0.351752589263472
2022-03-31,37.20560836791992,138.656005859375,20.559999465942383,26.28700008392334,0.22396013323244518
2022-04-01,36.91677474975586,139.83961486816406,19.6299991607666,25.669500064849853,0.14108573127531393
2022-04-04,36.85359573364258,139.96731567382812,18.56999969482422,24.77550001144409,0.12790286936536024
2022-04-05,36.230796813964844,139.1072998046875,21.030000686645508,24.070499992370607,0.0778102790050029
2022-04-06,35.83364486694336,140.34202575683594,22.100000381469727,23.55299997329712,-0.021340460811007676
2022-04-07,35.5538330078125,142.2920684814453,21.549999237060547,23.11899995803833,-0.13190673571132167
2022-04-08,35.806556701660156,144.70188903808594,21.15999984741211,22.639499950408936,-0.1892532173518358
2022-04-11,35.73435592651367,140.98065185546875,24.3700008392334,22.26949996948242,-0.05856395562310791
2022-04-12,35.35525131225586,143.91847229003906,24.260000228881836,21.99099998474121,-0.21951383021358903
2022-04-13,35.039344787597656,146.1835479736328,21.81999969482422,21.748499965667726,-0.34673549226428646
2022-04-14,33.91107940673828,146.11546325683594,22.700000762939453,21.6,-0.49363901483859746
2022-04-18,35.06642150878906,148.07398986816406,22.170000076293945,21.51499996185303,-0.4143996016070599
2022-04-19,35.716312408447266,146.31980895996094,21.3700008392334,21.40699996948242,-0.26218829628714124
2022-04-20,35.79753875732422,146.9158935546875,20.31999969482422,21.27599992752075,-0.27389419868591397
2022-04-21,35.12057876586914,140.1461944580078,22.68000030517578,21.23149995803833,-0.10842467122341092
2022-04-22,33.90205764770508,137.05508422851562,28.209999084472656,21.558499908447267,-0.1533465546813934
2022-04-25,33.65835189819336,134.1087646484375,27.020000457763672,21.86899995803833,-0.07458463545707233
2022-04-26,32.90016174316406,133.2913055419922,33.52000045776367,22.563500022888185,-0.1442174765496996
2022-04-27,32.71963119506836,133.04434204101562,31.600000381469727,23.198500061035155,-0.15882558434885294
2022-04-28,33.225093841552734,137.77037048339844,29.989999771118164,23.73150005340576,-0.26998824443392916
2022-04-29,32.20514678955078,133.41050720214844,33.400001525878906,24.37350015640259,-0.24078397825566217
2022-05-02,32.62034606933594,136.0332489013672,32.34000015258789,25.00900020599365,-0.2846311624894094
2022-05-03,33.5139274597168,138.36647033691406,29.25,25.54300022125244,-0.2541914532476301
2022-05-04,34.858821868896484,142.70932006835938,25.420000076293945,25.762500190734862,-0.23970629806281385
