Date,SHEL,ADI,VIX,AvgVIX,zscore
2020-03-31,27.81334114074707,80.67738342285156,53.540000915527344,59.99850034713745,1.233699707424438
2020-04-01,28.148147583007812,75.67386627197266,57.060001373291016,61.252000427246095,1.5221019414999961
2020-04-02,31.057825088500977,78.92253875732422,50.90999984741211,61.81650047302246,1.780718736777913
2020-04-03,28.889522552490234,77.89664459228516,46.79999923706055,62.059500503540036,1.5208970820465013
2020-04-06,29.758440017700195,86.21186065673828,45.2400016784668,61.598500633239745,1.2448377671513544
2020-04-07,29.702632904052734,86.61681365966797,46.70000076293945,61.568500709533694,1.2174027180122364
2020-04-08,30.348339080810547,91.25137329101562,43.349998474121094,61.041000556945804,1.086552766329281
2020-04-09,30.220806121826172,88.902587890625,41.66999816894531,59.35100040435791,1.1813427319391818
2020-04-13,29.79032325744629,89.69452667236328,41.16999816894531,58.51800022125244,1.081871145630553
2020-04-14,29.503339767456055,92.70923614501953,37.7599983215332,56.27150001525879,0.8959473341326902
2020-04-15,27.390838623046875,90.39645385742188,40.84000015258789,54.51799983978272,0.7059800900878599
2020-04-16,25.987817764282227,91.63833618164062,40.11000061035156,52.70100002288818,0.44619793356054116
2020-04-17,28.283672332763672,92.51126098632812,38.150001525878906,51.00850009918213,0.7315641880592022
2020-04-20,26.689327239990234,90.8104248046875,43.83000183105469,49.898000144958495,0.5860439315394936
2020-04-21,26.250886917114258,86.81478881835938,45.40999984741211,49.089000129699706,0.7157151865477599
2020-04-22,27.789424896240234,91.89932250976562,41.97999954223633,48.104500198364256,0.690525829096662
2020-04-23,28.028573989868164,91.6203384399414,41.380001068115234,46.976000213623045,0.7380436074828868
2020-04-24,27.924943923950195,95.31898498535156,35.93000030517578,45.722500228881835,0.5453664600202978
2020-04-27,28.554704666137695,97.21781921386719,33.290000915527344,44.11000022888184,0.5438285325552633
2020-04-28,28.69819450378418,96.83985900878906,33.56999969482422,42.93450012207031,0.582467444267392
2020-04-29,30.30051040649414,101.99636840820312,31.229999542236328,41.81900005340576,0.5629098657962089
2020-04-30,26.410320281982422,98.63069915771484,34.150001525878906,40.673500061035156,0.17011469230045714
2020-05-01,24.943517684936523,93.2671890258789,37.189998626708984,39.9875,0.21895087764264162
2020-05-04,26.10738754272461,93.05122375488281,35.970001220703125,39.44600009918213,0.39528827110843917
