Date,GOOGL,CVX,VIX,AvgVIX,zscore
2016-10-03,39.690956115722656,68.40280151367188,13.569999694824219,14.336000013351441,-0.13350258817311292
2016-10-04,39.81047058105469,67.61495208740234,13.630000114440918,14.416499996185303,0.00657376894781638
2016-10-05,39.73311233520508,68.25592803955078,12.989999771118164,14.469000005722046,-0.10366458645723686
2016-10-06,39.82484817504883,68.22254180908203,12.84000015258789,14.485500001907349,-0.08148752377272188
2016-10-07,39.70731735229492,68.28263092041016,13.479999542236328,14.284499979019165,-0.11248685076272057
2016-10-10,40.37480545043945,69.42436218261719,13.380000114440918,14.195499992370605,-0.15794778427149986
2016-10-11,40.14668273925781,68.79674530029297,15.359999656677246,14.070999956130981,-0.10694825713814865
2016-10-12,40.25578689575195,68.20252227783203,15.90999984741211,13.959499979019165,0.00225542315895252
2016-10-13,39.87443923950195,67.29447937011719,16.690000534057617,13.979000043869018,0.06642961654246406
2016-10-14,39.90022659301758,67.48810577392578,16.1200008392334,14.016500091552734,0.042339938125484554
2016-10-17,40.01130294799805,67.67504119873047,16.209999084472656,14.050500059127808,0.03523180290632297
2016-10-18,40.7378044128418,67.96215057373047,15.279999732971191,14.01850004196167,0.12848384254948933
2016-10-19,41.00311279296875,68.28263092041016,14.40999984741211,14.074000024795533,0.13032933785888112
2016-10-20,40.74474334716797,68.01556396484375,13.75,14.160500001907348,0.12180577309020796
2016-10-21,40.8652458190918,67.63500213623047,13.34000015258789,14.213000011444091,0.20123085551282358
2016-10-24,41.4444580078125,67.20768737792969,13.020000457763672,14.139000034332275,0.3735959882324013
2016-10-25,41.087913513183594,67.2811279296875,13.460000038146973,14.157000017166137,0.2958141274070859
2016-10-26,40.76805114746094,67.5615463256836,14.239999771118164,14.249499988555907,0.1939898353000158
2016-10-27,40.53250503540039,66.71359252929688,15.359999656677246,14.316499948501587,0.27650996073275097
2016-10-28,40.642093658447266,69.31751251220703,16.190000534057617,14.461499977111817,-0.09190114882295627
2016-10-31,40.16304397583008,69.93846893310547,17.059999465942383,14.635999965667725,-0.274421246859455
2016-11-01,39.94386291503906,71.0935287475586,18.559999465942383,14.882499933242798,-0.4880239981658812
2016-11-02,39.09785842895508,70.36576843261719,19.31999969482422,15.198999929428101,-0.5378495532231058
2016-11-03,38.788909912109375,70.36576843261719,22.079999923706055,15.66099991798401,-0.5957427198341568
2016-11-04,38.73485565185547,69.95848846435547,22.510000228881836,16.112499952316284,-0.5450365504687129
2016-11-07,39.77278137207031,71.34056854248047,18.709999084472656,16.37899990081787,-0.5569828363448837
2016-11-08,40.26619338989258,71.63434600830078,18.739999771118164,16.547999906539918,-0.5084049136455092
2016-11-09,39.94932174682617,71.86802673339844,14.380000114440918,16.471499919891357,-0.6026875903810704
2016-11-10,38.6946907043457,71.96817016601562,14.739999771118164,16.373999881744385,-0.8527484668766551
2016-11-11,38.27119064331055,71.20034790039062,14.170000076293945,16.276499843597414,-0.8174178290405609
2016-11-14,37.35227966308594,71.1669692993164,14.479999542236328,16.189999866485596,-0.984624736909779
2016-11-15,38.44029235839844,72.7493667602539,13.369999885559082,16.09449987411499,-1.0171066791955676
2016-11-16,38.67931365966797,73.06626892089844,13.720000267028809,16.059999895095824,-1.0196525879012175
2016-11-17,38.985782623291016,72.91119384765625,13.350000381469727,16.03999991416931,-0.9390605462978546
2016-11-18,38.48046112060547,73.63948822021484,12.850000381469727,16.015499925613405,-1.1425366961889099
2016-11-21,38.91834259033203,74.30036926269531,12.420000076293945,15.985499906539918,-1.1591986587815442
2016-11-22,38.92825698852539,74.59709167480469,12.40999984741211,15.932999897003175,-1.201662151523715
2016-11-23,38.630714416503906,74.85331726074219,12.430000305175781,15.842499923706054,-1.295690315655872
2016-11-25,38.69171905517578,74.85331726074219,12.34000015258789,15.691499948501587,-1.2842587938387866
2016-11-28,38.96743392944336,74.51614379882812,13.149999618530273,15.53949990272522,-1.182229715103237
2016-11-29,39.148441314697266,73.73389434814453,12.899999618530273,15.331499910354614,-1.0314668047603521
2016-11-30,38.47599411010742,75.23096466064453,13.329999923706055,15.069999933242798,-1.3810920737369123
2016-12-01,37.90323257446289,76.3976058959961,14.069999694824219,14.807499933242799,-1.6626813867695083
2016-12-02,37.90967559814453,76.2020492553711,14.119999885559082,14.40949993133545,-1.6322638117332153
2016-12-05,38.59203338623047,76.3706283569336,12.140000343322754,13.890999937057495,-1.529578928125408
2016-12-06,38.49087905883789,76.04017639160156,11.789999961853027,13.544999980926514,-1.4991745078674334
2016-12-07,39.24910354614258,77.17312622070312,12.220000267028809,13.219000005722046,-1.5263208740250833
2016-12-08,39.432594299316406,77.66539764404297,12.640000343322754,13.132000017166138,-1.5654673763610834
2016-12-09,40.14073181152344,78.09697723388672,11.75,12.982500028610229,-1.4972359850949173
2016-12-12,40.063873291015625,79.0006103515625,12.640000343322754,12.90600004196167,-1.6466137128579634
2016-12-13,40.43281555175781,79.18268585205078,12.720000267028809,12.818000078201294,-1.604675011581618
2016-12-14,40.55927658081055,78.1981430053711,13.1899995803833,12.809000062942506,-1.433916921766706
2016-12-15,40.44819641113281,78.93318176269531,12.789999961853027,12.762500047683716,-1.5645244829059766
2016-12-16,40.16007614135742,79.62776947021484,12.199999809265137,12.705000019073486,-1.7222650295317943
2016-12-19,40.29198455810547,79.3377914428711,11.710000038146973,12.648000001907349,-1.6542330855213658
2016-12-20,40.425880432128906,79.54009246826172,11.449999809265137,12.599499988555909,-1.6593602771975315
2016-12-21,40.27711486816406,79.51310729980469,11.270000457763672,12.542500019073486,-1.6832063553367582
2016-12-22,40.15214538574219,80.09306335449219,11.430000305175781,12.492500019073486,-1.793251951017803
2016-12-23,40.05891418457031,79.85704040527344,11.4399995803833,12.447499990463257,-1.775467665185926
2016-12-27,40.16454315185547,79.72216033935547,11.989999771118164,12.389499998092651,-1.7355270996968453
2016-12-28,39.89873504638672,79.51310729980469,12.949999809265137,12.392000007629395,-1.7541100977727702
