Date,XLF,ADI,VIX,AvgVIX,zscore
2020-03-13,20.5009822845459,89.80253601074219,57.83000183105469,35.39949998855591,-0.549146296279876
2020-03-16,17.69043731689453,74.88191223144531,82.69000244140625,38.850000095367434,-0.6587966009700769
2020-03-17,18.651004791259766,85.88787078857422,75.91000366210938,41.9040002822876,-0.8254511201782748
2020-03-18,17.067842483520508,74.0,76.44999694824219,45.007500123977664,-0.7668369814483834
2020-03-19,17.441404342651367,81.28032684326172,72.0,47.829500102996825,-0.9353340817073419
2020-03-20,16.818811416625977,76.56476593017578,66.04000091552734,50.27750015258789,-0.9108821920947721
2020-03-23,15.840234756469727,76.63677215576172,61.59000015258789,52.10550012588501,-1.1310916894624605
2020-03-24,17.8045654296875,84.34902954101562,61.66999816894531,53.796500015258786,-0.9605904512046122
2020-03-25,18.288915634155273,84.91596984863281,63.95000076293945,55.61600008010864,-0.8724222466815402
2020-03-26,19.437021255493164,83.35012817382812,61.0,56.708000087738036,-0.5628673748779662
2020-03-27,18.845029830932617,79.79545593261719,65.54000091552734,57.97950010299682,-0.5717276371365134
2020-03-30,19.20381736755371,81.86528015136719,57.08000183105469,59.16250028610229,-0.5634355792929121
2020-03-31,18.674612045288086,80.67738342285156,53.540000915527344,59.99850034713745,-0.6401230735221676
2020-04-01,17.53548240661621,75.67386627197266,57.060001373291016,61.252000427246095,-0.720642238276683
2020-04-02,17.974977493286133,78.92253875732422,50.90999984741211,61.81650047302246,-0.7351350575210119
2020-04-03,17.61619758605957,77.8966293334961,46.79999923706055,62.059500503540036,-0.7795033711839633
2020-04-06,18.880908966064453,86.21186828613281,45.2400016784668,61.598500633239745,-0.7854977792640505
2020-04-07,19.069272994995117,86.6168212890625,46.70000076293945,61.568500709533694,-0.7575844382952718
2020-04-08,19.90343475341797,91.25137329101562,43.349998474121094,61.041000556945804,-0.7321652474856107
2020-04-09,20.970813751220703,88.9026107788086,41.66999816894531,59.35100040435791,-0.4135130919904235
2020-04-13,20.208398818969727,89.69454956054688,41.16999816894531,58.51800022125244,-0.6105103827294989
2020-04-14,20.29810333251953,92.709228515625,37.7599983215332,56.27150001525879,-0.6947403113245516
2020-04-15,19.41908073425293,90.39644622802734,40.84000015258789,54.51799983978272,-0.810381407303645
2020-04-16,19.0782413482666,91.63835144042969,40.11000061035156,52.70100002288818,-0.9291344158390391
2020-04-17,20.082826614379883,92.51127624511719,38.150001525878906,51.00850009918213,-0.7357953821136443
2020-04-20,19.733016967773438,90.81043243408203,43.83000183105469,49.898000144958495,-0.7548420269131264
2020-04-21,19.096179962158203,86.8147964477539,45.40999984741211,49.089000129699706,-0.7584400484240693
2020-04-22,19.30247688293457,91.89933013916016,41.97999954223633,48.104500198364256,-0.8882643304832744
2020-04-23,19.22175407409668,91.62035369873047,41.380001068115234,46.976000213623045,-0.8965826409534589
2020-04-24,19.49981117248535,95.31900024414062,35.93000030517578,45.722500228881835,-0.9625445878305541
2020-04-27,20.163555145263672,97.21782684326172,33.290000915527344,44.11000022888184,-0.8804938555022072
2020-04-28,20.378822326660156,96.83985900878906,33.56999969482422,42.93450012207031,-0.8195369653803355
2020-04-29,20.970813751220703,101.99637603759766,31.229999542236328,41.81900005340576,-0.8660368547960963
2020-04-30,20.441614151000977,98.63069152832031,34.150001525878906,40.673500061035156,-0.8674581921091841
2020-05-01,19.786828994750977,93.26719665527344,37.189998626708984,39.9875,-0.8277759092732611
