Date,KDP,V,VIX,AvgVIX,zscore
2022-03-31,34.00440216064453,214.64761352539062,20.559999465942383,26.28700008392334,1.1997155078866204
2022-04-01,34.3094482421875,219.09022521972656,19.6299991607666,25.669500064849853,1.5729382612341065
2022-04-04,34.41712188720703,220.4258575439453,18.56999969482422,24.77550001144409,1.6947100657285668
2022-04-05,33.15205001831055,218.828857421875,21.030000686645508,24.070499992370607,0.8682288006529766
2022-04-06,33.941593170166016,211.97625732421875,22.100000381469727,23.55299997329712,1.0475679229214774
2022-04-07,33.74421310424805,209.2080841064453,21.549999237060547,23.11899995803833,0.8106359835393503
2022-04-08,33.78009796142578,210.0114288330078,21.15999984741211,22.639499950408936,0.8665748799259215
2022-04-11,33.72626495361328,207.85304260253906,24.3700008392334,22.26949996948242,0.7417950947534196
2022-04-12,33.76214599609375,204.6106414794922,24.260000228881836,21.99099998474121,0.6243029852883987
2022-04-13,33.78907012939453,206.42059326171875,21.81999969482422,21.748499965667726,0.7180228328684901
2022-04-14,33.412235260009766,205.95599365234375,22.700000762939453,21.6,0.4723098899984704
2022-04-18,32.99951934814453,206.3238067626953,22.170000076293945,21.51499996185303,0.24078024289026329
2022-04-19,33.699344635009766,208.77256774902344,21.3700008392334,21.40699996948242,0.7650818401335254
2022-04-20,34.103084564208984,210.79544067382812,20.31999969482422,21.27599992752075,1.0937145176631444
2022-04-21,33.65447998046875,209.49847412109375,22.68000030517578,21.23149995803833,0.769316613901398
2022-04-22,33.1969108581543,201.48439025878906,28.209999084472656,21.558499908447267,0.15160499338611524
2022-04-25,33.46607208251953,203.2072296142578,27.020000457763672,21.86899995803833,0.38673747447215634
2022-04-26,33.24176788330078,194.6414337158203,33.52000045776367,22.563500022888185,-0.11485353750409664
2022-04-27,33.968509674072266,207.23367309570312,31.600000381469727,23.198500061035155,0.8603960706468843
2022-04-28,34.08515548706055,213.5732421875,29.989999771118164,23.73150005340576,1.2020473662416016
2022-04-29,33.5557861328125,206.28512573242188,33.400001525878906,24.37350015640259,0.5724335145791098
2022-05-02,32.77521514892578,204.73648071289062,32.34000015258789,25.00900020599365,0.03833483698107364
2022-05-03,33.36737060546875,201.8618621826172,29.25,25.54300022125244,0.2699244199699168
2022-05-04,33.3942985534668,207.6304931640625,25.420000076293945,25.762500190734862,0.5333429930501387
