Date,XOM,AVGO,VIX,AvgVIX,zscore
2020-04-08,33.44208526611328,22.79670524597168,43.349998474121094,61.041000556945804,-0.13156959736739104
2020-04-09,32.89297103881836,22.2029972076416,41.66999816894531,59.35100040435791,-0.12511764820690224
2020-04-13,32.610801696777344,22.69368553161621,41.16999816894531,58.51800022125244,-0.17505487890278454
2020-04-14,32.35912322998047,23.366844177246094,37.7599983215332,56.27150001525879,-0.23535504057177536
2020-04-15,30.871965408325195,22.477153778076172,40.84000015258789,54.51799983978272,-0.2659455348232018
2020-04-16,29.857643127441406,22.551362991333008,40.11000061035156,52.70100002288818,-0.3323837924553564
2020-04-17,32.96161651611328,23.214048385620117,38.150001525878906,51.00850009918213,-0.18861639419820014
2020-04-20,31.405820846557617,22.550493240356445,43.83000183105469,49.898000144958495,-0.23849947101216312
2020-04-21,31.238037109375,21.622379302978516,45.40999984741211,49.089000129699706,-0.18655903443517868
2020-04-22,32.13033676147461,22.69804573059082,41.97999954223633,48.104500198364256,-0.2044648681993189
2020-04-23,33.137020111083984,22.607248306274414,41.380001068115234,46.976000213623045,-0.13737948875130057
2020-04-24,33.3505744934082,23.120630264282227,35.93000030517578,45.722500228881835,-0.15879240964134103
2020-04-27,33.51072692871094,23.438438415527344,33.290000915527344,44.11000022888184,-0.17035402987294085
2020-04-28,34.2962532043457,23.113643646240234,33.56999969482422,42.93450012207031,-0.10101273936833499
2020-04-29,36.19524383544922,24.099376678466797,31.229999542236328,41.81900005340576,-0.05189055162052491
2020-04-30,35.44021987915039,23.715213775634766,34.150001525878906,40.673500061035156,-0.0719402406455529
2020-05-01,32.900604248046875,22.674470901489258,37.189998626708984,39.9875,-0.15620578671034147
