Date,ASML,MNST,VIX,AvgVIX,zscore
2022-11-04,454.5058288574219,48.970001220703125,24.549999237060547,29.102000045776368,-1.4358797335491134
2022-11-07,468.6909484863281,49.45000076293945,24.350000381469727,28.69700002670288,-1.3645141906410971
2022-11-08,488.27667236328125,48.93000030517578,25.540000915527344,28.292500019073486,-1.107622259410161
2022-11-09,474.57635498046875,48.1150016784668,26.09000015258789,27.91850004196167,-1.129499911735922
2022-11-10,543.7372436523438,49.650001525878906,23.530000686645508,27.498000049591063,-0.6737325536954015
2022-11-11,558.911376953125,49.060001373291016,22.520000457763672,27.023000049591065,-0.44965016077641556
2022-11-14,560.24951171875,48.459999084472656,23.729999542236328,26.64099998474121,-0.35652227948405607
2022-11-15,579.3018798828125,49.06999969482422,24.540000915527344,26.34300003051758,-0.2560238752661844
2022-11-16,559.1636352539062,49.595001220703125,24.110000610351562,26.010500049591066,-0.5188683488439868
2022-11-17,571.11865234375,49.47999954223633,23.93000030517578,25.708000087738036,-0.38916241075703695
2022-11-18,575.1231079101562,49.849998474121094,23.1200008392334,25.379500102996825,-0.400412076573964
2022-11-21,562.644287109375,50.54999923706055,22.360000610351562,25.005000114440918,-0.6134508715620983
2022-11-22,578.0802612304688,51.58000183105469,21.290000915527344,24.646500205993654,-0.603764135083661
2022-11-23,585.4878540039062,51.96500015258789,20.350000381469727,24.300000190734863,-0.5844827540933004
2022-11-25,573.84326171875,51.685001373291016,20.5,23.955500221252443,-0.6583346450758042
2022-11-28,565.6015625,50.939998626708984,22.209999084472656,23.778500175476076,-0.6373910350608666
2022-11-29,561.2191162109375,49.89500045776367,21.889999389648438,23.579000186920165,-0.5393811116281574
2022-11-30,589.6280517578125,51.43000030517578,20.579999923706055,23.31750020980835,-0.47326584992651455
2022-12-01,592.6726684570312,51.625,19.84000015258789,23.016500186920165,-0.47026273518092127
2022-12-02,587.2914428710938,52.02000045776367,19.059999465942383,22.704500198364258,-0.574601529715025
2022-12-05,582.5208740234375,51.084999084472656,20.75,22.514500236511232,-0.49502993568502945
2022-12-06,575.0164184570312,50.720001220703125,22.170000076293945,22.405500221252442,-0.5179153011473161
2022-12-07,583.0639038085938,50.6150016784668,22.68000030517578,22.262500190734862,-0.42691061606151665
