Date,FDX,HD,VIX,AvgVIX,zscore
2023-03-27,206.3951873779297,260.7589111328125,20.600000381469727,22.085500049591065,-0.10206934059673405
2023-03-28,206.97731018066406,260.3417663574219,19.969999313354492,22.048999977111816,-0.04649264032477015
2023-03-29,209.9912567138672,262.696533203125,19.1200008392334,21.976000022888183,0.03490350675456988
2023-03-30,210.69544982910156,264.5506896972656,19.020000457763672,21.947500038146973,-0.005681550498277562
2023-03-31,214.53567504882812,273.5989990234375,18.700000762939453,21.958000087738036,-0.1784145636103731
2023-04-03,214.86428833007812,276.01861572265625,18.549999237060547,21.955000019073488,-0.26840161386793854
2023-04-04,212.6578369140625,273.4506530761719,19.0,21.925500011444093,-0.2894083384973462
2023-04-05,215.88771057128906,267.619384765625,19.079999923706055,21.923999977111816,0.1797017429642924
2023-04-06,217.92520141601562,267.5636901855469,18.399999618530273,21.71349992752075,0.3100350195887598
2023-04-10,217.45571899414062,269.9370422363281,18.969999313354492,21.42199993133545,0.17210760846066878
2023-04-11,217.39002990722656,272.34735107421875,19.100000381469727,21.050999927520753,0.057816110011335534
2023-04-12,215.455810546875,269.26025390625,19.09000015258789,20.81899995803833,0.07761212422369344
2023-04-13,216.95811462402344,270.8455505371094,17.799999237060547,20.401999950408936,0.09937225384996624
2023-04-14,216.60130310058594,270.8826599121094,17.06999969482422,20.10599994659424,0.07529749803770705
2023-04-17,215.30557250976562,273.85858154296875,16.950000762939453,19.67799997329712,-0.14199318308911263
2023-04-18,215.21170043945312,277.1496887207031,16.829999923706055,19.311999988555907,-0.29831223644705634
2023-04-19,215.474609375,275.2584533691406,16.459999084472656,19.06599998474121,-0.19537755407987742
2023-04-20,215.37130737304688,276.79736328125,17.170000076293945,18.811499977111815,-0.27219772468785547
2023-04-21,216.3665771484375,278.1601257324219,16.770000457763672,18.51949996948242,-0.27206612093685156
2023-04-24,217.98155212402344,279.64349365234375,16.889999389648438,18.276999950408936,-0.23858047771726038
2023-04-25,211.7001190185547,274.720703125,18.760000228881836,18.18499994277954,-0.40752667192278547
2023-04-26,209.16500854492188,267.0631103515625,18.84000015258789,18.12849998474121,-0.21650690631669933
2023-04-27,212.1414337158203,272.4957275390625,17.030000686645508,18.023999977111817,-0.2781479528176947
2023-04-28,213.8690185546875,278.6237487792969,15.779999732971191,17.86199994087219,-0.4498997727417483
2023-05-01,216.498046875,275.9908142089844,16.079999923706055,17.73099989891052,-0.1646646114964244
2023-05-02,214.45115661621094,272.8201904296875,17.780000686645508,17.692499971389772,-0.14811722612518272
2023-05-03,214.56382751464844,271.7077331542969,18.34000015258789,17.659499979019166,-0.09020196680211963
2023-05-04,212.54513549804688,264.9122314453125,20.09000015258789,17.709999990463256,0.09380169469733002
2023-05-05,215.2962188720703,268.5000305175781,17.190000534057617,17.649500036239623,0.10235150850353955
2023-05-08,216.6388702392578,266.93328857421875,16.979999542236328,17.550000047683717,0.25817348080060354
2023-05-09,214.66712951660156,269.3900146484375,17.709999084472656,17.480499982833862,0.022216377061772506
2023-05-10,212.507568359375,267.95306396484375,16.940000534057617,17.37300000190735,-0.0475463407300714
2023-05-11,211.10858154296875,266.71075439453125,16.93000030517578,17.32950005531311,-0.07850403208772337
2023-05-12,209.3152313232422,269.2880859375,17.030000686645508,17.327500104904175,-0.30878551704055796
2023-05-15,208.8363800048828,267.4988098144531,17.1200008392334,17.33600010871887,-0.25703303423475876
2023-05-16,207.75662231445312,261.7416076660156,17.989999771118164,17.39400010108948,-0.061600309190279576
2023-05-17,212.09442138671875,271.0680847167969,16.8700008392334,17.414500188827514,-0.21584106379096424
2023-05-18,216.357177734375,273.6360778808594,16.049999237060547,17.358500146865843,-0.06586818936690796
2023-05-19,215.0896453857422,269.6681213378906,16.809999465942383,17.36050009727478,0.036003931057422806
2023-05-22,214.71405029296875,269.4642333984375,17.209999084472656,17.37650008201599,0.02176673135532064
2023-05-23,212.7986602783203,273.43218994140625,18.530000686645508,17.365000104904176,-0.2797322420081466
2023-05-24,209.89739990234375,269.8721618652344,20.030000686645508,17.424500131607054,-0.29897024310415554
2023-05-25,211.33392333984375,265.83935546875,19.139999389648438,17.530000066757204,-0.024540683513946934
2023-05-26,210.46075439453125,271.4759826660156,17.950000762939453,17.638500118255614,-0.3369459623893345
2023-05-30,212.3291778564453,271.0773620605469,17.459999084472656,17.707500076293947,-0.20154163679381476
2023-05-31,204.66751098632812,264.6717834472656,17.940000534057617,17.71550006866455,-0.3892774540917238
2023-06-01,204.01963806152344,269.2845153808594,15.649999618530273,17.58100004196167,-0.6407518764127986
2023-06-02,208.19790649414062,276.3343200683594,14.600000381469727,17.306500053405763,-0.7009348095057785
2023-06-05,207.5782012939453,273.6824951171875,14.729999542236328,17.183500003814697,-0.6185906011544078
2023-06-06,206.09471130371094,276.390380859375,13.960000038146973,17.03250002861023,-0.8354056770111029
2023-06-07,210.8832550048828,281.7127380371094,13.9399995803833,16.84400005340576,-0.7783542669530534
2023-06-08,211.26820373535156,281.14312744140625,13.649999618530273,16.679500007629393,-0.7281749663993571
2023-06-09,211.27761840820312,277.65093994140625,13.829999923706055,16.52449998855591,-0.5679618407252032
2023-06-12,212.0235595703125,280.9283447265625,15.010000228881836,16.423499965667723,-0.6709830853649139
2023-06-13,216.1025848388672,280.20001220703125,14.609999656677246,16.297999906539918,-0.38186337044929264
2023-06-14,216.8579559326172,279.85455322265625,13.880000114440918,16.092499923706054,-0.31869751603786556
2023-06-15,223.2502899169922,282.0115051269531,14.5,15.973999881744385,-0.016373492070656494
2023-06-16,220.4365234375,280.4801940917969,13.539999961853027,15.84849991798401,-0.12285365650486924
2023-06-20,218.72750854492188,281.4419250488281,13.880000114440918,15.701999950408936,-0.27399910898705687
2023-06-21,213.24160766601562,280.77899169921875,13.199999809265137,15.50149998664856,-0.587762716343307
2023-06-22,219.93606567382812,281.2272033691406,12.90999984741211,15.220499944686889,-0.18838609229945025
2023-06-23,219.3790283203125,280.88165283203125,13.4399995803833,14.890999889373779,-0.2075278214545236
2023-06-26,221.8245086669922,287.4927062988281,14.25,14.646499919891358,-0.3563332758347038
2023-06-27,232.99459838867188,292.95513916015625,13.739999771118164,14.435999870300293,0.09455394597390153
2023-06-28,234.58087158203125,286.2040710449219,13.430000305175781,14.23449993133545,0.5026231942261836
2023-06-29,236.0349884033203,287.4272766113281,13.539999961853027,14.01449990272522,0.5379117502924287
2023-06-30,234.0709686279297,290.0605163574219,13.59000015258789,13.9114999294281,0.2943707144023548
2023-07-03,233.7405242919922,289.4815673828125,13.569999694824219,13.859999895095825,0.30010876216026944
2023-07-05,234.46759033203125,290.2098693847656,14.180000305175781,13.832499933242797,0.3124193723571369
2023-07-06,233.8538055419922,282.0115051269531,15.4399995803833,13.906499910354615,0.6486588941191131
2023-07-07,237.23411560058594,282.7491760253906,14.829999923706055,13.950999927520751,0.8269476980080344
2023-07-10,237.64956665039062,289.7243347167969,15.069999694824219,14.021999931335449,0.5341799529284676
2023-07-11,243.98524475097656,292.88043212890625,14.84000015258789,14.07249994277954,0.78728118405917
2023-07-12,247.0161895751953,296.4846496582031,13.539999961853027,13.9989999294281,0.8126329140955226
2023-07-13,244.0418701171875,293.7581787109375,13.609999656677246,13.948999929428101,0.7507121392396053
2023-07-14,243.0882568359375,295.5322570800781,13.34000015258789,13.92199993133545,0.6098128605356776
2023-07-17,240.51998901367188,295.1120300292969,13.479999542236328,13.870999908447265,0.4679439229713055
