Date,PEP,LRCX,VIX,AvgVIX,zscore
2021-09-17,133.8549041748047,57.85007095336914,20.809999465942383,17.945499897003174,-0.8077641127276578
2021-09-20,133.40330505371094,56.038509368896484,25.709999084472656,18.302999877929686,-0.7437472201409713
2021-09-21,133.34251403808594,55.68798828125,24.360000610351562,18.663499927520753,-0.7297775507225019
2021-09-22,133.75070190429688,57.10151290893555,20.8700008392334,18.846000003814698,-0.7764057924867787
2021-09-23,133.8549041748047,58.19015121459961,18.6299991607666,18.93799991607666,-0.8248289934761803
2021-09-24,133.9157257080078,58.18254470825195,17.75,18.883499908447266,-0.8208263685618717
2021-09-27,132.63040161132812,58.72440719604492,18.760000228881836,19.001999950408937,-0.92453672851233
2021-09-28,131.18006896972656,55.8008918762207,23.25,19.354999923706053,-0.8641815524558388
2021-09-29,132.2656707763672,54.0429801940918,22.559999465942383,19.658999919891357,-0.7113413146408506
2021-09-30,130.62428283691406,54.19914627075195,23.139999389648438,20.0104998588562,-0.8168956625122311
2021-10-01,131.0932159423828,54.25438690185547,21.100000381469727,20.244999885559082,-0.791750202179335
2021-10-04,130.44192504882812,52.38886642456055,22.959999084472656,20.57249984741211,-0.7369141213143279
2021-10-05,131.21481323242188,52.937374114990234,21.299999237060547,20.730499839782716,-0.7184246922942201
2021-10-06,134.5757293701172,52.540283203125,21.0,20.88249988555908,-0.49841090040590114
2021-10-07,135.81764221191406,52.92975997924805,19.540000915527344,20.919499969482423,-0.4440186329004561
2021-10-08,135.50498962402344,52.390769958496094,18.770000457763672,20.810499954223634,-0.43558606598117017
2021-10-11,135.6873779296875,52.60789108276367,20.0,20.84199991226196,-0.4356227101360521
2021-10-12,136.2865447998047,52.068904876708984,19.850000381469727,20.861499977111816,-0.3729062395707962
2021-10-13,137.2071533203125,51.84321212768555,18.639999389648438,20.884499931335448,-0.3067738660261764
2021-10-14,138.31007385253906,54.08297348022461,16.860000610351562,20.792999935150146,-0.35350173501295756
2021-10-15,137.91928100585938,53.753482818603516,16.299999237060547,20.567499923706055,-0.3602336203859146
2021-10-18,137.2940216064453,54.15629577636719,16.309999465942383,20.097499942779542,-0.41767044413028265
2021-10-19,139.03961181640625,54.359134674072266,15.699999809265137,19.66449990272522,-0.32392704064831607
2021-10-20,140.09043884277344,53.85157012939453,15.489999771118164,19.395499849319457,-0.2358982227777652
2021-10-21,138.24061584472656,52.89167785644531,15.010000228881836,19.21449990272522,-0.2978588358089621
2021-10-22,138.92669677734375,53.017372131347656,15.430000305175781,19.098499917984007,-0.2633210279300539
2021-10-25,138.275390625,52.56312942504883,15.239999771118164,18.922499895095825,-0.2793023350299285
2021-10-26,139.9688262939453,52.27458572387695,15.979999542236328,18.558999872207643,-0.16400681280338794
2021-10-27,139.4824981689453,52.72026824951172,16.979999542236328,18.279999876022337,-0.21532367833288119
2021-10-28,140.35960388183594,53.894432067871094,16.530000686645508,17.949499940872194,-0.22202456828541395
2021-10-29,140.34230041503906,53.667781829833984,16.260000228881836,17.707499933242797,-0.21168163191240555
2021-11-01,140.04701232910156,54.54292297363281,16.40999984741211,17.379999971389772,-0.27317494979751017
2021-11-02,141.3323211669922,54.683868408203125,16.030000686645508,17.116500043869017,-0.20372810358579027
2021-11-03,142.68711853027344,55.36570358276367,15.100000381469727,16.821500062942505,-0.15728563568251755
2021-11-04,142.69583129882812,57.0160026550293,15.4399995803833,16.616499996185304,-0.2395772560242123
2021-11-05,144.16343688964844,58.162559509277344,16.479999542236328,16.501999950408937,-0.20973814349741848
2021-11-08,141.0630645751953,58.00066375732422,17.219999313354492,16.36299991607666,-0.3861913856070114
2021-11-09,142.0010223388672,59.2234001159668,17.780000686645508,16.259499931335448,-0.391706841094685
2021-11-10,142.46131896972656,57.68737030029297,18.729999542236328,16.263999938964844,-0.2872272145890741
2021-11-11,141.28890991210938,58.44157409667969,17.65999984741211,16.30399990081787,-0.3948703813341198
2021-11-12,141.254150390625,59.46242141723633,16.290000915527344,16.30349998474121,-0.4481648260603833
2021-11-15,142.25289916992188,60.018550872802734,16.489999771118164,16.3125,-0.4166115054981999
2021-11-16,141.82733154296875,60.39945983886719,16.3700008392334,16.346000051498415,-0.4610607953285628
2021-11-17,141.8794708251953,60.053775787353516,17.110000610351562,16.427000093460084,-0.44061067147861144
2021-11-18,141.9228515625,60.54611587524414,17.59000015258789,16.556000089645387,-0.4627331740923769
2021-11-19,142.26156616210938,61.374595642089844,17.90999984741211,16.680000066757202,-0.4841404701923812
2021-11-22,142.5568389892578,61.58409881591797,19.170000076293945,16.87650008201599,-0.47707440663119044
2021-11-23,143.51214599609375,62.97633361816406,19.3799991607666,17.046500062942506,-0.4900622544795658
2021-11-24,142.20077514648438,62.92588424682617,18.579999923706055,17.12650008201599,-0.5656016719731695
2021-11-26,139.94277954101562,61.13462829589844,28.6200008392334,17.731000089645384,-0.6101453776867988
2021-11-29,142.5481414794922,64.80664825439453,22.959999084472656,18.066000032424927,-0.6392964475848922
2021-11-30,138.76170349121094,64.74092102050781,27.190000534057617,18.605000066757203,-0.8614194378900106
2021-12-01,139.09169006347656,66.04363250732422,31.1200008392334,19.359500074386595,-0.9071428109564955
2021-12-02,140.4337921142578,62.995384216308594,27.950000762939453,20.002000093460083,-0.6742843585426873
2021-12-03,144.009765625,62.9906120300293,30.670000076293945,20.763500118255614,-0.4611535334426005
2021-12-06,145.50485229492188,63.570552825927734,27.18000030517578,21.29850015640259,-0.40124615124927515
2021-12-07,145.3387451171875,67.24542999267578,21.889999389648438,21.532000160217287,-0.5955367351616863
2021-12-08,145.59230041503906,67.99581909179688,19.899999618530273,21.638000106811525,-0.6180953796825401
2021-12-09,145.40867614746094,66.6016845703125,21.579999923706055,21.78050012588501,-0.5590709849208362
2021-12-10,147.73434448242188,67.22732543945312,18.690000534057617,21.832000160217284,-0.452009086847718
2021-12-13,148.4688262939453,65.2284927368164,20.309999465942383,22.03300008773804,-0.30798319230199944
2021-12-14,148.10162353515625,64.8219223022461,21.889999389648438,22.303000068664552,-0.30944288522676777
2021-12-15,150.0076446533203,66.54933166503906,19.290000915527344,22.449000072479247,-0.2826498084300938
2021-12-16,150.22621154785156,64.06510162353516,20.56999969482422,22.62200002670288,-0.1449815559161869
2021-12-17,147.14859008789062,63.86372756958008,21.56999969482422,22.821000003814696,-0.31809937181939013
2021-12-20,148.12783813476562,63.091644287109375,22.8700008392334,23.069000053405762,-0.2210586434484785
2021-12-21,147.69065856933594,65.19031524658203,21.010000228881836,23.161000061035157,-0.3523947816560074
2021-12-22,148.60870361328125,65.96813201904297,18.6299991607666,23.123500061035156,-0.3367701062303555
2021-12-23,148.44259643554688,66.68391418457031,17.959999084472656,23.092500019073487,-0.3825763201982377
2021-12-27,149.92015075683594,69.039306640625,17.68000030517578,22.545499992370605,-0.4128030596665325
2021-12-28,150.69834899902344,68.34259796142578,17.540000915527344,22.27450008392334,-0.3315138148229587
2021-12-29,151.23167419433594,69.35903930664062,16.950000762939453,21.762500095367432,-0.35076691918743136
2021-12-30,150.9694061279297,68.5554428100586,17.329999923706055,21.073000049591066,-0.32605708610527534
2021-12-31,151.87867736816406,68.6336898803711,17.219999313354492,20.536499977111816,-0.2758510543830539
2022-01-03,151.2404022216797,69.23590087890625,16.600000381469727,19.832999992370606,-0.3440683456360002
2022-01-04,151.45896911621094,67.9513168334961,16.90999984741211,19.319499969482422,-0.26659710599696773
2022-01-05,151.97483825683594,66.0244369506836,19.729999542236328,19.211499977111817,-0.13919657788175593
2022-01-06,152.00979614257812,66.98834991455078,19.610000610351562,19.19700002670288,-0.1854835711015565
2022-01-07,152.20217895507812,63.87519454956055,18.760000228881836,19.05600004196167,-0.017815325548003424
2022-01-10,152.28086853027344,63.39800262451172,19.399999618530273,19.091499996185302,0.010814369655290944
2022-01-11,152.21090698242188,64.24931335449219,18.40999984741211,18.99650001525879,-0.03606861290753155
2022-01-12,152.0447998046875,65.50048828125,17.6200008392334,18.78300008773804,-0.1087402897251598
2022-01-13,152.28961181640625,65.5434341430664,20.309999465942383,18.834000015258788,-0.09632067515549954
2022-01-14,153.56613159179688,69.65200805664062,19.190000534057617,18.76500005722046,-0.22648862692143362
2022-01-18,152.09730529785156,64.80284118652344,22.790000915527344,18.826000118255614,-0.07060721730712347
2022-01-19,153.19017028808594,61.34038162231445,23.850000381469727,18.875000095367433,0.16819790026383966
2022-01-20,152.0797882080078,59.13958740234375,25.59000015258789,19.104000091552734,0.2125262238275915
2022-01-21,152.3245849609375,57.81492233276367,28.850000381469727,19.61500015258789,0.29357025204756676
