Date,AMD,CL,VIX,AvgVIX,zscore
2022-03-03,111.9800033569336,69.89261627197266,30.479999542236328,26.985500049591064,0.9247307134005789
2022-03-04,108.41000366210938,69.85649108886719,31.979999542236328,27.367000007629393,0.7391761571331659
2022-03-07,102.94999694824219,69.24244689941406,36.45000076293945,28.028500080108643,0.5247765443519838
2022-03-08,105.52999877929688,67.60801696777344,35.130001068115234,28.642000102996825,0.8650776306437651
2022-03-09,111.05000305175781,68.21302032470703,32.45000076293945,29.192500114440918,1.083793747495237
2022-03-10,106.45999908447266,66.67791748046875,30.229999542236328,29.706000137329102,1.030082200268978
2022-03-11,104.29000091552734,66.61468505859375,30.75,30.048000144958497,0.9224195575478374
2022-03-14,102.25,66.78627014160156,31.770000457763672,30.268500137329102,0.7925177682021975
2022-03-15,109.33000183105469,68.16787719726562,29.829999923706055,30.3435001373291,0.997839333627261
2022-03-16,115.37000274658203,67.8608627319336,26.670000076293945,30.392000102996825,1.3574890904885826
2022-03-17,111.69000244140625,67.84278869628906,25.670000076293945,30.461000061035158,1.1638373497213235
2022-03-18,113.45999908447266,65.19699096679688,23.8700008392334,30.249000072479248,1.5866096761381003
2022-03-21,115.91999816894531,66.95787048339844,23.530000686645508,30.038000106811523,1.4988988642074323
2022-03-22,114.77999877929688,67.2739028930664,22.940000534057617,29.744500160217285,1.3989693083622814
2022-03-23,113.91999816894531,66.48827362060547,23.56999969482422,29.37200012207031,1.4507473283776544
2022-03-24,120.52999877929688,66.50634002685547,21.670000076293945,28.9395001411438,1.8003716781597576
2022-03-25,119.66999816894531,67.5267333984375,20.809999465942383,28.600500106811523,1.6278808341667932
2022-03-28,120.23999786376953,68.07756805419922,19.6299991607666,28.07450008392334,1.5898217006608544
2022-03-29,123.2300033569336,68.80899810791016,18.899999618530273,27.353500080108642,1.658159839274847
2022-03-30,119.22000122070312,68.95347595214844,19.329999923706055,26.78300008773804,1.4267558087771985
2022-03-31,109.33999633789062,68.47488403320312,20.559999465942383,26.28700008392334,0.9602477734789794
2022-04-01,108.19000244140625,69.0076675415039,19.6299991607666,25.669500064849853,0.8328703955856128
2022-04-04,110.52999877929688,69.16117095947266,18.56999969482422,24.77550001144409,0.9383727892755979
2022-04-05,106.81999969482422,69.9377670288086,21.030000686645508,24.070499992370607,0.6444433328715407
2022-04-06,103.66999816894531,71.16584014892578,22.100000381469727,23.55299997329712,0.32426036361585164
2022-04-07,103.72000122070312,72.61969757080078,21.549999237060547,23.11899995803833,0.14638458109218988
2022-04-08,101.0,72.46617889404297,21.15999984741211,22.639499950408936,0.020655417769820734
2022-04-11,97.37000274658203,72.63774871826172,24.3700008392334,22.26949996948242,-0.19388418493688958
2022-04-12,95.0999984741211,73.14344024658203,24.260000228881836,21.99099998474121,-0.3775184392038828
2022-04-13,97.73999786376953,73.1343994140625,21.81999969482422,21.748499965667726,-0.2358616175117459
2022-04-14,93.05999755859375,73.08926391601562,22.700000762939453,21.6,-0.4793855547173812
2022-04-18,93.88999938964844,72.24948120117188,22.170000076293945,21.51499996185303,-0.3309195535940289
2022-04-19,96.93000030517578,72.79126739501953,21.3700008392334,21.40699996948242,-0.23637036992025498
2022-04-20,94.0199966430664,74.05380249023438,20.31999969482422,21.27599992752075,-0.548057048750193
2022-04-21,89.8499984741211,74.57154083251953,22.68000030517578,21.23149995803833,-0.8343289538627658
2022-04-22,88.13999938964844,73.66322326660156,28.209999084472656,21.558499908447267,-0.8125633729838496
2022-04-25,90.69000244140625,74.30810546875,27.020000457763672,21.86899995803833,-0.7569003603554815
2022-04-26,85.16000366210938,73.13641357421875,33.52000045776367,22.563500022888185,-0.9057780787218599
2022-04-27,84.91000366210938,73.29083251953125,31.600000381469727,23.198500061035155,-0.9382617253233668
2022-04-28,89.63999938964844,73.77223205566406,29.989999771118164,23.73150005340576,-0.746250936444964
2022-04-29,85.5199966430664,69.98460388183594,33.400001525878906,24.37350015640259,-0.495228257354375
2022-05-02,89.83999633789062,68.28608703613281,32.34000015258789,25.00900020599365,-0.05434427960187716
2022-05-03,91.12999725341797,67.65934753417969,29.25,25.54300022125244,0.09215333978701738
2022-05-04,99.41999816894531,69.93919372558594,25.420000076293945,25.762500190734862,0.25034452516068056
