Date,MS,MNST,VIX,AvgVIX,zscore
2023-03-24,75.6406021118164,52.040000915527344,21.739999771118164,22.10300006866455,-0.44955301867905934
2023-03-27,76.2623291015625,52.334999084472656,20.600000381469727,22.085500049591065,-0.34305522784380016
2023-03-28,76.47857666015625,51.599998474121094,19.969999313354492,22.048999977111816,-0.29634009319075977
2023-03-29,77.70396423339844,52.150001525878906,19.1200008392334,21.976000022888183,-0.08607629384172265
2023-03-30,77.58683013916016,52.4900016784668,19.020000457763672,21.947500038146973,-0.11070904988850395
2023-03-31,79.10956573486328,54.0099983215332,18.700000762939453,21.958000087738036,0.1409156589618556
2023-04-03,78.53290557861328,53.58000183105469,18.549999237060547,21.955000019073488,0.043943542597527405
2023-04-04,76.42453002929688,53.15999984741211,19.0,21.925500011444093,-0.32391020990039066
2023-04-05,75.52349090576172,52.79999923706055,19.079999923706055,21.923999977111816,-0.4790321975482517
2023-04-06,75.85686492919922,52.560001373291016,18.399999618530273,21.71349992752075,-0.4173289250463614
2023-04-10,75.6856689453125,52.349998474121094,18.969999313354492,21.42199993133545,-0.4451665062566524
2023-04-11,76.66777801513672,52.279998779296875,19.100000381469727,21.050999927520753,-0.2707475444604511
2023-04-12,77.01016998291016,52.470001220703125,19.09000015258789,20.81899995803833,-0.2124161225647257
2023-04-13,77.20840454101562,52.869998931884766,17.799999237060547,20.401999950408936,-0.18199305578039193
2023-04-14,78.12744903564453,52.560001373291016,17.06999969482422,20.10599994659424,-0.015950536040090203
2023-04-17,80.45207977294922,52.880001068115234,16.950000762939453,19.67799997329712,0.39128624026006065
2023-04-18,80.9566421508789,52.68000030517578,16.829999923706055,19.311999988555907,0.4827891058294127
2023-04-19,81.49725341796875,52.4900016784668,16.459999084472656,19.06599998474121,0.5805489358982548
2023-04-20,81.47923278808594,52.900001525878906,17.170000076293945,18.811499977111815,0.5726283713538508
2023-04-21,82.10093688964844,53.06999969482422,16.770000457763672,18.51949996948242,0.680565714382078
2023-04-24,81.27200317382812,53.70000076293945,16.889999389648438,18.276999950408936,0.5267567122524708
2023-04-25,79.34381866455078,54.209999084472656,18.760000228881836,18.18499994277954,0.18001552997591316
2023-04-26,79.68620300292969,54.2599983215332,18.84000015258789,18.12849998474121,0.2399624702008951
2023-04-27,81.32608032226562,55.279998779296875,17.030000686645508,18.023999977111817,0.5180690436620625
2023-04-28,81.76683044433594,56.0,15.779999732971191,17.86199994087219,0.58766670765384
2023-05-01,79.912841796875,56.84000015258789,16.079999923706055,17.73099989891052,0.2502302439167634
2023-05-02,78.42237091064453,57.540000915527344,17.780000686645508,17.692499971389772,-0.02132920366461871
2023-05-03,77.02277374267578,58.36000061035156,18.34000015258789,17.659499979019166,-0.27821045639428577
2023-05-04,75.0779037475586,57.81999969482422,20.09000015258789,17.709999990463256,-0.6157749690265107
