Date,KO,CVX,VIX,AvgVIX,zscore
2020-03-11,43.13587951660156,63.65420150756836,53.900001525878906,30.12899980545044,0.3322847536837462
2020-03-12,38.963565826416016,58.46405029296875,75.47000122070312,33.21549987792969,-0.8506163732534248
2020-03-13,40.3970947265625,63.95320129394531,57.83000183105469,35.39949998855591,-0.6675581914057603
2020-03-16,37.721736907958984,53.43489456176758,82.69000244140625,38.850000095367434,-0.9926774661615896
2020-03-17,39.32194519042969,54.19387435913086,75.91000366210938,41.9040002822876,-0.4647675888658799
2020-03-18,37.38002395629883,42.20358657836914,76.44999694824219,45.007500123977664,-0.4382387034709811
2020-03-19,34.863014221191406,43.99753189086914,72.0,47.829500102996825,-1.4486820225837105
2020-03-20,31.920957565307617,45.53080368041992,66.04000091552734,50.27750015258789,-2.5957881240676737
2020-03-23,31.304208755493164,41.56727981567383,61.59000015258789,52.10550012588501,-2.5779937702789284
2020-03-24,32.87941360473633,51.019962310791016,61.66999816894531,53.796500015258786,-2.5830383226969635
2020-03-25,34.67966842651367,53.105220794677734,63.95000076293945,55.61600008010864,-2.0633522633083157
2020-03-26,36.91328811645508,58.55604934692383,61.0,56.708000087738036,-1.5911613439002001
2020-03-27,35.67979431152344,52.72957229614258,65.54000091552734,57.97950010299682,-1.6821778674433914
2020-03-30,37.50503921508789,55.159820556640625,57.08000183105469,59.16250028610229,-1.174326552060539
2020-03-31,36.879947662353516,55.550819396972656,53.540000915527344,59.99850034713745,-1.4219808426017042
2020-04-01,35.104713439941406,52.560916900634766,57.060001373291016,61.252000427246095,-1.8781721815698982
2020-04-02,36.62993240356445,58.35673141479492,50.90999984741211,61.81650047302246,-1.6807275817157967
2020-04-03,36.5299072265625,57.58241271972656,46.79999923706055,62.059500503540036,-1.6699153015608845
2020-04-06,38.89689254760742,61.630279541015625,45.2400016784668,61.598500633239745,-1.0653544243806263
2020-04-07,38.76354217529297,62.036590576171875,46.70000076293945,61.568500709533694,-1.137648305576572
2020-04-08,39.8553581237793,65.91580200195312,43.349998474121094,61.041000556945804,-0.9800550704482726
2020-04-09,40.83882522583008,64.63550567626953,41.66999816894531,59.35100040435791,-0.5503272827348811
2020-04-13,39.11359405517578,65.09549713134766,41.16999816894531,58.51800022125244,-1.1965267826143189
2020-04-14,40.77214050292969,64.86551666259766,37.7599983215332,56.27150001525879,-0.5880962877726753
2020-04-15,39.680335998535156,63.240211486816406,40.84000015258789,54.51799983978272,-0.8815339337219358
2020-04-16,39.255271911621094,61.32361602783203,40.11000061035156,52.70100002288818,-0.9183963525730378
2020-04-17,40.05537796020508,66.8281021118164,38.150001525878906,51.00850009918213,-0.9633369466347356
2020-04-20,38.78022384643555,64.0682144165039,43.83000183105469,49.898000144958495,-1.254119128508643
2020-04-21,37.82175064086914,62.58858871459961,45.40999984741211,49.089000129699706,-1.508539566328243
2020-04-22,38.0717887878418,64.73518371582031,41.97999954223633,48.104500198364256,-1.5482844891804732
2020-04-23,37.56336975097656,66.54443359375,41.380001068115234,46.976000213623045,-1.839594586154461
2020-04-24,37.86342239379883,66.7054443359375,35.93000030517578,45.722500228881835,-1.7417338300505512
2020-04-27,38.98856735229492,68.77538299560547,33.290000915527344,44.11000022888184,-1.4631431929095884
2020-04-28,38.955230712890625,68.92869567871094,33.56999969482422,42.93450012207031,-1.4843345133815737
2020-04-29,39.27194595336914,72.5395736694336,31.229999542236328,41.81900005340576,-1.5884324615161616
2020-04-30,38.24681091308594,70.5309829711914,34.150001525878906,40.673500061035156,-1.8348683365138194
2020-05-01,38.00510787963867,68.56838989257812,37.189998626708984,39.9875,-1.803225627179349
