Date,BP,META,VIX,AvgVIX,zscore
2021-01-08,18.746728897094727,265.4866027832031,21.559999465942383,23.263999938964844,-1.0434557121119552
2021-01-11,18.731359481811523,254.8401336669922,24.079999923706055,23.34199991226196,-1.0104408891245402
2021-01-12,19.215396881103516,249.13491821289062,23.329999923706055,23.342999935150146,-0.909029676320842
2021-01-13,19.038686752319336,249.68063354492188,22.209999084472656,23.217499923706054,-0.9409084109297295
2021-01-14,19.568817138671875,243.72732543945312,23.25,23.235499954223634,-0.8308280741657259
2021-01-15,18.6391658782959,249.40281677246094,24.34000015258789,23.32749996185303,-1.007923836871574
2021-01-19,18.93880271911621,259.06695556640625,23.239999771118164,23.392999935150147,-0.9893068825453022
2021-01-20,19.061729431152344,265.3973083496094,21.579999923706055,23.39349994659424,-0.9895858249025549
2021-01-21,18.45477294921875,270.74530029296875,21.31999969482422,23.201499938964844,-1.1107060084151277
2021-01-22,18.339523315429688,272.36260986328125,21.90999984741211,23.085499954223632,-1.135718481312899
2021-01-25,17.724872589111328,275.8453063964844,23.190000534057617,23.079500007629395,-1.2519049458341887
2021-01-26,17.69414520263672,279.85382080078125,23.020000457763672,23.153999996185302,-1.2705452301745428
2021-01-27,17.463653564453125,270.0210266113281,37.209999084472656,23.929499912261964,-1.2768384877837953
2021-01-28,17.563535690307617,262.93658447265625,30.209999084472656,24.285999870300294,-1.236143633004433
2021-01-29,17.071813583374023,256.31854248046875,33.09000015258789,24.801999855041505,-1.297621701313865
2021-02-01,17.064132690429688,259.9698791503906,30.239999771118164,25.176499843597412,-1.3111472442059011
2021-02-02,15.942401885986328,265.0003662109375,25.559999465942383,25.105999851226805,-1.5187507955490542
2021-02-03,16.341922760009766,264.57373046875,22.90999984741211,24.984499835968016,-1.44937790352698
2021-02-04,16.12679672241211,264.4150390625,21.770000457763672,24.81949987411499,-1.4854325872166272
2021-02-05,15.988499641418457,266.012451171875,20.8700008392334,24.74449987411499,-1.5142980731845337
2021-02-08,16.925838470458984,264.5043029785156,21.239999771118164,24.72849988937378,-1.3498410189494583
2021-02-09,16.695343017578125,267.3519592285156,21.6299991607666,24.605999851226805,-1.398570336032914
2021-02-10,16.580097198486328,269.7530822753906,21.989999771118164,24.538999843597413,-1.4262052094906732
2021-02-11,16.41874885559082,268.2846374511719,21.25,24.49099988937378,-1.4487309858484623
2021-02-12,16.833635330200195,268.393798828125,19.969999313354492,24.326999855041503,-1.37853797581995
2021-02-16,17.809391021728516,271.8367919921875,21.459999084472656,24.18299980163574,-1.2241166026060075
2021-02-17,18.11671257019043,271.43988037109375,21.5,24.095999813079835,-1.170523206371513
2021-02-18,17.489850997924805,267.2924499511719,22.489999771118164,24.14149980545044,-1.2632519372866333
2021-02-19,17.809123992919922,259.52337646484375,22.049999237060547,24.177999782562257,-1.1829548950929578
2021-02-22,18.40094566345215,258.3029479980469,23.450000762939453,24.254999828338622,-1.0782216204905435
2021-02-23,18.8681697845459,263.7898864746094,23.110000610351562,24.25099983215332,-1.017124577495997
2021-02-24,19.701391220092773,262.2519836425781,21.34000015258789,24.16699981689453,-0.8702748370226977
2021-02-25,19.927217483520508,252.70687866210938,28.889999389648438,23.75099983215332,-0.7999264311680975
2021-02-26,19.008338928222656,255.61404418945312,27.950000762939453,23.63799991607666,-0.9659258526740727
2021-03-01,19.14072036743164,262.8473205566406,23.350000381469727,23.15099992752075,-0.9676185159285393
2021-03-02,19.288673400878906,256.9833679199219,24.100000381469727,22.84399995803833,-0.9228328020112411
2021-03-03,19.919435501098633,253.4212646484375,26.670000076293945,22.89949998855591,-0.8036405949166627
2021-03-04,20.269853591918945,255.63394165039062,28.56999969482422,23.182499980926515,-0.751450964039752
2021-03-05,20.846099853515625,262.22216796875,24.65999984741211,23.326999950408936,-0.675498383573107
2021-03-08,20.666994094848633,253.32203674316406,25.469999313354492,23.55699987411499,-0.6761737981882232
2021-03-09,20.332149505615234,263.6708984375,24.030000686645508,23.69649991989136,-0.7677523669333886
2021-03-10,20.752649307250977,262.8374328613281,22.559999465942383,23.742999935150145,-0.6934501954528423
2021-03-11,20.752649307250977,271.7474365234375,21.90999984741211,23.738999938964845,-0.7232677217890655
2021-03-12,20.99405288696289,266.3101806640625,20.690000534057617,23.710999965667725,-0.6640171440015321
2021-03-15,20.62805938720703,271.6184997558594,20.030000686645508,23.714000034332276,-0.7440248127761089
