Date,MS,PEP,VIX,AvgVIX,zscore
2023-03-31,79.10956573486328,164.7594451904297,18.700000762939453,21.958000087738036,0.03146483705211401
2023-04-03,78.53290557861328,164.94020080566406,18.549999237060547,21.955000019073488,-0.07897253984754272
2023-04-04,76.42453002929688,164.3527374267578,19.0,21.925500011444093,-0.44384229407884235
2023-04-05,75.52349090576172,165.9705047607422,19.079999923706055,21.923999977111816,-0.6580233161496085
2023-04-06,75.85686492919922,166.62123107910156,18.399999618530273,21.71349992752075,-0.6177177934222885
2023-04-10,75.6856689453125,165.57286071777344,18.969999313354492,21.42199993133545,-0.61615454541408
2023-04-11,76.66777801513672,165.31980895996094,19.100000381469727,21.050999927520753,-0.4297766541060411
2023-04-12,77.01016998291016,164.9944305419922,19.09000015258789,20.81899995803833,-0.3574078919987181
2023-04-13,77.20840454101562,166.6393280029297,17.799999237060547,20.401999950408936,-0.37265030358542817
2023-04-14,78.12744903564453,165.85302734375,17.06999969482422,20.10599994659424,-0.1811130113807907
2023-04-17,80.45207977294922,166.7025909423828,16.950000762939453,19.67799997329712,0.2148899737405654
2023-04-18,80.9566421508789,167.04605102539062,16.829999923706055,19.311999988555907,0.2958848258023132
2023-04-19,81.49725341796875,166.94662475585938,16.459999084472656,19.06599998474121,0.39723564237089204
2023-04-20,81.47923278808594,167.49790954589844,17.170000076293945,18.811499977111815,0.37677748928654725
2023-04-21,82.10093688964844,167.57025146484375,16.770000457763672,18.51949996948242,0.4875124235845586
2023-04-24,81.27200317382812,167.65151977539062,16.889999389648438,18.276999950408936,0.334327266612345
2023-04-25,79.34381866455078,171.4564666748047,18.760000228881836,18.18499994277954,-0.13470164891299125
2023-04-26,79.68620300292969,170.39901733398438,18.84000015258789,18.12849998474121,-0.03951628629553709
2023-04-27,81.32608032226562,171.4384002685547,17.030000686645508,18.023999977111817,0.2261217250036965
2023-04-28,81.76683044433594,172.52293395996094,15.779999732971191,17.86199994087219,0.2724206154183437
2023-05-01,79.912841796875,173.23690795898438,16.079999923706055,17.73099989891052,-0.086780969915824
2023-05-02,78.42237091064453,173.75209045410156,17.780000686645508,17.692499971389772,-0.3737199478938963
2023-05-03,77.02277374267578,173.68881225585938,18.34000015258789,17.659499979019166,-0.6261132562396127
2023-05-04,75.0779037475586,174.77337646484375,20.09000015258789,17.709999990463256,-1.0133827632410037
