Date,BAC,CL,VIX,AvgVIX,zscore
2020-03-26,19.623554229736328,55.06900405883789,61.0,56.708000087738036,0.2000569051314379
2020-03-27,18.656200408935547,56.31154251098633,65.54000091552734,57.97950010299682,-0.3378458853260453
2020-03-30,19.036231994628906,57.450557708740234,57.08000183105469,59.16250028610229,-0.3198351424496628
2020-03-31,18.336627960205078,57.260719299316406,53.540000915527344,59.99850034713745,-0.5795436814525885
2020-04-01,17.075605392456055,56.5617790222168,57.060001373291016,61.252000427246095,-1.00527966687099
2020-04-02,17.76657485961914,58.82251739501953,50.90999984741211,61.81650047302246,-0.9950803475109538
2020-04-03,17.300174713134766,58.347957611083984,46.79999923706055,62.059500503540036,-1.1268754086220092
2020-04-06,18.474824905395508,60.83304214477539,45.2400016784668,61.598500633239745,-0.9481833285398562
2020-04-07,19.122600555419922,59.573238372802734,46.70000076293945,61.568500709533694,-0.5371661025009848
2020-04-08,20.25406837463379,60.591453552246094,43.349998474121094,61.041000556945804,-0.20163041398582002
2020-04-09,21.471904754638672,60.32394790649414,41.66999816894531,59.35100040435791,0.32149670652860723
2020-04-13,20.660011291503906,59.96152877807617,41.16999816894531,58.51800022125244,0.03698678784115835
2020-04-14,20.495908737182617,63.08515930175781,37.7599983215332,56.27150001525879,-0.4003131158190551
2020-04-15,19.16579246520996,62.68824005126953,40.84000015258789,54.51799983978272,-0.8898060602740898
2020-04-16,18.500732421875,62.852169036865234,40.11000061035156,52.70100002288818,-1.177605525673611
2020-04-17,20.107240676879883,63.73766326904297,38.150001525878906,51.00850009918213,-0.6346430569684883
2020-04-20,19.433542251586914,62.643821716308594,43.83000183105469,49.898000144958495,-0.7765030308289593
2020-04-21,18.69074821472168,61.29823684692383,45.40999984741211,49.089000129699706,-0.916332831452694
2020-04-22,18.828941345214844,61.81909942626953,41.97999954223633,48.104500198364256,-0.9224566926756781
2020-04-23,18.889402389526367,61.83647155761719,41.380001068115234,46.976000213623045,-0.9001269680844525
2020-04-24,19.157155990600586,61.98405838012695,35.93000030517578,45.722500228881835,-0.8096328542296625
2020-04-27,20.271343231201172,61.66286087036133,33.290000915527344,44.11000022888184,-0.3219452562481517
2020-04-28,20.634105682373047,61.7322998046875,33.56999969482422,42.93450012207031,-0.18383489410251067
2020-04-29,21.40280532836914,60.90758514404297,31.229999542236328,41.81900005340576,0.22428107814026432
2020-04-30,20.772294998168945,61.00307846069336,34.150001525878906,40.673500061035156,-0.04144874900274785
2020-05-01,19.934492111206055,59.4925537109375,37.189998626708984,39.9875,-0.20001566468387205
2020-05-04,19.8049373626709,60.31725311279297,35.970001220703125,39.44600009918213,-0.3502610290441754
