Date,KRE,AMD,VIX,AvgVIX,zscore
2023-03-28,40.18376541137695,94.55999755859375,19.969999313354492,22.048999977111816,-0.4630738907744652
2023-03-29,40.61437225341797,96.08999633789062,19.1200008392334,21.976000022888183,-0.3727047814059777
2023-03-30,39.789798736572266,97.87999725341797,19.020000457763672,21.947500038146973,-0.4876506465908921
2023-03-31,40.18376541137695,98.01000213623047,18.700000762939453,21.958000087738036,-0.420602870894382
2023-04-03,39.7623176574707,96.55999755859375,18.549999237060547,21.955000019073488,-0.5084656724059011
2023-04-04,38.88277816772461,95.87000274658203,19.0,21.925500011444093,-0.6630725099781397
2023-04-05,38.48881912231445,92.55999755859375,19.079999923706055,21.923999977111816,-0.7692661709956735
2023-04-06,39.056854248046875,92.47000122070312,18.399999618530273,21.71349992752075,-0.6760097383926535
2023-04-10,39.25841522216797,95.4800033569336,18.969999313354492,21.42199993133545,-0.6054711992068075
2023-04-11,39.36836624145508,94.02999877929688,19.100000381469727,21.050999927520753,-0.6050558562189411
2023-04-12,38.937747955322266,92.33000183105469,19.09000015258789,20.81899995803833,-0.6975196163016966
2023-04-13,39.53327178955078,92.08999633789062,17.799999237060547,20.401999950408936,-0.6015433229957501
2023-04-14,38.763671875,91.75,17.06999969482422,20.10599994659424,-0.7335779175716423
2023-04-17,39.91806411743164,89.87000274658203,16.950000762939453,19.67799997329712,-0.5649491055632889
2023-04-18,39.056854248046875,89.77999877929688,16.829999923706055,19.311999988555907,-0.7091248095745869
2023-04-19,40.59603500366211,89.94000244140625,16.459999084472656,19.06599998474121,-0.4514600743318916
2023-04-20,39.83561325073242,90.11000061035156,17.170000076293945,18.811499977111815,-0.5756917063175009
2023-04-21,39.33171081542969,88.43000030517578,16.770000457763672,18.51949996948242,-0.6800835627817825
2023-04-24,39.130149841308594,87.56999969482422,16.889999389648438,18.276999950408936,-0.7241546711300846
2023-04-25,37.481021881103516,83.80000305175781,18.760000228881836,18.18499994277954,-1.0445248320996403
2023-04-26,37.71006393432617,85.94000244140625,18.84000015258789,18.12849998474121,-0.9801311261752926
2023-04-27,38.41552734375,87.44000244140625,17.030000686645508,18.023999977111817,-0.8444710138125229
2023-04-28,39.0843391418457,89.37000274658203,15.779999732971191,17.86199994087219,-0.7096061313353803
2023-05-01,37.98492431640625,89.69000244140625,16.079999923706055,17.73099989891052,-0.8883061009782082
2023-05-02,35.602848052978516,89.91000366210938,17.780000686645508,17.692499971389772,-1.2813180750175612
2023-05-03,34.961524963378906,81.62000274658203,18.34000015258789,17.659499979019166,-1.4899107259495434
