Date,KO,GOOGL,VIX,AvgVIX,zscore
2024-03-15,56.50312805175781,140.022705078125,14.40999984741211,14.202999925613403,-1.1626513416070352
2024-03-18,56.739036560058594,146.46945190429688,14.329999923706055,14.207499933242797,-1.2052587891334599
2024-03-19,56.83338928222656,145.8247833251953,13.819999694824219,14.127499914169311,-1.1743778504778972
2024-03-20,57.32406997680664,147.520751953125,13.039999961853027,14.012499904632568,-1.0888458167206538
2024-03-21,57.05985641479492,146.39007568359375,12.920000076293945,13.931499910354614,-1.1316684071120129
2024-03-22,57.078731536865234,149.53411865234375,13.0600004196167,13.896999931335449,-1.1741551268779677
2024-03-25,56.99380874633789,148.83984375,13.1899995803833,13.869499921798706,-1.1829997433160966
2024-03-26,57.125911712646484,149.43492126464844,13.239999771118164,13.859999895095825,-1.1620314862355934
2024-03-27,57.58827590942383,149.63328552246094,12.779999732971191,13.80699987411499,-1.0606235996318194
2024-03-28,57.72981643676758,149.6927947998047,13.010000228881836,13.787499904632568,-1.0295622063053358
2024-04-01,57.25801467895508,154.21542358398438,13.649999618530273,13.81449990272522,-1.20329381741475
2024-04-02,56.757904052734375,153.29302978515625,14.609999656677246,13.870499897003175,-1.302456043674825
2024-04-03,56.45594787597656,153.6500701904297,14.329999923706055,13.863999891281129,-1.3759172497284309
2024-04-04,55.95583724975586,149.29608154296875,16.350000381469727,13.956499910354614,-1.4240571363062648
2024-04-05,56.15399169921875,151.2499237060547,16.030000686645508,14.035999965667724,-1.4083834863126334
2024-04-08,55.92753601074219,153.5806427001953,15.1899995803833,14.058499956130982,-1.4941494144198089
2024-04-09,56.35215377807617,155.3163299560547,14.979999542236328,14.046499919891357,-1.4241185713399864
2024-04-10,55.59726333618164,154.86007690429688,15.800000190734863,14.144499921798706,-1.5877162788637122
2024-04-11,55.719932556152344,158.10328674316406,14.90999984741211,14.202499914169312,-1.6082507540409416
2024-04-12,54.99336624145508,156.43702697753906,17.309999465942383,14.347999906539917,-1.7474647360835176
2024-04-15,54.86125183105469,153.59060668945312,19.229999542236328,14.588999891281128,-1.7349617015111518
2024-04-16,54.7857666015625,153.1343231201172,18.399999618530273,14.792499876022339,-1.7452147781626397
2024-04-17,55.21038818359375,154.19557189941406,18.209999084472656,15.01199984550476,-1.6651552501315265
2024-04-18,55.587833404541016,154.7311553955078,18.0,15.259999847412109,-1.5879277909147471
2024-04-19,56.776771545410156,152.82687377929688,18.709999084472656,15.549499797821046,-1.2912665873812923
2024-04-22,57.135345458984375,154.9989471435547,16.940000534057617,15.743499803543092,-1.2426304425064696
2024-04-23,57.22026443481445,156.9627227783203,15.6899995803833,15.868499803543092,-1.2526621372371147
2024-04-24,58.07894515991211,157.8255615234375,15.970000267028809,16.004999828338622,-1.0716838734758978
2024-04-25,58.258235931396484,154.72122192382812,15.369999885559082,16.13449983596802,-0.9850607312252766
2024-04-26,58.258235931396484,170.54049682617188,15.029999732971191,16.235499811172485,-1.2202681065702072
2024-04-29,58.541316986083984,164.78802490234375,14.670000076293945,16.28649983406067,-1.0708456255039507
2024-04-30,58.28654479980469,161.44564819335938,15.649999618530273,16.33849983215332,-1.0786528073781998
2024-05-01,58.43751907348633,162.51678466796875,15.390000343322754,16.391499853134157,-1.0605034660844097
