Date,KO,CL,VIX,AvgVIX,zscore
2024-03-19,56.83338928222656,84.26773834228516,13.819999694824219,14.127499914169311,-1.4947966539080932
2024-03-20,57.32406997680664,83.86903381347656,13.039999961853027,14.012499904632568,-1.407467985758321
2024-03-21,57.05985641479492,84.26773834228516,12.920000076293945,13.931499910354614,-1.4571010716356425
2024-03-22,57.078731536865234,84.67593383789062,13.0600004196167,13.896999931335449,-1.4597484907086689
2024-03-25,56.99380874633789,84.14432525634766,13.1899995803833,13.869499921798706,-1.4663444490371054
2024-03-26,57.125911712646484,84.39115142822266,13.239999771118164,13.859999895095825,-1.4478564243171457
2024-03-27,57.58827590942383,85.38787841796875,12.779999732971191,13.80699987411499,-1.3850316281047597
2024-03-28,57.72981643676758,85.48283386230469,13.010000228881836,13.787499904632568,-1.3628188238570436
2024-04-01,57.25801467895508,84.54302978515625,13.649999618530273,13.81449990272522,-1.4280218112372265
2024-04-02,56.757904052734375,84.54302978515625,14.609999656677246,13.870499897003175,-1.511265507760557
2024-04-03,56.45594787597656,83.63172149658203,14.329999923706055,13.863999891281129,-1.5486017409472783
2024-04-04,55.95583724975586,82.96722412109375,16.350000381469727,13.956499910354614,-1.6224212666078195
2024-04-05,56.15399169921875,83.4228744506836,16.030000686645508,14.035999965667724,-1.5959005639344488
2024-04-08,55.92753601074219,83.27099609375,15.1899995803833,14.058499956130982,-1.631440240971226
2024-04-09,56.35215377807617,83.20454406738281,14.979999542236328,14.046499919891357,-1.5598199239500015
2024-04-10,55.59726333618164,82.1698226928711,15.800000190734863,14.144499921798706,-1.6707970273215842
2024-04-11,55.719932556152344,81.63822174072266,14.90999984741211,14.202499914169312,-1.6428392863223256
2024-04-12,54.99336624145508,81.49584197998047,17.309999465942383,14.347999906539917,-1.7617573728200118
2024-04-15,54.86125183105469,81.79961395263672,19.229999542236328,14.588999891281128,-1.7880561082621735
2024-04-16,54.7857666015625,81.79961395263672,18.399999618530273,14.792499876022339,-1.8006206673944736
2024-04-17,55.21038818359375,82.3501968383789,18.209999084472656,15.01199984550476,-1.7377507544022852
2024-04-18,55.587833404541016,82.31221771240234,18.0,15.259999847412109,-1.6743861486042169
2024-04-19,56.776771545410156,83.19062805175781,18.709999084472656,15.549499797821046,-1.488944693907217
2024-04-22,57.135345458984375,84.33637237548828,16.940000534057617,15.743499803543092,-1.44550927319659
2024-04-23,57.22026443481445,84.57505798339844,15.6899995803833,15.868499803543092,-1.4347595975974774
2024-04-24,58.07894515991211,84.85195922851562,15.970000267028809,16.004999828338622,-1.29575883094915
2024-04-25,58.258235931396484,85.25296020507812,15.369999885559082,16.13449983596802,-1.2716029388873078
2024-04-26,58.258235931396484,86.89520263671875,15.029999732971191,16.235499811172485,-1.2948938860675452
2024-04-29,58.541316986083984,86.3987045288086,14.670000076293945,16.28649983406067,-1.2407333472260147
2024-04-30,58.28654479980469,87.76405334472656,15.649999618530273,16.33849983215332,-1.3025042514897234
2024-05-01,58.43751907348633,87.74495697021484,15.390000343322754,16.391499853134157,-1.2771036657503365
