Date,PEP,CVX,VIX,AvgVIX,zscore
2024-04-16,155.8644256591797,143.3477783203125,18.399999618530273,14.792499876022339,0.6607328003667445
2024-04-17,157.70689392089844,143.45785522460938,18.209999084472656,15.01199984550476,0.8220588916771662
2024-04-18,160.30308532714844,144.53102111816406,18.0,15.259999847412109,1.0370495011432128
2024-04-19,162.03387451171875,146.7599334716797,18.709999084472656,15.549499797821046,1.160047307893735
2024-04-22,164.2020263671875,148.52105712890625,16.940000534057617,15.743499803543092,1.3279747730970923
2024-04-23,159.32603454589844,149.3740997314453,15.6899995803833,15.868499803543092,0.8856631571362472
2024-04-24,165.0860137939453,150.0345458984375,15.970000267028809,16.004999828338622,1.3857567993536353
2024-04-25,164.40670776367188,151.60301208496094,15.369999885559082,16.13449983596802,1.3046642479455492
2024-04-26,163.3831329345703,152.16253662109375,15.029999732971191,16.235499811172485,1.2067033750485865
2024-04-29,163.90423583984375,152.56613159179688,14.670000076293945,16.28649983406067,1.2473281358945378
2024-04-30,163.69021606445312,147.92486572265625,15.649999618530273,16.33849983215332,1.2907580712335402
2024-05-01,162.98301696777344,146.4205780029297,15.390000343322754,16.391499853134157,1.2484738713138719
2024-05-02,163.26219177246094,147.42955017089844,14.680000305175781,16.307999849319458,1.2595899312321945
2024-05-03,163.91354370117188,146.98924255371094,13.489999771118164,16.18099980354309,1.3230590373746582
2024-05-06,163.60650634765625,148.86962890625,13.489999771118164,16.095999813079835,1.2706712902455204
2024-05-07,165.65365600585938,149.20901489257812,13.229999542236328,16.008499813079833,1.447003424104762
2024-05-08,165.0860137939453,149.08975219726562,13.0,15.868499803543092,1.3984472114876763
2024-05-09,165.6908721923828,151.7589569091797,12.6899995803833,15.75749979019165,1.4160412623068357
2024-05-10,167.30068969726562,152.09835815429688,12.550000190734863,15.519499826431275,1.5537295389757526
2024-05-13,168.33358764648438,150.9150848388672,13.600000381469727,15.237999868392944,1.6608923797903272
2024-05-14,167.37513732910156,150.0712127685547,13.420000076293945,14.988999891281129,1.587536393913235
2024-05-15,166.99363708496094,149.55755615234375,12.449999809265137,14.700999927520751,1.5607255794448323
2024-05-16,170.39007568359375,149.25180053710938,12.420000076293945,14.42199993133545,1.8649494205871195
2024-05-17,169.5339813232422,150.7156982421875,11.989999771118164,14.085999965667725,1.7696400124444964
2024-05-20,167.7845458984375,149.29811096191406,12.149999618530273,13.846499919891357,1.6340969124320184
2024-05-21,168.50111389160156,148.21412658691406,11.859999656677246,13.654999923706054,1.7119744841148283
2024-05-22,169.44091796875,145.990478515625,12.289999961853027,13.470999908447265,1.8248855922169316
2024-05-23,166.81683349609375,145.40679931640625,12.770000457763672,13.340999937057495,1.6008555328769758
