Date,PEP,UPS,VIX,AvgVIX,zscore
2024-04-15,155.35263061523438,128.9495086669922,19.229999542236328,14.588999891281128,-0.47285383526601443
2024-04-16,155.8644256591797,127.20466613769531,18.399999618530273,14.792499876022339,-0.3109298770427458
2024-04-17,157.70689392089844,126.6349105834961,18.209999084472656,15.01199984550476,-0.06023171392156913
2024-04-18,160.30308532714844,127.07113647460938,18.0,15.259999847412109,0.22095106572314055
2024-04-19,162.03387451171875,127.09783172607422,18.709999084472656,15.549499797821046,0.4237687282330717
2024-04-22,164.2020263671875,129.40350341796875,16.940000534057617,15.743499803543092,0.5456695950851768
2024-04-23,159.32603454589844,132.52822875976562,15.6899995803833,15.868499803543092,-0.21183889019052451
2024-04-24,165.0860137939453,130.5251922607422,15.970000267028809,16.004999828338622,0.5848054265367583
2024-04-25,164.40670776367188,131.21070861816406,15.369999885559082,16.13449983596802,0.4647192738775142
2024-04-26,163.3831329345703,131.38873291015625,15.029999732971191,16.235499811172485,0.333501173698419
2024-04-29,163.90423583984375,132.2433624267578,14.670000076293945,16.28649983406067,0.3453217728938609
2024-04-30,163.69021606445312,131.2908172607422,15.649999618530273,16.33849983215332,0.37545676461543104
2024-05-01,162.98301696777344,129.90206909179688,15.390000343322754,16.391499853134157,0.372729911814405
