Date,KO,UPS,VIX,AvgVIX,zscore
2024-03-19,56.83338928222656,136.38290405273438,13.819999694824219,14.127499914169311,-0.6286584451894387
2024-03-20,57.32406997680664,137.7716522216797,13.039999961853027,14.012499904632568,-0.4627507603669033
2024-03-21,57.05985641479492,138.27020263671875,12.920000076293945,13.931499910354614,-0.4942101606526791
2024-03-22,57.078731536865234,139.11593627929688,13.0600004196167,13.896999931335449,-0.45103586439355525
2024-03-25,56.99380874633789,139.38299560546875,13.1899995803833,13.869499921798706,-0.45618725674377936
2024-03-26,57.125911712646484,128.005859375,13.239999771118164,13.859999895095825,-0.9571983296970392
2024-03-27,57.58827590942383,131.1572723388672,12.779999732971191,13.80699987411499,-0.7152912380863816
2024-03-28,57.72981643676758,132.31460571289062,13.010000228881836,13.787499904632568,-0.6322935597652801
2024-04-01,57.25801467895508,131.41543579101562,13.649999618530273,13.81449990272522,-0.7715648040171044
2024-04-02,56.757904052734375,132.77748107910156,14.609999656677246,13.870499897003175,-0.8116840804410648
2024-04-03,56.45594787597656,135.5549774169922,14.329999923706055,13.863999891281129,-0.7451180229547005
2024-04-04,55.95583724975586,133.53416442871094,16.350000381469727,13.956499910354614,-0.9423257218659552
2024-04-05,56.15399169921875,134.74490356445312,16.030000686645508,14.035999965667724,-0.845146512367962
2024-04-08,55.92753601074219,133.63211059570312,15.1899995803833,14.058499956130982,-0.9436270273088203
2024-04-09,56.35215377807617,134.04161071777344,14.979999542236328,14.046499919891357,-0.8368468554973602
2024-04-10,55.59726333618164,131.0949249267578,15.800000190734863,14.144499921798706,-1.1297094559273033
2024-04-11,55.719932556152344,132.65286254882812,14.90999984741211,14.202499914169312,-1.0320095965254537
2024-04-12,54.99336624145508,129.0029296875,17.309999465942383,14.347999906539917,-1.351674274142059
2024-04-15,54.86125183105469,128.9495086669922,19.229999542236328,14.588999891281128,-1.381461733603271
2024-04-16,54.7857666015625,127.20466613769531,18.399999618530273,14.792499876022339,-1.4780883467754633
2024-04-17,55.21038818359375,126.6349105834961,18.209999084472656,15.01199984550476,-1.41678068654387
2024-04-18,55.587833404541016,127.07113647460938,18.0,15.259999847412109,-1.318509569477345
2024-04-19,56.776771545410156,127.09783172607422,18.709999084472656,15.549499797821046,-1.0715279338247257
2024-04-22,57.135345458984375,129.40350341796875,16.940000534057617,15.743499803543092,-0.8903466341732872
2024-04-23,57.22026443481445,132.52822875976562,15.6899995803833,15.868499803543092,-0.7276930965578373
2024-04-24,58.07894515991211,130.5251922607422,15.970000267028809,16.004999828338622,-0.6432263031724288
2024-04-25,58.258235931396484,131.21070861816406,15.369999885559082,16.13449983596802,-0.5743355910919854
2024-04-26,58.258235931396484,131.38873291015625,15.029999732971191,16.235499811172485,-0.56606874899906
2024-04-29,58.541316986083984,132.2433624267578,14.670000076293945,16.28649983406067,-0.4678725511518783
2024-04-30,58.28654479980469,131.2908172607422,15.649999618530273,16.33849983215332,-0.5647644495017958
2024-05-01,58.43751907348633,129.90206909179688,15.390000343322754,16.391499853134157,-0.598048266705958
