Date,PEP,INTC,VIX,AvgVIX,zscore
2024-04-10,157.21371459960938,36.81596755981445,15.800000190734863,14.144499921798706,0.5536662132979371
2024-04-11,156.66468811035156,37.24153137207031,14.90999984741211,14.202499914169312,0.4919312372536549
2024-04-12,156.42274475097656,35.321556091308594,17.309999465942383,14.347999906539917,0.5231444696450637
2024-04-15,155.35263061523438,35.935157775878906,19.229999542236328,14.588999891281128,0.4087998132667274
2024-04-16,155.8644256591797,35.88566970825195,18.399999618530273,14.792499876022339,0.4567237687377786
2024-04-17,157.70689392089844,35.31166076660156,18.209999084472656,15.01199984550476,0.6402232400932423
2024-04-18,160.30308532714844,34.67826843261719,18.0,15.259999847412109,0.8939264113506232
2024-04-19,162.03387451171875,33.84694290161133,18.709999084472656,15.549499797821046,1.0744003001921576
2024-04-22,164.2020263671875,34.054771423339844,16.940000534057617,15.743499803543092,1.2658516463229743
2024-04-23,159.32603454589844,33.92611312866211,15.6899995803833,15.868499803543092,0.8259042895974212
2024-04-24,165.0860137939453,34.14384078979492,15.970000267028809,16.004999828338622,1.34378902637863
2024-04-25,164.40670776367188,34.74754333496094,15.369999885559082,16.13449983596802,1.265266145077255
2024-04-26,163.3831329345703,31.55088996887207,15.029999732971191,16.235499811172485,1.260771656795201
2024-04-29,163.90423583984375,31.036256790161133,14.670000076293945,16.28649983406067,1.322435667972757
2024-04-30,163.69021606445312,30.155445098876953,15.649999618530273,16.33849983215332,1.327384064913067
2024-05-01,162.98301696777344,30.05647850036621,15.390000343322754,16.391499853134157,1.2658014562873363
2024-05-02,163.26219177246094,30.195032119750977,14.680000305175781,16.307999849319458,1.2873542328735796
