Date,XOM,CVX,VIX,AvgVIX,zscore
2024-03-18,105.02464294433594,142.54978942871094,14.329999923706055,14.207499933242797,-0.4034326854278628
2024-03-19,105.7634506225586,143.65963745117188,13.819999694824219,14.127499914169311,-0.4482030463297257
2024-03-20,105.66993713378906,141.76092529296875,13.039999961853027,14.012499904632568,-0.158263448864586
2024-03-21,106.13752746582031,142.0452880859375,12.920000076293945,13.931499910354614,-0.11900651117153024
2024-03-22,106.13752746582031,141.8618621826172,13.0600004196167,13.896999931335449,-0.08935005933783673
2024-03-25,107.22238159179688,143.52206420898438,13.1899995803833,13.869499921798706,-0.16002433257616952
2024-03-26,106.41809844970703,142.42137145996094,13.239999771118164,13.859999895095825,-0.12866915314005317
2024-03-27,107.52165222167969,143.41200256347656,12.779999732971191,13.80699987411499,-0.08767805068893585
2024-03-28,108.7093734741211,144.68698120117188,13.010000228881836,13.787499904632568,-0.07731833946351463
2024-04-01,109.4107894897461,145.91610717773438,13.649999618530273,13.81449990272522,-0.14818945761766963
2024-04-02,111.55242919921875,146.55816650390625,14.609999656677246,13.870499897003175,0.13838261866695617
2024-04-03,111.57113647460938,147.1635284423828,14.329999923706055,13.863999891281129,0.0439171850259756
2024-04-04,111.96392822265625,147.39285278320312,16.350000381469727,13.956499910354614,0.07843840595419291
2024-04-05,113.50704193115234,148.22755432128906,16.030000686645508,14.035999965667724,0.22476386346519384
2024-04-08,112.74015808105469,147.92486572265625,15.1899995803833,14.058499956130982,0.1339142611442674
2024-04-09,113.32933807373047,148.59445190429688,14.979999542236328,14.046499919891357,0.1330514776955204
2024-04-10,114.28325653076172,149.20901489257812,15.800000190734863,14.144499921798706,0.20756987223117396
2024-04-11,113.89981842041016,148.49354553222656,14.90999984741211,14.202499914169312,0.25335397309992796
2024-04-12,112.57182312011719,145.80601501464844,17.309999465942383,14.347999906539917,0.4458074901672269
2024-04-15,111.92652130126953,144.54937744140625,19.229999542236328,14.588999891281128,0.5313552718688757
2024-04-16,111.00066375732422,143.3477783203125,18.399999618530273,14.792499876022339,0.5568643433215464
2024-04-17,110.94453430175781,143.45785522460938,18.209999084472656,15.01199984550476,0.5288356711246258
2024-04-18,110.84165954589844,144.53102111816406,18.0,15.259999847412109,0.3365731825037005
2024-04-19,112.11355590820312,146.7599334716797,18.709999084472656,15.549499797821046,0.2080436452690144
2024-04-22,112.74950408935547,148.52105712890625,16.940000534057617,15.743499803543092,0.03922514329238822
2024-04-23,113.18905639648438,149.3740997314453,15.6899995803833,15.868499803543092,-0.018573347384562063
2024-04-24,113.207763671875,150.0345458984375,15.970000267028809,16.004999828338622,-0.12194484467413222
2024-04-25,113.4696273803711,151.60301208496094,15.369999885559082,16.13449983596802,-0.3278029119726607
2024-04-26,110.31794738769531,152.16253662109375,15.029999732971191,16.235499811172485,-0.9927594649825542
2024-04-29,111.88910675048828,152.56613159179688,14.670000076293945,16.28649983406067,-0.7716201440446698
2024-04-30,110.60786437988281,147.92486572265625,15.649999618530273,16.33849983215332,-0.25476289624089565
2024-05-01,108.51299285888672,146.4205780029297,15.390000343322754,16.391499853134157,-0.3934042085902278
