Date,MS,GOOGL,VIX,AvgVIX,zscore
2024-09-23,97.82903289794922,160.9207763671875,15.890000343322754,17.742999887466432,-0.5869236606363134
2024-09-24,97.93406677246094,161.3582305908203,15.390000343322754,17.704999923706055,-0.5943701107705013
2024-09-25,97.70491790771484,160.56283569335938,15.40999984741211,17.70399990081787,-0.5837087269608588
2024-09-26,99.8625717163086,161.79571533203125,15.369999885559082,17.616999864578247,-0.46433700434457603
2024-09-27,99.39476013183594,163.0087127685547,16.959999084472656,17.682499837875366,-0.5422139263628701
2024-09-30,99.51887512207031,164.8978271484375,16.729999542236328,17.768999814987183,-0.5992109901729005
2024-10-01,99.69071197509766,166.03125,19.260000228881836,17.69599986076355,-0.626066569400649
2024-10-02,99.78618621826172,164.90773010253906,18.899999618530273,17.574999856948853,-0.5794049051097904
2024-10-03,99.83392333984375,164.90773010253906,20.489999771118164,17.604499864578248,-0.5758057641157608
2024-10-04,102.99400329589844,166.10084533691406,19.209999084472656,17.44599986076355,-0.3794593914452579
2024-10-07,102.76488494873047,162.04425048828125,22.639999389648438,17.605499792099,-0.2542467960311713
2024-10-08,102.62167358398438,163.4362335205078,21.420000076293945,17.722499799728393,-0.3139373082090172
2024-10-09,104.10147094726562,160.93069458007812,20.860000610351562,17.88099980354309,-0.11436147529296953
2024-10-10,103.18494415283203,161.14944458007812,20.93000030517578,18.07399983406067,-0.1911465709135171
2024-10-11,105.45714569091797,162.3027801513672,20.459999084472656,18.268999814987183,-0.06034455314572716
2024-10-14,107.19473266601562,164.01290893554688,19.700000762939453,18.396999883651734,0.01059295598952865
2024-10-15,107.13744354248047,164.51002502441406,20.639999389648438,18.548499822616577,-0.0111874485278677
2024-10-16,114.0972900390625,164.2117462158203,19.579999923706055,18.615999841690062,0.5240272576325801
2024-10-17,114.03045654296875,161.9945526123047,19.110000610351562,18.75499987602234,0.59686676907975
2024-10-18,115.57706451416016,162.48175048828125,18.030000686645508,18.8489999294281,0.6963605849379312
2024-10-21,112.92298889160156,163.12803649902344,18.3700008392334,18.97299995422363,0.47355586380682746
2024-10-22,112.96116638183594,164.19186401367188,18.200000762939453,19.11349997520447,0.43906755539619474
2024-10-23,112.92298889160156,161.8454132080078,19.239999771118164,19.30499997138977,0.5186077168253755
2024-10-24,113.77266693115234,161.7857666015625,19.079999923706055,19.49049997329712,0.5847642788582412
2024-10-25,111.58639526367188,164.3211212158203,20.329999923706055,19.65900001525879,0.33087653643470993
2024-10-28,113.73448181152344,165.76280212402344,19.799999237060547,19.8125,0.44219283791482733
2024-10-29,113.89679718017578,168.70579528808594,19.34000015258789,19.816499996185303,0.3510586382568151
2024-10-30,112.57928466796875,173.4583740234375,20.350000381469727,19.889000034332277,0.08479150950358914
2024-10-31,111.86241912841797,170.12759399414062,23.15999984741211,20.022500038146973,0.14773631669088694
2024-11-01,112.43976593017578,170.30654907226562,21.8799991607666,20.15600004196167,0.1849796307781964
2024-11-04,111.7565689086914,168.26834106445312,21.979999542236328,20.123000049591063,0.2050615764612706
2024-11-05,113.36353302001953,168.7654571533203,20.489999771118164,20.076500034332277,0.308757569421039
2024-11-06,126.5272216796875,175.49658203125,16.270000457763672,19.84700002670288,1.0648048333259532
2024-11-07,123.59232330322266,179.71224975585938,15.199999809265137,19.56050000190735,0.6954537510261385
2024-11-08,124.64118194580078,177.32603454589844,14.9399995803833,19.28450002670288,0.8583477336177021
2024-11-11,128.4805908203125,179.31454467773438,14.970000267028809,19.048000001907347,1.0779740543458654
2024-11-12,127.31627655029297,180.57723999023438,14.710000038146973,18.751500034332274,0.9458386753032806
2024-11-13,127.74927520751953,177.8529815673828,14.020000457763672,18.473500061035157,1.07417357651001
2024-11-14,127.43173217773438,174.57192993164062,14.3100004196167,18.233500051498414,1.1654786117029126
2024-11-15,129.0001983642578,171.49966430664062,16.139999389648438,18.13899998664856,1.3916457784949519
2024-11-18,128.73077392578125,174.29354858398438,15.579999923706055,17.99949994087219,1.2731979655593593
2024-11-19,127.24890899658203,177.0973358154297,16.350000381469727,17.906999921798707,1.0629903447100513
2024-11-20,126.71965789794922,174.96961975097656,17.15999984741211,17.802999925613403,1.0978229957901
2024-11-21,129.89512634277344,166.66758728027344,16.8700008392334,17.692499971389772,1.6288444995171119
2024-11-22,129.60643005371094,163.8140411376953,15.239999771118164,17.437999963760376,1.707308401394614
2024-11-25,128.6152801513672,166.6874542236328,14.600000381469727,17.178000020980836,1.5316526549252796
2024-11-26,126.32514953613281,168.14903259277344,14.100000381469727,16.916000032424925,1.3076506133502783
2024-11-27,126.2577896118164,168.25839233398438,14.100000381469727,16.603500032424925,1.2987307746740608
2024-11-29,126.64269256591797,167.97998046875,13.510000228881836,16.121000051498413,1.33752969244289
