Date,KO,MNST,VIX,AvgVIX,zscore
2024-02-28,56.54155349731445,55.849998474121094,13.84000015258789,13.99150013923645,-1.7813563679518694
2024-02-29,56.18582534790039,59.099998474121094,13.399999618530273,13.944000101089477,-2.1977495348763605
2024-03-01,55.72712326049805,58.790000915527344,13.109999656677246,13.905500078201294,-2.27498753813211
2024-03-04,55.98923873901367,58.5,13.489999771118164,13.887500047683716,-2.1831397269844106
2024-03-05,55.7177619934082,57.88999938964844,14.460000038146973,13.927000045776367,-2.1852878974233767
2024-03-06,55.74584197998047,58.310001373291016,14.5,13.999000024795532,-2.2215185740288015
2024-03-07,55.64287185668945,59.380001068115234,14.4399995803833,14.079500007629395,-2.3552494799908157
2024-03-08,55.7177619934082,59.18000030517578,14.739999771118164,14.17699999809265,-2.317042755504914
2024-03-11,56.39176559448242,59.15999984741211,15.220000267028809,14.291499996185303,-2.154985848985729
2024-03-12,56.635154724121094,59.81999969482422,13.84000015258789,14.286999988555909,-2.16461261181562
2024-03-13,57.21555709838867,60.849998474121094,13.75,14.181999969482423,-2.1320195997835376
2024-03-14,57.08816909790039,60.29999923706055,14.399999618530273,14.18299994468689,-2.106088153425874
2024-03-15,56.50312805175781,60.45000076293945,14.40999984741211,14.202999925613403,-2.260302318695417
2024-03-18,56.739036560058594,60.790000915527344,14.329999923706055,14.207499933242797,-2.23902172295918
2024-03-19,56.83338928222656,60.540000915527344,13.819999694824219,14.127499914169311,-2.191087720330952
2024-03-20,57.32406997680664,60.13999938964844,13.039999961853027,14.012499904632568,-2.0337416307655003
2024-03-21,57.05985641479492,59.880001068115234,12.920000076293945,13.931499910354614,-2.069913110559644
2024-03-22,57.078731536865234,59.5,13.0600004196167,13.896999931335449,-2.0266204069553706
2024-03-25,56.99380874633789,59.09000015258789,13.1899995803833,13.869499921798706,-2.0049062652806033
2024-03-26,57.125911712646484,59.31999969482422,13.239999771118164,13.859999895095825,-1.9970350176278613
2024-03-27,57.58827590942383,59.20000076293945,12.779999732971191,13.80699987411499,-1.8750097022503442
2024-03-28,57.72981643676758,59.279998779296875,13.010000228881836,13.787499904632568,-1.849577420551875
2024-04-01,57.25801467895508,57.7400016784668,13.649999618530273,13.81449990272522,-1.8042988070204533
2024-04-02,56.757904052734375,56.900001525878906,14.609999656677246,13.870499897003175,-1.8372354798564372
2024-04-03,56.45594787597656,55.95000076293945,14.329999923706055,13.863999891281129,-1.81189364723738
2024-04-04,55.95583724975586,55.75,16.350000381469727,13.956499910354614,-1.9101969626396045
2024-04-05,56.15399169921875,55.900001525878906,16.030000686645508,14.035999965667724,-1.8784738992370504
2024-04-08,55.92753601074219,55.650001525878906,15.1899995803833,14.058499956130982,-1.9067025241324012
2024-04-09,56.35215377807617,55.75,14.979999542236328,14.046499919891357,-1.8161080699349053
2024-04-10,55.59726333618164,54.810001373291016,15.800000190734863,14.144499921798706,-1.899318232110661
2024-04-11,55.719932556152344,54.72999954223633,14.90999984741211,14.202499914169312,-1.8620244976038638
2024-04-12,54.99336624145508,55.0099983215332,17.309999465942383,14.347999906539917,-2.0631152889295556
2024-04-15,54.86125183105469,54.11000061035156,19.229999542236328,14.588999891281128,-2.002558671324834
2024-04-16,54.7857666015625,54.689998626708984,18.399999618530273,14.792499876022339,-2.079717876377448
2024-04-17,55.21038818359375,54.25,18.209999084472656,15.01199984550476,-1.9339696553832733
2024-04-18,55.587833404541016,53.459999084472656,18.0,15.259999847412109,-1.7636738506371372
2024-04-19,56.776771545410156,53.13999938964844,18.709999084472656,15.549499797821046,-1.448726568164015
2024-04-22,57.135345458984375,53.599998474121094,16.940000534057617,15.743499803543092,-1.4105803167682773
2024-04-23,57.22026443481445,53.72999954223633,15.6899995803833,15.868499803543092,-1.4036975553656594
2024-04-24,58.07894515991211,54.33000183105469,15.970000267028809,16.004999828338622,-1.2611210149784267
2024-04-25,58.258235931396484,53.150001525878906,15.369999885559082,16.13449983596802,-1.098035977480465
2024-04-26,58.258235931396484,53.369998931884766,15.029999732971191,16.235499811172485,-1.1205055173526595
2024-04-29,58.541316986083984,54.130001068115234,14.670000076293945,16.28649983406067,-1.1309228631894368
2024-04-30,58.28654479980469,53.45000076293945,15.649999618530273,16.33849983215332,-1.12195577791087
2024-05-01,58.43751907348633,53.540000915527344,15.390000343322754,16.391499853134157,-1.0953054180655217
