Date,XLU,UPS,VIX,AvgVIX,zscore
2024-04-17,30.229528427124023,126.6349105834961,18.209999084472656,15.01199984550476,-1.3197823068779067
2024-04-18,30.399354934692383,127.07113647460938,18.0,15.259999847412109,-1.2408797345673364
2024-04-19,30.86638641357422,127.09783172607422,18.709999084472656,15.549499797821046,-1.0998987979930912
2024-04-22,31.149429321289062,129.40350341796875,16.940000534057617,15.743499803543092,-0.8661023245673126
2024-04-23,31.295671463012695,132.52822875976562,15.6899995803833,15.868499803543092,-0.6200213206575932
2024-04-24,31.484371185302734,130.5251922607422,15.970000267028809,16.004999828338622,-0.6935517103625625
2024-04-25,31.569284439086914,131.21070861816406,15.369999885559082,16.13449983596802,-0.6238134422785053
2024-04-26,31.224910736083984,131.38873291015625,15.029999732971191,16.235499811172485,-0.7149569741046782
2024-04-29,31.64948081970215,132.2433624267578,14.670000076293945,16.28649983406067,-0.5329876244066102
2024-04-30,31.484371185302734,131.2908172607422,15.649999618530273,16.33849983215332,-0.6439404538963791
2024-05-01,31.84761619567871,129.90206909179688,15.390000343322754,16.391499853134157,-0.6256231525320808
2024-05-02,32.01744842529297,131.05934143066406,14.680000305175781,16.307999849319458,-0.49999623543833044
2024-05-03,32.27219009399414,130.35606384277344,13.489999771118164,16.18099980354309,-0.4696131475340645
2024-05-06,32.43729782104492,130.56971740722656,13.489999771118164,16.095999813079835,-0.4065398624115554
2024-05-07,32.80526351928711,130.94361877441406,13.229999542236328,16.008499813079833,-0.27259820339097623
2024-05-08,33.14963912963867,131.5489959716797,13.0,15.868499803543092,-0.13069095876817796
2024-05-09,33.65440368652344,131.80714416503906,12.6899995803833,15.75749979019165,0.036538329612966595
2024-05-10,33.62137985229492,132.65325927734375,12.550000190734863,15.519499826431275,0.08151875595203481
2024-05-13,33.62137985229492,135.56069946289062,13.600000381469727,15.237999868392944,0.2699161576895076
2024-05-14,33.71101379394531,133.16635131835938,13.420000076293945,14.988999891281129,0.1414917390091767
2024-05-15,34.21578598022461,133.16635131835938,12.449999809265137,14.700999927520751,0.2919957185438154
2024-05-16,34.09785079956055,134.71456909179688,12.420000076293945,14.42199993133545,0.3571539041192845
2024-05-17,34.12614822387695,134.3365478515625,11.989999771118164,14.085999965667725,0.3410959636877489
2024-05-20,34.069549560546875,132.85128784179688,12.149999618530273,13.846499919891357,0.22797794612531833
2024-05-21,34.37617874145508,130.89801025390625,11.859999656677246,13.654999923706054,0.19283395846169762
2024-05-22,33.970481872558594,129.41278076171875,12.289999961853027,13.470999908447265,-0.024369966431961338
2024-05-23,33.39494705200195,125.20913696289062,12.770000457763672,13.340999937057495,-0.4683619784104243
2024-05-24,33.729888916015625,124.81306457519531,11.930000305175781,13.185999965667724,-0.3941598267809772
2024-05-28,33.696868896484375,123.84092712402344,12.920000076293945,13.098499965667724,-0.4669980759373773
2024-05-29,33.26285171508789,120.98751068115234,14.279999732971191,13.02999997138977,-0.7813023393575588
2024-05-30,33.71101379394531,123.19281005859375,14.470000267028809,12.983999967575073,-0.5047775355237781
2024-05-31,34.305416107177734,125.05609130859375,12.920000076293945,12.895999956130982,-0.20681164257564175
2024-06-03,33.91386795043945,124.59706115722656,13.109999656677246,12.876999950408935,-0.353300905969374
2024-06-04,33.899715423583984,122.08566284179688,13.15999984741211,12.860499954223632,-0.5202551861512575
2024-06-05,33.706295013427734,123.83193969726562,12.630000114440918,12.830499982833862,-0.4647699349410633
2024-06-06,33.357208251953125,123.82292175292969,12.579999923706055,12.809499979019165,-0.5694387557122949
2024-06-07,32.99396896362305,123.89493560791016,12.220000267028809,12.78600001335144,-0.6730765958741273
2024-06-10,33.41852951049805,123.93091583251953,12.739999771118164,12.795499992370605,-0.5441572341370974
2024-06-11,33.2156867980957,123.63389587402344,12.850000381469727,12.757999992370605,-0.6238836719882396
2024-06-12,32.998680114746094,122.80574798583984,12.039999961853027,12.68899998664856,-0.7422494975905071
