Date,BAC,TXN,VIX,AvgVIX,zscore
2024-05-16,37.432655334472656,184.24554443359375,12.420000076293945,14.42199993133545,-1.0979801712101873
2024-05-17,37.49946975708008,184.29278564453125,11.989999771118164,14.085999965667725,-1.0877444217272099
2024-05-20,37.05088424682617,188.24285888671875,12.149999618530273,13.846499919891357,-1.2606625096742776
2024-05-21,37.84306716918945,188.06329345703125,11.859999656677246,13.654999923706054,-1.1212414416309557
2024-05-22,37.94804382324219,191.3991241455078,12.289999961853027,13.470999908447265,-1.1848002473008217
2024-05-23,37.38493347167969,186.43792724609375,12.770000457763672,13.340999937057495,-1.159647809555033
2024-05-24,37.89078140258789,188.2239532470703,11.930000305175781,13.185999965667724,-1.1170309533663338
2024-05-28,37.528099060058594,188.62086486816406,12.920000076293945,13.098499965667724,-1.1885459034795653
2024-05-29,36.9554443359375,184.1888427734375,14.279999732971191,13.02999997138977,-1.1779416343757676
2024-05-30,36.86954879760742,184.91647338867188,14.470000267028809,12.983999967575073,-1.210350549833011
2024-05-31,38.167572021484375,184.28334045410156,12.920000076293945,12.895999956130982,-0.973628240690807
2024-06-03,38.062583923339844,183.06430053710938,13.109999656677246,12.876999950408935,-0.9617585129189278
2024-06-04,37.87169647216797,182.66738891601562,13.15999984741211,12.860499954223632,-0.9846057653216541
2024-06-05,38.13893508911133,185.2944793701172,12.630000114440918,12.830499982833862,-1.0031993982014291
2024-06-06,37.89078140258789,185.4456787109375,12.579999923706055,12.809499979019165,-1.049191925027696
2024-06-07,38.19805908203125,184.850341796875,12.220000267028809,12.78600001335144,-0.982276237387259
2024-06-10,38.092430114746094,186.74977111816406,12.739999771118164,12.795499992370605,-1.0466615478831316
2024-06-11,37.31464767456055,186.5796661376953,12.850000381469727,12.757999992370605,-1.1750897502328317
2024-06-12,37.8427734375,188.03494262695312,12.039999961853027,12.68899998664856,-1.1205992499075617
2024-06-13,37.69873809814453,185.4834747314453,11.9399995803833,12.663499975204468,-1.0828507592450427
2024-06-14,37.67953872680664,183.234375,12.65999984741211,12.675499963760377,-1.0312057027704455
2024-06-17,37.93879699707031,184.1793670654297,12.75,12.713499975204467,-1.0100867294772038
2024-06-18,38.39970779418945,185.45510864257812,12.300000190734863,12.721000003814698,-0.9626699500080791
2024-06-20,38.39970779418945,182.15707397460938,13.279999732971191,12.792000007629394,-0.8821395832670121
2024-06-21,37.919593811035156,184.7747344970703,13.199999809265137,12.8375,-1.0278976222152438
2024-06-24,38.42851257324219,183.2438507080078,13.329999923706055,12.86549997329712,-0.9037660547672131
2024-06-25,37.813961029052734,183.7730255126953,12.84000015258789,12.910999965667724,-1.0214445059908004
2024-06-26,37.449073791503906,182.47837829589844,12.550000190734863,12.892499971389771,-1.052031356930067
2024-06-27,37.68913269042969,182.7902374267578,12.239999771118164,12.79049997329712,-1.018725492977653
2024-06-28,38.18845748901367,183.82974243164062,12.4399995803833,12.688999938964844,-0.9589922647010621
2024-07-01,38.418914794921875,183.8958740234375,12.220000267028809,12.653999948501587,-0.9213230030779275
2024-07-02,39.302330017089844,187.5057830810547,12.029999732971191,12.599999952316285,-0.8588805513053489
2024-07-03,39.27351760864258,187.99716186523438,12.09000015258789,12.546499967575073,-0.8757902822856142
2024-07-05,38.803001403808594,187.85540771484375,12.479999542236328,12.538999938964844,-0.9525337577172058
2024-07-08,39.00465393066406,190.38800048828125,12.369999885559082,12.528499937057495,-0.9799998634536762
2024-07-09,39.77283477783203,189.15005493164062,12.510000228881836,12.542999935150146,-0.8188270283257598
2024-07-10,40.08012008666992,192.41973876953125,12.850000381469727,12.548499965667725,-0.8462848936658551
2024-07-11,40.147335052490234,188.98941040039062,12.920000076293945,12.551999950408936,-0.7510666736788928
2024-07-12,39.93608093261719,190.76597595214844,12.460000038146973,12.572999954223633,-0.8304569317481021
2024-07-15,40.224151611328125,190.6620330810547,13.119999885559082,12.631999969482422,-0.7788139978053122
2024-07-16,42.37507247924805,195.25469970703125,13.1899995803833,12.658499956130981,-0.5243076044927248
2024-07-17,42.231040954589844,193.02450561523438,14.479999542236328,12.744999933242799,-0.4944032256325099
2024-07-18,41.29961013793945,194.54595947265625,15.930000305175781,12.926499938964843,-0.6903264716208543
2024-07-19,41.19398498535156,188.1483612060547,16.520000457763672,13.088499975204467,-0.5521169381095774
2024-07-22,40.61784362792969,194.55540466308594,14.90999984741211,13.173999977111816,-0.8067718771303456
2024-07-23,40.72347640991211,187.3828887939453,14.720000267028809,13.243499994277954,-0.6136293579083647
2024-07-24,40.5122184753418,187.37344360351562,18.040000915527344,13.503500032424927,-0.6494100211801039
2024-07-25,40.022499084472656,186.3056182861328,18.459999084472656,13.798999977111816,-0.7068143831621485
2024-07-26,40.01289749145508,190.87939453125,16.389999389648438,14.00649995803833,-0.8201321035886456
2024-07-29,39.455963134765625,190.7754364013672,16.600000381469727,14.214499998092652,-0.9125294170244818
2024-07-30,39.63840866088867,189.9344024658203,17.690000534057617,14.488000011444091,-0.8608934229618904
2024-07-31,38.70698547363281,193.85313415527344,16.360000610351562,14.70450005531311,-1.1153513398320198
2024-08-01,37.92919158935547,183.8851318359375,18.59000015258789,15.029500055313111,-1.0045395366316583
2024-08-02,36.085548400878906,178.3018798828125,23.389999389648438,15.575000047683716,-1.1824791916436166
2024-08-05,35.19253158569336,172.3381805419922,38.56999969482422,16.885000038146973,-1.1890842368311347
2024-08-06,35.45178985595703,177.81678771972656,27.709999084472656,17.644999980926514,-1.2786656425249943
2024-08-07,35.81667709350586,175.0775146484375,27.850000381469727,18.394999980926514,-1.1495798026700454
2024-08-08,36.69049072265625,183.8565673828125,23.790000915527344,18.938500022888185,-1.2149925648443807
2024-08-09,36.75770568847656,182.81983947753906,20.3700008392334,19.334000062942504,-1.1782205234433858
2024-08-12,36.65208053588867,182.6771697998047,20.709999084472656,19.713500022888184,-1.1927418566185086
2024-08-13,36.93054962158203,187.6136016845703,18.1200008392334,19.96000008583069,-1.26580989786568
2024-08-14,37.266632080078125,186.05374145507812,16.190000534057617,20.045500135421754,-1.1704326863406538
2024-08-15,37.47787857055664,192.06497192382812,15.229999542236328,20.01050009727478,-1.2812036672889284
2024-08-16,37.77555465698242,190.7333984375,14.800000190734863,19.92450008392334,-1.1979474876441984
2024-08-19,38.092430114746094,190.85702514648438,14.649999618530273,19.91150007247925,-1.146951176858764
2024-08-20,37.151405334472656,192.6451416015625,15.880000114440918,19.969500064849854,-1.3510211048543677
2024-08-21,37.209022521972656,198.19033813476562,16.270000457763672,19.88100004196167,-1.4766004606566887
2024-08-22,37.67953872680664,193.81507873535156,17.549999237060547,19.835500049591065,-1.2895619779369603
2024-08-23,38.18845748901367,199.62657165527344,15.859999656677246,19.809000062942506,-1.344714241210379
2024-08-26,38.332496643066406,198.07620239257812,16.149999618530273,19.786500024795533,-1.2823047200593356
2024-08-27,38.092430114746094,200.3970489501953,15.430000305175781,19.67350001335144,-1.3798964588149785
2024-08-28,38.361297607421875,197.59112548828125,17.110000610351562,19.71100001335144,-1.265550817161858
2024-08-29,38.57255172729492,200.77745056152344,15.649999618530273,19.56399998664856,-1.3073428516891075
2024-08-30,39.129486083984375,203.86868286132812,15.0,19.144500017166138,-1.2878878535043383
2024-09-03,39.08147430419922,191.9698486328125,20.719999313354492,18.25199999809265,-1.0055300334275747
2024-09-04,38.88943099975586,194.03384399414062,21.31999969482422,17.932500028610228,-1.0886639618855969
2024-09-05,38.543739318847656,191.70352172851562,19.899999618530273,17.534999990463255,-1.0906899285576577
2024-09-06,37.46126937866211,187.80381774902344,22.3799991607666,17.46449990272522,-1.1799873769610911
