Date,KO,QCOM,VIX,AvgVIX,zscore
2024-03-21,57.05985641479492,163.6592254638672,12.920000076293945,13.931499910354614,-1.5344380497123773
2024-03-22,57.078731536865234,162.9407958984375,13.0600004196167,13.896999931335449,-1.5529367152358882
2024-03-25,56.99380874633789,160.46937561035156,13.1899995803833,13.869499921798706,-1.6444155696387432
2024-03-26,57.125911712646484,160.038330078125,13.239999771118164,13.859999895095825,-1.6330738409347418
2024-03-27,57.58827590942383,162.01162719726562,12.779999732971191,13.80699987411499,-1.4867239356371742
2024-03-28,57.72981643676758,162.17445373535156,13.010000228881836,13.787499904632568,-1.455438265203061
2024-04-01,57.25801467895508,164.4925994873047,13.649999618530273,13.81449990272522,-1.4720937664591232
2024-04-02,56.757904052734375,163.8412322998047,14.609999656677246,13.870499897003175,-1.5849659403437808
2024-04-03,56.45594787597656,166.59043884277344,14.329999923706055,13.863999891281129,-1.556860608867438
2024-04-04,55.95583724975586,162.61509704589844,16.350000381469727,13.956499910354614,-1.7715469068975012
2024-04-05,56.15399169921875,164.3105926513672,16.030000686645508,14.035999965667724,-1.6827963455711348
2024-04-08,55.92753601074219,166.31263732910156,15.1899995803833,14.058499956130982,-1.6635487535591582
2024-04-09,56.35215377807617,168.1805877685547,14.979999542236328,14.046499919891357,-1.527438935175491
2024-04-10,55.59726333618164,163.66880798339844,15.800000190734863,14.144499921798706,-1.8058945902462304
2024-04-11,55.719932556152344,167.7591094970703,14.90999984741211,14.202499914169312,-1.6578157297773124
2024-04-12,54.99336624145508,164.08071899414062,17.309999465942383,14.347999906539917,-1.9054818472103245
2024-04-15,54.86125183105469,162.69171142578125,19.229999542236328,14.588999891281128,-1.9725743568096934
2024-04-16,54.7857666015625,161.4847412109375,18.399999618530273,14.792499876022339,-2.0235693075203653
2024-04-17,55.21038818359375,157.404052734375,18.209999084472656,15.01199984550476,-2.0696669895926156
2024-04-18,55.587833404541016,154.64527893066406,18.0,15.259999847412109,-2.0840394906161435
2024-04-19,56.776771545410156,150.99560546875,18.709999084472656,15.549499797821046,-1.9749249281971333
2024-04-22,57.135345458984375,153.4383087158203,16.940000534057617,15.743499803543092,-1.8334812559537919
2024-04-23,57.22026443481445,154.55906677246094,15.6899995803833,15.868499803543092,-1.7833742121722542
2024-04-24,58.07894515991211,156.7430877685547,15.970000267028809,16.004999828338622,-1.5569341031766715
2024-04-25,58.258235931396484,156.427001953125,15.369999885559082,16.13449983596802,-1.5333036286727542
2024-04-26,58.258235931396484,158.68765258789062,15.029999732971191,16.235499811172485,-1.4640593679830827
2024-04-29,58.541316986083984,162.0786590576172,14.670000076293945,16.28649983406067,-1.3075955316425145
2024-04-30,58.28654479980469,158.86965942382812,15.649999618530273,16.33849983215332,-1.4532246629781127
2024-05-01,58.43751907348633,157.202880859375,15.390000343322754,16.391499853134157,-1.4762274354363782
