Date,AMAT,UPS,VIX,AvgVIX,zscore
2024-12-20,161.76690673828125,115.97975158691406,18.360000610351562,15.41300015449524,-0.8193580622294085
2024-12-23,165.5937957763672,116.04434967041016,16.780000686645508,15.490000200271606,-0.7589106842405191
2024-12-24,166.49362182617188,116.51498413085938,14.270000457763672,15.473500204086303,-0.7442797906839607
2024-12-26,165.6827850341797,116.60726928710938,14.729999542236328,15.505000162124634,-0.7569901096090178
2024-12-27,164.97080993652344,116.37655639648438,15.949999809265137,15.597500133514405,-0.7684366601448878
2024-12-30,161.81634521484375,115.64753723144531,17.399999618530273,15.792000102996827,-0.8188826433608803
2024-12-31,160.81761169433594,116.3673324584961,17.350000381469727,15.992500114440919,-0.8339823908239913
2025-01-02,162.04379272460938,114.30945587158203,17.93000030517578,16.224000120162962,-0.8165208647387997
2025-01-03,168.16481018066406,114.23562622070312,16.1299991607666,16.358000087738038,-0.7199992202011329
2025-01-06,175.5021209716797,114.62319946289062,16.040000915527344,16.483000135421754,-0.6038613109379184
2025-01-07,175.83834838867188,115.33377075195312,17.81999969482422,16.73550009727478,-0.5979038989759847
2025-01-08,175.01759338378906,116.97639465332031,17.700000762939453,16.911000156402586,-0.6093487051381153
2025-01-10,169.73707580566406,113.76498413085938,19.540000915527344,17.179000186920167,-0.6956206320307208
2025-01-13,168.95590209960938,115.3614730834961,19.190000534057617,17.459500217437743,-0.70648316367753
2025-01-14,171.7147979736328,116.12739562988281,18.709999084472656,17.69900016784668,-0.662245389016197
2025-01-15,176.39210510253906,117.631591796875,16.1200008392334,17.814500188827516,-0.5870580074017705
2025-01-16,184.4018096923828,119.91095733642578,16.600000381469727,17.910000228881835,-0.4585745419438904
2025-01-17,189.90975952148438,119.71715545654297,15.970000267028809,17.915000247955323,-0.37183711779445794
2025-01-21,190.72061157226562,122.61481475830078,15.0600004196167,17.287000226974488,-0.3563840826871155
2025-01-22,193.3311767578125,122.31949615478516,15.100000381469727,16.837500238418578,-0.31546036450351944
2025-01-23,188.57479858398438,123.29769897460938,15.020000457763672,16.670500230789184,-0.38961854543617525
2025-01-24,184.66880798339844,122.76245880126953,14.850000381469727,16.574000215530397,-0.45174583071337954
2025-01-27,172.62454223632812,125.74314880371094,17.899999618530273,16.755500173568727,-0.6390697828567204
2025-01-28,170.92372131347656,124.9679946899414,16.40999984741211,16.839500188827515,-0.6666196527494456
2025-01-29,173.32662963867188,123.45457458496094,16.559999465942383,16.870000171661378,-0.6300900326800368
2025-01-30,179.69485473632812,106.03177642822266,15.84000015258789,16.792000198364256,-0.5455805078876814
2025-01-31,178.34014892578125,105.41348266601562,16.43000030517578,16.74600019454956,-0.5675248203420372
2025-02-03,176.8074188232422,102.70040130615234,18.6200008392334,16.780500221252442,-0.5941997557177207
2025-02-04,176.57009887695312,103.14334869384766,17.209999084472656,16.834500217437743,-0.597538367238463
2025-02-05,178.6565704345703,103.26331329345703,15.770000457763672,16.821000194549562,-0.5645039100945554
2025-02-06,180.76283264160156,104.71214294433594,15.5,16.70500020980835,-0.5299382787139838
2025-02-07,177.9940185546875,104.37992858886719,16.540000915527344,16.647000217437743,-0.573934750883862
2025-02-10,181.61326599121094,105.34889221191406,15.8100004196167,16.46050019264221,-0.5159344336459903
2025-02-11,181.15838623046875,105.6903305053711,16.020000457763672,16.302000188827513,-0.5227992361425192
2025-02-12,178.87411499023438,105.441162109375,15.890000343322754,16.16100025177002,-0.5590734728159971
2025-02-13,182.21644592285156,106.71466064453125,15.100000381469727,16.110000228881837,-0.505163555364696
2025-02-14,167.31439208984375,107.24989318847656,14.770000457763672,16.018500232696532,-0.7398263212198921
2025-02-18,170.0832061767578,108.03614044189453,15.350000381469727,15.98750023841858,-0.6954133951423926
2025-02-19,172.12025451660156,107.64302825927734,15.270000457763672,15.998000240325927,-0.6636294449180641
2025-02-20,174.44940185546875,109.14066314697266,15.65999984741211,16.026000213623046,-0.6255019310189027
2025-02-21,170.45510864257812,108.887939453125,18.209999084472656,16.185500144958496,-0.688763493899529
2025-02-24,167.0753631591797,108.72881317138672,18.979999542236328,16.392000102996825,-0.7422416722939983
2025-02-25,164.07223510742188,110.5540542602539,19.43000030517578,16.4685001373291,-0.7879567185592433
2025-02-26,167.01588439941406,109.412109375,19.100000381469727,16.603000164031982,-0.7425535025340408
2025-02-27,155.2511444091797,110.10476684570312,21.1299991607666,16.831500148773195,-0.9275652102600851
2025-02-28,156.66847229003906,111.41520690917969,19.6299991607666,17.021000099182128,-0.903997865169936
2025-03-03,150.78114318847656,111.6304931640625,22.780000686645508,17.338500118255617,-0.996702169969358
2025-03-04,151.5145721435547,109.3185043334961,23.510000228881836,17.583000087738036,-0.9872493282374142
2025-03-05,153.94285583496094,111.40584564208984,21.93000030517578,17.819000148773192,-0.9470165492980622
2025-03-06,150.1963653564453,112.79116821289062,24.8700008392334,18.27400016784668,-1.004865326937902
2025-03-07,154.29965209960938,113.83952331542969,23.3700008392334,18.66750020980835,-0.9391540720506688
2025-03-10,148.66012573242188,112.90349578857422,27.860000610351562,19.23350019454956,-1.0290040843888537
2025-03-11,145.68670654296875,108.916015625,26.920000076293945,19.78900017738342,-1.0795819453431517
2025-03-12,147.73834228515625,107.88639068603516,24.229999542236328,20.199500131607056,-1.0481516370412678
2025-03-13,148.62045288085938,107.85831451416016,24.65999984741211,20.638000106811525,-1.0342577263006023
2025-03-14,154.27984619140625,109.29043579101562,21.770000457763672,20.97150011062622,-0.943639181039189
2025-03-17,154.0815887451172,110.50726318359375,20.510000228881836,21.25850009918213,-0.9456515599787608
2025-03-18,152.14891052246094,111.2560806274414,21.700000762939453,21.576000118255614,-0.9754622901665582
2025-03-19,153.09048461914062,109.95500946044922,19.899999618530273,21.807500076293945,-0.9617976810961986
2025-03-20,153.0111846923828,109.49635314941406,19.799999237060547,22.014500045776366,-0.9634697248124924
2025-03-21,150.77120971679688,107.73661804199219,19.280000686645508,22.06800012588501,-1.000430510014334
