EntryDate,ExitDate,Side,EntryPrice,ExitPrice,PnL,TotalValue
2023-01-19,2023-04-20,LONG,69.174,71.1345,294.239,104112
2023-04-24,2023-05-31,SHORT,72.5505,69.29,467.89,104580
2023-06-16,2023-07-12,SHORT,72.4573,70.0166,352.273,104932
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,436.077,105368
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.9149,105448
2023-10-20,2023-10-27,SHORT,69.1408,67.7442,212.997,105661
2022-03-08,2022-04-07,LONG,67.608,72.6197,741.285,100741
2022-04-21,2022-04-29,SHORT,74.5715,69.9846,619.665,101361
2022-05-02,2022-05-13,LONG,68.2861,71.2108,434.136,101795
2022-05-18,2022-06-02,LONG,68.7675,72.001,478.655,102274
2022-06-09,2022-06-21,LONG,69.803,69.4487,-51.9059,102222
2022-06-23,2022-07-18,SHORT,71.6468,70.0482,228.079,102450
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,238.756,102689
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.4569,102634
2022-12-14,2023-01-11,SHORT,72.9822,70.9493,285.885,102920
2023-01-19,2023-04-20,LONG,69.174,71.1345,291.696,103212
2023-04-24,2023-05-31,SHORT,72.5505,69.29,463.845,103676
2023-06-16,2023-07-12,SHORT,72.4573,70.0166,349.227,104025
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,432.307,104457
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.2241,104536
2022-03-08,2022-04-07,LONG,67.608,72.6197,741.285,100741
2022-04-21,2022-04-29,SHORT,74.5715,69.9846,619.665,101361
2022-05-02,2022-05-13,LONG,68.2861,71.2108,434.136,101795
2022-05-18,2022-06-02,LONG,68.7675,72.001,478.655,102274
2022-06-14,2022-06-21,LONG,67.4595,69.4487,301.574,102575
2022-06-23,2022-07-18,SHORT,71.6468,70.0482,228.868,102804
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,239.581,103044
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.6452,102989
2022-12-21,2023-01-11,SHORT,72.6603,70.9493,242.51,103232
2023-01-19,2023-04-20,LONG,69.174,71.1345,292.579,103524
2023-04-27,2023-05-31,SHORT,72.5971,69.29,471.594,103996
2023-06-16,2023-07-12,SHORT,72.4573,70.0166,350.306,104346
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,433.642,104780
2023-09-12,2023-10-18,LONG,67.9843,68.4999,79.4687,104859
2022-03-10,2022-04-07,LONG,66.6779,72.6197,891.117,100891
2022-04-25,2022-04-29,SHORT,74.3081,69.9846,587.019,101478
2022-05-02,2022-05-13,LONG,68.2861,71.2108,434.638,101913
2022-05-18,2022-06-02,LONG,68.7675,72.001,479.208,102392
2022-06-14,2022-06-21,LONG,67.4595,69.4487,301.922,102694
2022-06-24,2022-07-18,SHORT,73.0093,70.0482,416.501,103110
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,240.295,103351
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.808,103296
2022-12-22,2023-01-11,SHORT,72.927,70.9493,280.128,103576
2023-01-19,2023-04-20,LONG,69.174,71.1345,293.555,103870
2023-04-27,2023-05-31,SHORT,72.5971,69.29,473.167,104343
2023-06-16,2023-07-12,SHORT,72.4573,70.0166,351.474,104694
2023-07-20,2023-08-21,SHORT,72.1841,69.1842,435.089,105129
2023-09-22,2023-10-18,LONG,67.9187,68.4999,89.9681,105219
2022-03-10,2022-04-07,LONG,66.6779,72.6197,891.117,100891
2022-05-03,2022-05-13,LONG,67.6593,71.2108,529.584,101421
2022-05-19,2022-06-02,LONG,68.2316,72.001,560.296,101981
2022-06-14,2022-06-21,LONG,67.4595,69.4487,300.711,102282
2022-06-24,2022-07-18,SHORT,73.0093,70.0482,414.829,102697
2022-08-01,2022-08-26,SHORT,74.1125,72.3854,239.331,102936
2022-09-08,2022-11-21,LONG,71.1334,70.7561,-54.588,102881
2022-12-27,2023-01-11,SHORT,73.5341,70.9493,361.641,103243
2023-01-27,2023-04-20,LONG,66.2674,71.1345,758.277,104001
2023-04-28,2023-05-31,SHORT,74.3391,69.29,706.377,104708
2023-06-22,2023-07-12,SHORT,72.6623,70.0166,381.243,105089
2023-07-25,2023-08-21,SHORT,72.9715,69.1842,545.421,105634
2023-09-22,2023-10-18,LONG,67.9187,68.4999,90.4002,105725
